Overriding config with config/gpt3-small-like-12b32b.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 20
log_interval = 1 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = True # override via command line if you like
wandb_project = 'data309gptnew'
wandb_run_name = 'GPT3-small-like12block32batch'

dataset = 'lyrics'
gradient_accumulation_steps = 1
batch_size = 12 # rough estimate  of the number of tokens in a sentence
block_size = 32 #estimate of the number of lines in a pop song

# baby GPT model :)
n_layer = 12
n_head = 12
n_embd = 768
dropout = 0.0

learning_rate = 6.0e-4 # with baby networks can afford to go a bit higher
max_iters = 4000
lr_decay_iters = 4000# make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
device = 'cuda' 
# compile = False # do not torch compile the model

Overriding: device = cuda
Overriding: compile = True
tokens per iteration will be: 384
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
num decayed parameter tensors: 50, with 123,592,704 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
wandb: Currently logged in as: jcl173 (data309nanogpt23). Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.15.12
wandb: Run data is saved locally in /home/data309/nanoGPT-master/wandb/run-20231019_192645-ipo4sovs
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run GPT3-small-like12block32batch
wandb: ⭐️ View project at https://wandb.ai/data309nanogpt23/data309gptnew
wandb: 🚀 View run at https://wandb.ai/data309nanogpt23/data309gptnew/runs/ipo4sovs
step 0: train loss 10.9210, val loss 10.9280
iter 0: loss 10.9183, time 28417.17ms, mfu -100.00%
iter 1: loss 10.8940, time 152.59ms, mfu -100.00%
iter 2: loss 10.5035, time 132.06ms, mfu -100.00%
iter 3: loss 10.1067, time 112.25ms, mfu -100.00%
iter 4: loss 9.6636, time 117.33ms, mfu -100.00%
iter 5: loss 9.5847, time 113.76ms, mfu 0.81%
iter 6: loss 9.3931, time 117.47ms, mfu 0.80%
iter 7: loss 9.0953, time 116.89ms, mfu 0.80%
iter 8: loss 9.3168, time 110.09ms, mfu 0.80%
iter 9: loss 9.2906, time 117.61ms, mfu 0.80%
iter 10: loss 9.0276, time 113.11ms, mfu 0.80%
iter 11: loss 9.2515, time 114.21ms, mfu 0.80%
iter 12: loss 8.9132, time 114.16ms, mfu 0.80%
iter 13: loss 8.8844, time 117.66ms, mfu 0.80%
iter 14: loss 8.9780, time 112.69ms, mfu 0.80%
iter 15: loss 8.9142, time 117.30ms, mfu 0.80%
iter 16: loss 8.5154, time 112.83ms, mfu 0.80%
iter 17: loss 8.7799, time 110.36ms, mfu 0.80%
iter 18: loss 8.5706, time 114.07ms, mfu 0.80%
iter 19: loss 8.5751, time 115.94ms, mfu 0.80%
iter 20: loss 8.6617, time 112.77ms, mfu 0.80%
iter 21: loss 8.5495, time 110.95ms, mfu 0.81%
iter 22: loss 8.2488, time 114.09ms, mfu 0.81%
iter 23: loss 8.1324, time 118.61ms, mfu 0.80%
iter 24: loss 7.8880, time 110.22ms, mfu 0.81%
iter 25: loss 7.7567, time 116.81ms, mfu 0.80%
iter 26: loss 8.0332, time 115.94ms, mfu 0.80%
iter 27: loss 7.7494, time 116.68ms, mfu 0.80%
iter 28: loss 7.7699, time 115.64ms, mfu 0.80%
iter 29: loss 7.5241, time 116.83ms, mfu 0.80%
iter 30: loss 7.3573, time 113.01ms, mfu 0.80%
iter 31: loss 7.4111, time 115.51ms, mfu 0.80%
iter 32: loss 7.3920, time 117.29ms, mfu 0.80%
iter 33: loss 6.9973, time 114.94ms, mfu 0.80%
iter 34: loss 6.9978, time 115.73ms, mfu 0.80%
iter 35: loss 7.4452, time 112.92ms, mfu 0.80%
iter 36: loss 6.6826, time 114.41ms, mfu 0.80%
iter 37: loss 6.8181, time 116.52ms, mfu 0.80%
iter 38: loss 7.0365, time 113.65ms, mfu 0.80%
iter 39: loss 6.4316, time 116.53ms, mfu 0.80%
iter 40: loss 6.6868, time 114.73ms, mfu 0.80%
iter 41: loss 6.4648, time 115.77ms, mfu 0.80%
iter 42: loss 6.5477, time 115.86ms, mfu 0.80%
iter 43: loss 6.7179, time 116.80ms, mfu 0.80%
iter 44: loss 6.5267, time 110.23ms, mfu 0.80%
iter 45: loss 6.6188, time 116.35ms, mfu 0.80%
iter 46: loss 6.6713, time 114.79ms, mfu 0.80%
iter 47: loss 6.5157, time 117.48ms, mfu 0.80%
iter 48: loss 6.7417, time 116.10ms, mfu 0.80%
iter 49: loss 6.3906, time 114.68ms, mfu 0.80%
iter 50: loss 6.5633, time 110.72ms, mfu 0.80%
iter 51: loss 6.1132, time 109.77ms, mfu 0.80%
iter 52: loss 6.3893, time 112.42ms, mfu 0.80%
iter 53: loss 6.5244, time 110.21ms, mfu 0.81%
iter 54: loss 6.7951, time 116.22ms, mfu 0.81%
iter 55: loss 6.8046, time 116.95ms, mfu 0.80%
iter 56: loss 6.2715, time 110.16ms, mfu 0.81%
iter 57: loss 6.2603, time 111.88ms, mfu 0.81%
iter 58: loss 6.8402, time 110.80ms, mfu 0.81%
iter 59: loss 6.2713, time 116.19ms, mfu 0.81%
iter 60: loss 6.6114, time 114.97ms, mfu 0.81%
iter 61: loss 6.4752, time 114.95ms, mfu 0.81%
iter 62: loss 6.1479, time 116.72ms, mfu 0.80%
iter 63: loss 5.9965, time 115.49ms, mfu 0.80%
iter 64: loss 6.1056, time 117.03ms, mfu 0.80%
iter 65: loss 6.5529, time 108.59ms, mfu 0.81%
iter 66: loss 6.0523, time 114.84ms, mfu 0.80%
iter 67: loss 5.8658, time 112.04ms, mfu 0.81%
iter 68: loss 5.9796, time 115.75ms, mfu 0.80%
iter 69: loss 6.2504, time 114.92ms, mfu 0.80%
iter 70: loss 6.3605, time 112.39ms, mfu 0.81%
iter 71: loss 6.4424, time 116.11ms, mfu 0.80%
iter 72: loss 6.4109, time 112.63ms, mfu 0.80%
iter 73: loss 6.0544, time 113.00ms, mfu 0.81%
iter 74: loss 6.5457, time 110.14ms, mfu 0.81%
iter 75: loss 6.1485, time 113.34ms, mfu 0.81%
iter 76: loss 6.7022, time 117.09ms, mfu 0.81%
iter 77: loss 6.2129, time 115.65ms, mfu 0.80%
