Overriding config with config/gpt3-small-like-withdrop32b128b.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 20
log_interval = 1 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = True # override via command line if you like
wandb_project = 'data309gptnew'
wandb_run_name = 'Gpt3likewithdrop32batch128block'

dataset = 'lyrics'
gradient_accumulation_steps = 1
batch_size = 32 # TO BE PROPERLY DETERMINED
block_size = 128 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 12
n_head = 12
n_embd = 768
dropout = 0.1

learning_rate = 6.0e-4 # with baby networks can afford to go a bit higher
max_iters = 4000
lr_decay_iters = 4000# make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
device = 'cuda' 
# compile = False # do not torch compile the model

Overriding: device = cuda
Overriding: compile = True
tokens per iteration will be: 4,096
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
num decayed parameter tensors: 50, with 123,666,432 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
wandb: Currently logged in as: jcl173 (data309nanogpt23). Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.15.12
wandb: Run data is saved locally in /home/data309/nanoGPT-master/wandb/run-20231019_183216-qb3elefs
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run Gpt3likewithdrop32batch128block
wandb: ⭐️ View project at https://wandb.ai/data309nanogpt23/data309gptnew
wandb: 🚀 View run at https://wandb.ai/data309nanogpt23/data309gptnew/runs/qb3elefs
step 0: train loss 11.1003, val loss 11.0924
iter 0: loss 11.0891, time 30406.42ms, mfu -100.00%
iter 1: loss 11.0926, time 174.67ms, mfu -100.00%
iter 2: loss 10.6475, time 167.97ms, mfu -100.00%
iter 3: loss 10.1349, time 168.93ms, mfu -100.00%
iter 4: loss 9.6541, time 166.83ms, mfu -100.00%
iter 5: loss 9.5651, time 168.01ms, mfu 5.90%
iter 6: loss 9.2990, time 164.98ms, mfu 5.92%
iter 7: loss 9.2778, time 169.82ms, mfu 5.91%
iter 8: loss 9.0789, time 171.17ms, mfu 5.90%
iter 9: loss 9.0993, time 169.38ms, mfu 5.89%
iter 10: loss 8.9725, time 169.52ms, mfu 5.89%
iter 11: loss 8.8666, time 162.80ms, mfu 5.91%
iter 12: loss 8.8086, time 171.02ms, mfu 5.90%
iter 13: loss 8.9337, time 174.25ms, mfu 5.88%
iter 14: loss 8.7840, time 168.72ms, mfu 5.88%
iter 15: loss 8.7390, time 164.52ms, mfu 5.89%
iter 16: loss 8.6049, time 171.37ms, mfu 5.88%
iter 17: loss 8.5367, time 169.99ms, mfu 5.88%
iter 18: loss 8.3418, time 169.50ms, mfu 5.88%
iter 19: loss 8.2488, time 162.63ms, mfu 5.90%
iter 20: loss 8.2690, time 172.70ms, mfu 5.88%
iter 21: loss 8.0080, time 169.48ms, mfu 5.88%
iter 22: loss 8.0242, time 165.09ms, mfu 5.89%
iter 23: loss 7.9527, time 171.22ms, mfu 5.88%
iter 24: loss 7.7542, time 168.13ms, mfu 5.88%
iter 25: loss 7.8215, time 167.88ms, mfu 5.89%
iter 26: loss 7.6539, time 173.67ms, mfu 5.87%
iter 27: loss 7.4612, time 162.78ms, mfu 5.89%
iter 28: loss 7.3519, time 173.90ms, mfu 5.87%
iter 29: loss 7.1542, time 163.94ms, mfu 5.89%
iter 30: loss 6.9966, time 172.77ms, mfu 5.88%
iter 31: loss 6.9486, time 169.34ms, mfu 5.87%
iter 32: loss 6.7841, time 170.28ms, mfu 5.87%
iter 33: loss 6.6314, time 170.22ms, mfu 5.87%
iter 34: loss 6.5651, time 166.86ms, mfu 5.87%
iter 35: loss 6.5207, time 168.43ms, mfu 5.88%
iter 36: loss 6.4637, time 168.63ms, mfu 5.88%
iter 37: loss 6.3774, time 165.27ms, mfu 5.89%
iter 38: loss 6.2719, time 171.57ms, mfu 5.88%
iter 39: loss 6.2279, time 169.33ms, mfu 5.88%
iter 40: loss 6.3439, time 170.54ms, mfu 5.87%
iter 41: loss 6.0644, time 161.08ms, mfu 5.90%
iter 42: loss 6.0878, time 169.72ms, mfu 5.89%
iter 43: loss 6.0582, time 173.62ms, mfu 5.88%
iter 44: loss 6.0345, time 170.01ms, mfu 5.87%
iter 45: loss 6.0503, time 167.16ms, mfu 5.88%
iter 46: loss 6.0723, time 170.20ms, mfu 5.87%
iter 47: loss 5.8991, time 169.04ms, mfu 5.87%
iter 48: loss 5.8380, time 164.83ms, mfu 5.89%
iter 49: loss 5.7532, time 174.73ms, mfu 5.87%
iter 50: loss 5.6034, time 164.87ms, mfu 5.88%
iter 51: loss 5.8475, time 172.41ms, mfu 5.87%
iter 52: loss 5.6611, time 170.43ms, mfu 5.86%
iter 53: loss 5.6737, time 163.67ms, mfu 5.88%
iter 54: loss 5.8609, time 172.37ms, mfu 5.87%
iter 55: loss 5.7410, time 169.25ms, mfu 5.87%
iter 56: loss 5.5683, time 170.00ms, mfu 5.87%
iter 57: loss 6.0391, time 167.43ms, mfu 5.87%
iter 58: loss 5.5746, time 168.90ms, mfu 5.87%
iter 59: loss 5.4639, time 169.10ms, mfu 5.87%
iter 60: loss 5.8749, time 169.99ms, mfu 5.87%
iter 61: loss 5.7667, time 170.35ms, mfu 5.86%
iter 62: loss 5.6221, time 166.39ms, mfu 5.87%
iter 63: loss 5.6108, time 169.41ms, mfu 5.87%
iter 64: loss 5.6138, time 165.22ms, mfu 5.89%
iter 65: loss 5.7505, time 171.29ms, mfu 5.88%
iter 66: loss 5.3979, time 170.56ms, mfu 5.87%
iter 67: loss 5.8318, time 168.35ms, mfu 5.87%
iter 68: loss 5.4355, time 170.84ms, mfu 5.87%
iter 69: loss 5.5390, time 170.48ms, mfu 5.86%
iter 70: loss 5.4172, time 161.01ms, mfu 5.89%
iter 71: loss 5.5427, time 176.41ms, mfu 5.86%
iter 72: loss 5.5356, time 166.66ms, mfu 5.87%
iter 73: loss 5.5915, time 171.66ms, mfu 5.86%
iter 74: loss 5.4570, time 168.10ms, mfu 5.87%
iter 75: loss 5.5615, time 168.91ms, mfu 5.87%
iter 76: loss 5.4953, time 172.96ms, mfu 5.85%
iter 77: loss 5.5834, time 169.62ms, mfu 5.85%
