
step 0: train loss 11.1003, val loss 11.0924
iter 0: loss 11.1039, time 28640.45ms, mfu -100.00%
iter 1: loss 11.1086, time 184.14ms, mfu -100.00%
iter 2: loss 10.5776, time 168.89ms, mfu -100.00%
iter 3: loss 10.0548, time 162.59ms, mfu -100.00%
iter 4: loss 9.5938, time 170.39ms, mfu -100.00%
iter 5: loss 9.4895, time 164.31ms, mfu 6.04%
iter 6: loss 9.2952, time 170.97ms, mfu 6.01%
iter 7: loss 9.2558, time 168.19ms, mfu 6.00%
iter 8: loss 9.0798, time 173.29ms, mfu 5.97%
iter 9: loss 9.0831, time 163.93ms, mfu 5.98%
iter 10: loss 8.9760, time 167.83ms, mfu 5.98%
iter 11: loss 8.8662, time 162.84ms, mfu 5.99%
iter 12: loss 8.7765, time 173.07ms, mfu 5.96%
iter 13: loss 8.9190, time 166.01ms, mfu 5.96%
iter 14: loss 8.7416, time 168.70ms, mfu 5.95%
iter 15: loss 8.6989, time 168.39ms, mfu 5.95%
iter 16: loss 8.5628, time 163.45ms, mfu 5.96%
iter 17: loss 8.4859, time 171.34ms, mfu 5.94%
iter 18: loss 8.3210, time 166.63ms, mfu 5.94%
iter 19: loss 8.1967, time 167.18ms, mfu 5.94%
iter 20: loss 8.2191, time 170.52ms, mfu 5.93%
iter 21: loss 7.9581, time 166.15ms, mfu 5.93%
iter 22: loss 7.9962, time 168.61ms, mfu 5.93%
iter 23: loss 7.9122, time 168.05ms, mfu 5.93%
iter 24: loss 7.7204, time 166.72ms, mfu 5.93%
iter 25: loss 7.7778, time 168.47ms, mfu 5.93%
iter 26: loss 7.6066, time 168.04ms, mfu 5.92%
iter 27: loss 7.4085, time 166.76ms, mfu 5.93%
iter 28: loss 7.2887, time 169.36ms, mfu 5.92%
iter 29: loss 7.0819, time 167.05ms, mfu 5.92%
iter 30: loss 7.0571, time 166.78ms, mfu 5.92%
iter 31: loss 6.9142, time 167.16ms, mfu 5.92%
iter 32: loss 6.8002, time 169.53ms, mfu 5.92%
iter 33: loss 6.6141, time 168.53ms, mfu 5.91%
iter 34: loss 6.5677, time 168.01ms, mfu 5.91%
iter 35: loss 6.5542, time 164.94ms, mfu 5.92%
iter 36: loss 6.4795, time 169.78ms, mfu 5.92%
iter 37: loss 6.3996, time 167.28ms, mfu 5.92%
iter 38: loss 6.2683, time 166.86ms, mfu 5.92%
iter 39: loss 6.2341, time 168.50ms, mfu 5.92%
iter 40: loss 6.3537, time 166.15ms, mfu 5.92%
iter 41: loss 6.0571, time 167.59ms, mfu 5.92%
iter 42: loss 6.0743, time 166.85ms, mfu 5.92%
iter 43: loss 6.0460, time 168.22ms, mfu 5.92%
