step 0: train loss 10.8230, val loss 10.8320
iter 0: loss 10.8216, time 2460.66ms, mfu -100.00%
iter 1: loss 10.8259, time 13.46ms, mfu -100.00%
iter 2: loss 10.8130, time 8.75ms, mfu -100.00%
iter 3: loss 10.8040, time 24.58ms, mfu -100.00%
iter 4: loss 10.8278, time 18.16ms, mfu -100.00%
iter 5: loss 10.8248, time 11.76ms, mfu 0.07%
iter 6: loss 10.8242, time 9.18ms, mfu 0.07%
iter 7: loss 10.8192, time 9.36ms, mfu 0.07%
iter 8: loss 10.7859, time 8.75ms, mfu 0.08%
iter 9: loss 10.7993, time 38.80ms, mfu 0.07%
iter 10: loss 10.7965, time 15.94ms, mfu 0.07%
iter 11: loss 10.7952, time 11.44ms, mfu 0.07%
iter 12: loss 10.7720, time 31.19ms, mfu 0.06%
iter 13: loss 10.7759, time 17.35ms, mfu 0.06%
iter 14: loss 10.7103, time 19.94ms, mfu 0.06%
iter 15: loss 10.7595, time 8.67ms, mfu 0.06%
iter 16: loss 10.7114, time 15.50ms, mfu 0.06%
iter 17: loss 10.7049, time 19.88ms, mfu 0.06%
iter 18: loss 10.7239, time 8.39ms, mfu 0.06%
iter 19: loss 10.6833, time 8.38ms, mfu 0.07%
iter 20: loss 10.6520, time 19.24ms, mfu 0.06%
iter 21: loss 10.6466, time 8.67ms, mfu 0.07%
iter 22: loss 10.6124, time 8.59ms, mfu 0.07%
iter 23: loss 10.6357, time 11.66ms, mfu 0.07%
iter 24: loss 10.5677, time 8.57ms, mfu 0.07%
iter 25: loss 10.5660, time 8.38ms, mfu 0.08%
iter 26: loss 10.5179, time 8.67ms, mfu 0.08%
iter 27: loss 10.4404, time 8.79ms, mfu 0.08%
iter 28: loss 10.4974, time 20.96ms, mfu 0.07%
iter 29: loss 10.4426, time 8.93ms, mfu 0.08%
iter 30: loss 10.4490, time 8.69ms, mfu 0.08%
iter 31: loss 10.4261, time 20.21ms, mfu 0.07%
iter 32: loss 10.3571, time 9.64ms, mfu 0.08%
iter 33: loss 10.3442, time 8.97ms, mfu 0.08%
iter 34: loss 10.3219, time 9.72ms, mfu 0.08%
iter 35: loss 10.3459, time 9.56ms, mfu 0.08%
iter 36: loss 10.2520, time 20.89ms, mfu 0.07%
iter 37: loss 10.2047, time 8.92ms, mfu 0.08%
iter 38: loss 10.2437, time 9.26ms, mfu 0.08%
iter 39: loss 10.1337, time 20.91ms, mfu 0.07%
iter 40: loss 10.1144, time 9.12ms, mfu 0.08%
iter 41: loss 10.0652, time 21.19ms, mfu 0.07%
iter 42: loss 10.0152, time 9.16ms, mfu 0.07%
iter 43: loss 10.0050, time 9.27ms, mfu 0.07%
iter 44: loss 9.9106, time 20.94ms, mfu 0.07%
iter 45: loss 9.8214, time 8.92ms, mfu 0.07%
iter 46: loss 9.8173, time 9.49ms, mfu 0.07%
iter 47: loss 9.8339, time 19.90ms, mfu 0.07%
iter 48: loss 9.6686, time 9.48ms, mfu 0.07%
iter 49: loss 9.7632, time 9.61ms, mfu 0.07%
iter 50: loss 9.5994, time 9.33ms, mfu 0.08%
iter 51: loss 9.7250, time 9.44ms, mfu 0.08%
iter 52: loss 9.4597, time 9.32ms, mfu 0.08%
iter 53: loss 9.5576, time 9.26ms, mfu 0.08%
iter 54: loss 9.3787, time 10.16ms, mfu 0.08%
iter 55: loss 9.4928, time 9.15ms, mfu 0.08%
iter 56: loss 9.4415, time 9.27ms, mfu 0.08%
iter 57: loss 9.3714, time 9.46ms, mfu 0.08%
