step 0: train loss 10.8463, val loss 10.8417
iter 0: loss 10.8556, time 1934.74ms, mfu -100.00%
iter 1: loss 10.8572, time 15.83ms, mfu -100.00%
iter 2: loss 10.8433, time 39.46ms, mfu -100.00%
iter 3: loss 10.8248, time 14.54ms, mfu -100.00%
iter 4: loss 10.7975, time 14.03ms, mfu -100.00%
iter 5: loss 10.7703, time 23.10ms, mfu 0.47%
iter 6: loss 10.7596, time 14.04ms, mfu 0.50%
iter 7: loss 10.6863, time 13.99ms, mfu 0.52%
iter 8: loss 10.6572, time 16.56ms, mfu 0.54%
iter 9: loss 10.6198, time 58.36ms, mfu 0.50%
iter 10: loss 10.5639, time 16.18ms, mfu 0.52%
iter 11: loss 10.4876, time 25.08ms, mfu 0.51%
iter 12: loss 10.4627, time 17.48ms, mfu 0.52%
iter 13: loss 10.4370, time 26.59ms, mfu 0.51%
iter 14: loss 10.4067, time 14.88ms, mfu 0.53%
iter 15: loss 10.4045, time 17.75ms, mfu 0.54%
iter 16: loss 10.3438, time 23.34ms, mfu 0.53%
iter 17: loss 10.3517, time 19.03ms, mfu 0.53%
iter 18: loss 10.2899, time 33.78ms, mfu 0.51%
iter 19: loss 10.2622, time 39.67ms, mfu 0.49%
iter 20: loss 10.2414, time 24.24ms, mfu 0.48%
iter 21: loss 10.2164, time 23.45ms, mfu 0.48%
iter 22: loss 10.2038, time 37.02ms, mfu 0.46%
iter 23: loss 10.1378, time 20.54ms, mfu 0.47%
iter 24: loss 10.0904, time 17.43ms, mfu 0.48%
iter 25: loss 10.0351, time 25.13ms, mfu 0.48%
iter 26: loss 9.9761, time 39.40ms, mfu 0.46%
iter 27: loss 10.0042, time 14.04ms, mfu 0.49%
iter 28: loss 9.9101, time 13.78ms, mfu 0.52%
iter 29: loss 9.8210, time 14.18ms, mfu 0.54%
iter 30: loss 9.7825, time 17.03ms, mfu 0.55%
iter 31: loss 9.7103, time 14.09ms, mfu 0.57%
iter 32: loss 9.7021, time 12.67ms, mfu 0.60%
iter 33: loss 9.5826, time 12.43ms, mfu 0.63%
iter 34: loss 9.5432, time 12.37ms, mfu 0.65%
iter 35: loss 9.4943, time 12.33ms, mfu 0.67%
iter 36: loss 9.4759, time 38.05ms, mfu 0.63%
iter 37: loss 9.3294, time 15.37ms, mfu 0.64%
iter 38: loss 9.1769, time 14.65ms, mfu 0.65%
iter 39: loss 9.1532, time 16.77ms, mfu 0.65%
iter 40: loss 9.0594, time 18.77ms, mfu 0.64%
iter 41: loss 9.0452, time 14.66ms, mfu 0.65%
iter 42: loss 8.9926, time 12.84ms, mfu 0.67%
iter 43: loss 9.0052, time 12.79ms, mfu 0.69%
iter 44: loss 8.7981, time 12.62ms, mfu 0.70%
iter 45: loss 8.7451, time 12.49ms, mfu 0.72%
iter 46: loss 8.6551, time 18.66ms, mfu 0.71%
iter 47: loss 8.6080, time 13.57ms, mfu 0.71%
iter 48: loss 8.4455, time 25.12ms, mfu 0.69%
iter 49: loss 8.3333, time 29.97ms, mfu 0.65%
iter 50: loss 8.2070, time 19.18ms, mfu 0.64%
iter 51: loss 8.0433, time 14.03ms, mfu 0.66%
iter 52: loss 8.2178, time 23.64ms, mfu 0.64%
iter 53: loss 7.9644, time 13.97ms, mfu 0.65%
iter 54: loss 7.9282, time 22.01ms, mfu 0.63%
iter 55: loss 7.7126, time 13.77ms, mfu 0.65%
iter 56: loss 7.9058, time 13.54ms, mfu 0.66%
iter 57: loss 7.7601, time 13.48ms, mfu 0.68%
iter 58: loss 7.4336, time 13.67ms, mfu 0.69%
iter 59: loss 7.3758, time 13.75ms, mfu 0.70%
iter 60: loss 7.4293, time 13.78ms, mfu 0.71%
iter 61: loss 7.3173, time 13.69ms, mfu 0.71%
iter 62: loss 7.1387, time 13.56ms, mfu 0.72%
iter 63: loss 7.1799, time 13.56ms, mfu 0.73%
iter 64: loss 6.8156, time 13.65ms, mfu 0.74%
iter 65: loss 7.1190, time 23.39ms, mfu 0.71%
iter 66: loss 6.7839, time 17.25ms, mfu 0.70%
iter 67: loss 7.1013, time 13.82ms, mfu 0.71%
iter 68: loss 6.8676, time 13.54ms, mfu 0.72%
iter 69: loss 6.6946, time 13.64ms, mfu 0.72%
iter 70: loss 6.5425, time 13.67ms, mfu 0.73%
iter 71: loss 6.5213, time 23.68ms, mfu 0.70%
iter 72: loss 6.5066, time 14.90ms, mfu 0.70%
iter 73: loss 6.5742, time 22.52ms, mfu 0.68%
iter 74: loss 6.5414, time 13.70ms, mfu 0.69%
iter 75: loss 6.5228, time 17.37ms, mfu 0.68%
iter 76: loss 6.3414, time 20.87ms, mfu 0.67%
iter 77: loss 6.3974, time 14.05ms, mfu 0.68%
iter 78: loss 6.3459, time 13.78ms, mfu 0.69%
iter 79: loss 6.2188, time 28.83ms, mfu 0.66%
iter 80: loss 6.4697, time 13.94ms, mfu 0.67%
iter 81: loss 6.2710, time 13.41ms, mfu 0.68%
iter 82: loss 5.9653, time 13.86ms, mfu 0.69%
iter 83: loss 6.3690, time 19.44ms, mfu 0.68%
iter 84: loss 6.1081, time 25.21ms, mfu 0.65%
iter 85: loss 5.9128, time 13.55ms, mfu 0.67%
iter 86: loss 6.2605, time 14.30ms, mfu 0.68%
iter 87: loss 6.4310, time 21.39ms, mfu 0.66%
iter 88: loss 6.0740, time 15.04ms, mfu 0.66%
iter 89: loss 6.1133, time 13.52ms, mfu 0.68%
iter 90: loss 5.9997, time 25.44ms, mfu 0.65%
iter 91: loss 5.7544, time 14.02ms, mfu 0.66%
iter 92: loss 5.6429, time 25.61ms, mfu 0.64%
iter 93: loss 5.9181, time 24.12ms, mfu 0.62%
iter 94: loss 5.7850, time 14.09ms, mfu 0.63%
iter 95: loss 5.9470, time 25.45ms, mfu 0.61%
iter 96: loss 6.1804, time 13.57ms, mfu 0.63%
iter 97: loss 5.8104, time 25.88ms, mfu 0.61%
iter 98: loss 6.2479, time 13.52ms, mfu 0.63%
iter 99: loss 5.8971, time 13.74ms, mfu 0.64%
iter 100: loss 6.2915, time 37.73ms, mfu 0.61%
iter 101: loss 5.9917, time 14.05ms, mfu 0.62%
iter 102: loss 5.6544, time 24.14ms, mfu 0.61%
iter 103: loss 5.6071, time 14.41ms, mfu 0.62%
iter 104: loss 5.8928, time 25.95ms, mfu 0.60%
iter 105: loss 5.9996, time 23.29ms, mfu 0.59%
iter 106: loss 5.5494, time 14.01ms, mfu 0.60%
iter 107: loss 5.5226, time 13.94ms, mfu 0.62%
iter 108: loss 5.6506, time 25.37ms, mfu 0.60%
iter 109: loss 6.1941, time 13.86ms, mfu 0.62%
iter 110: loss 5.6927, time 31.13ms, mfu 0.59%
iter 111: loss 5.9336, time 13.97ms, mfu 0.61%
iter 112: loss 5.7832, time 14.08ms, mfu 0.63%
iter 113: loss 5.6627, time 26.59ms, mfu 0.60%
iter 114: loss 5.7543, time 13.70ms, mfu 0.62%
iter 115: loss 5.6031, time 12.91ms, mfu 0.64%
iter 116: loss 5.9066, time 15.27ms, mfu 0.65%
iter 117: loss 5.8003, time 27.86ms, mfu 0.62%
iter 118: loss 5.5485, time 13.66ms, mfu 0.64%
iter 119: loss 5.5822, time 35.78ms, mfu 0.61%
iter 120: loss 5.4984, time 14.09ms, mfu 0.62%
iter 121: loss 5.5062, time 13.64ms, mfu 0.64%
iter 122: loss 5.5760, time 24.01ms, mfu 0.62%
iter 123: loss 5.7202, time 13.67ms, mfu 0.64%
iter 124: loss 5.5840, time 24.10ms, mfu 0.62%
iter 125: loss 5.7106, time 13.70ms, mfu 0.63%
iter 126: loss 5.9682, time 12.57ms, mfu 0.66%
iter 127: loss 5.6201, time 13.46ms, mfu 0.67%
iter 128: loss 5.9284, time 13.54ms, mfu 0.68%
iter 129: loss 5.1377, time 13.78ms, mfu 0.69%
iter 130: loss 5.4970, time 13.80ms, mfu 0.70%
iter 131: loss 5.4862, time 29.93ms, mfu 0.67%
iter 132: loss 5.4933, time 16.38ms, mfu 0.67%
iter 133: loss 5.5304, time 14.11ms, mfu 0.68%
iter 134: loss 5.6418, time 20.51ms, mfu 0.66%
iter 135: loss 5.2650, time 14.07ms, mfu 0.67%
iter 136: loss 5.6104, time 25.16ms, mfu 0.65%
iter 137: loss 5.3856, time 14.39ms, mfu 0.66%
iter 138: loss 5.4472, time 31.97ms, mfu 0.63%
iter 139: loss 5.6477, time 26.52ms, mfu 0.60%
iter 140: loss 5.2649, time 20.46ms, mfu 0.60%
iter 141: loss 5.3316, time 20.58ms, mfu 0.59%
iter 142: loss 5.1284, time 14.34ms, mfu 0.60%
iter 143: loss 5.3128, time 14.27ms, mfu 0.62%
iter 144: loss 5.6145, time 14.34ms, mfu 0.63%
iter 145: loss 4.9924, time 14.37ms, mfu 0.64%
iter 146: loss 5.4981, time 20.94ms, mfu 0.63%
iter 147: loss 4.9742, time 13.99ms, mfu 0.65%
iter 148: loss 5.4686, time 13.91ms, mfu 0.66%
iter 149: loss 5.0867, time 14.57ms, mfu 0.67%
iter 150: loss 5.3533, time 14.29ms, mfu 0.68%
iter 151: loss 5.3891, time 19.97ms, mfu 0.66%
iter 152: loss 5.1432, time 13.98ms, mfu 0.67%
iter 153: loss 5.6256, time 41.19ms, mfu 0.63%
iter 154: loss 5.5929, time 13.74ms, mfu 0.65%
iter 155: loss 5.5204, time 13.76ms, mfu 0.66%
iter 156: loss 5.2659, time 18.13ms, mfu 0.65%
iter 157: loss 5.1567, time 31.59ms, mfu 0.62%
iter 158: loss 5.1131, time 13.87ms, mfu 0.64%
iter 159: loss 5.1373, time 22.16ms, mfu 0.62%
iter 160: loss 5.0588, time 16.40ms, mfu 0.63%
iter 161: loss 5.5466, time 17.12ms, mfu 0.63%
iter 162: loss 5.1846, time 34.39ms, mfu 0.59%
iter 163: loss 5.0226, time 13.87ms, mfu 0.61%
iter 164: loss 5.4765, time 22.23ms, mfu 0.60%
iter 165: loss 5.8078, time 13.76ms, mfu 0.62%
iter 166: loss 5.1268, time 38.15ms, mfu 0.58%
iter 167: loss 4.8981, time 13.57ms, mfu 0.61%
iter 168: loss 5.0477, time 32.26ms, mfu 0.58%
iter 169: loss 5.0160, time 13.93ms, mfu 0.60%
iter 170: loss 5.4864, time 22.87ms, mfu 0.59%
iter 171: loss 5.1311, time 21.38ms, mfu 0.58%
iter 172: loss 5.1179, time 14.03ms, mfu 0.60%
iter 173: loss 5.4246, time 31.82ms, mfu 0.57%
iter 174: loss 5.0828, time 23.46ms, mfu 0.56%
iter 175: loss 5.0574, time 13.79ms, mfu 0.58%
iter 176: loss 5.2767, time 18.62ms, mfu 0.58%
iter 177: loss 4.9200, time 13.65ms, mfu 0.60%
iter 178: loss 5.0046, time 13.88ms, mfu 0.62%
iter 179: loss 4.9011, time 13.66ms, mfu 0.64%
iter 180: loss 5.3201, time 13.42ms, mfu 0.65%
iter 181: loss 5.2483, time 29.88ms, mfu 0.62%
iter 182: loss 5.0768, time 14.12ms, mfu 0.64%
iter 183: loss 4.9430, time 13.61ms, mfu 0.65%
iter 184: loss 4.9053, time 13.91ms, mfu 0.67%
iter 185: loss 5.0350, time 23.58ms, mfu 0.64%
iter 186: loss 5.2129, time 13.99ms, mfu 0.66%
iter 187: loss 4.9767, time 13.99ms, mfu 0.67%
iter 188: loss 4.9245, time 36.67ms, mfu 0.63%
iter 189: loss 4.8010, time 14.00ms, mfu 0.64%
iter 190: loss 5.0424, time 13.18ms, mfu 0.66%
iter 191: loss 5.1730, time 13.04ms, mfu 0.68%
iter 192: loss 5.5494, time 13.50ms, mfu 0.69%
iter 193: loss 5.1005, time 13.53ms, mfu 0.70%
iter 194: loss 5.0935, time 13.17ms, mfu 0.71%
iter 195: loss 5.0371, time 13.33ms, mfu 0.72%
iter 196: loss 4.7013, time 13.60ms, mfu 0.73%
iter 197: loss 4.7175, time 13.31ms, mfu 0.74%
iter 198: loss 5.4082, time 13.79ms, mfu 0.74%
iter 199: loss 5.3082, time 13.45ms, mfu 0.75%
iter 200: loss 4.8555, time 13.41ms, mfu 0.75%
iter 201: loss 5.4555, time 13.56ms, mfu 0.76%
iter 202: loss 5.4425, time 13.36ms, mfu 0.76%
iter 203: loss 5.4162, time 14.09ms, mfu 0.76%
iter 204: loss 4.9587, time 13.70ms, mfu 0.76%
iter 205: loss 4.8348, time 13.42ms, mfu 0.77%
iter 206: loss 4.6398, time 13.67ms, mfu 0.77%
iter 207: loss 5.2426, time 13.61ms, mfu 0.77%
iter 208: loss 5.1881, time 13.42ms, mfu 0.78%
iter 209: loss 4.9932, time 13.81ms, mfu 0.78%
iter 210: loss 4.8606, time 13.44ms, mfu 0.78%
iter 211: loss 4.7438, time 13.86ms, mfu 0.78%
iter 212: loss 4.9030, time 13.45ms, mfu 0.78%
iter 213: loss 5.0554, time 13.56ms, mfu 0.78%
iter 214: loss 5.2094, time 13.79ms, mfu 0.78%
iter 215: loss 4.6378, time 13.44ms, mfu 0.78%
iter 216: loss 5.0467, time 13.19ms, mfu 0.79%
iter 217: loss 4.6669, time 13.29ms, mfu 0.79%
iter 218: loss 4.8486, time 13.09ms, mfu 0.79%
iter 219: loss 4.2764, time 14.02ms, mfu 0.79%
iter 220: loss 5.3458, time 13.60ms, mfu 0.79%
