step 0: train loss 10.8463, val loss 10.8418
iter 0: loss 10.8556, time 2016.56ms, mfu -100.00%
iter 1: loss 10.8574, time 22.16ms, mfu -100.00%
iter 2: loss 10.8434, time 25.98ms, mfu -100.00%
iter 3: loss 10.8248, time 19.08ms, mfu -100.00%
iter 4: loss 10.7976, time 15.72ms, mfu -100.00%
iter 5: loss 10.7703, time 15.53ms, mfu 0.69%
iter 6: loss 10.7601, time 15.69ms, mfu 0.69%
iter 7: loss 10.6864, time 15.58ms, mfu 0.69%
iter 8: loss 10.6575, time 15.63ms, mfu 0.69%
iter 9: loss 10.6199, time 15.84ms, mfu 0.69%
iter 10: loss 10.5640, time 15.63ms, mfu 0.69%
iter 11: loss 10.4878, time 24.78ms, mfu 0.67%
iter 12: loss 10.4627, time 20.74ms, mfu 0.65%
iter 13: loss 10.4371, time 18.30ms, mfu 0.64%
iter 14: loss 10.4067, time 17.50ms, mfu 0.64%
iter 15: loss 10.4045, time 25.24ms, mfu 0.62%
iter 16: loss 10.3437, time 16.85ms, mfu 0.62%
iter 17: loss 10.3518, time 15.54ms, mfu 0.63%
iter 18: loss 10.2899, time 15.62ms, mfu 0.64%
iter 19: loss 10.2622, time 15.78ms, mfu 0.64%
iter 20: loss 10.2413, time 15.69ms, mfu 0.64%
iter 21: loss 10.2162, time 23.00ms, mfu 0.63%
iter 22: loss 10.2038, time 26.28ms, mfu 0.61%
iter 23: loss 10.1377, time 17.02ms, mfu 0.61%
iter 24: loss 10.0904, time 31.44ms, mfu 0.58%
iter 25: loss 10.0350, time 17.82ms, mfu 0.58%
iter 26: loss 9.9759, time 17.68ms, mfu 0.59%
iter 27: loss 10.0042, time 30.56ms, mfu 0.56%
iter 28: loss 9.9101, time 17.62ms, mfu 0.57%
iter 29: loss 9.8209, time 17.74ms, mfu 0.57%
iter 30: loss 9.7824, time 18.05ms, mfu 0.57%
iter 31: loss 9.7104, time 17.83ms, mfu 0.58%
iter 32: loss 9.7022, time 17.75ms, mfu 0.58%
