step 0: train loss 10.8404, val loss 10.8497
iter 0: loss 10.8436, time 3871.64ms, mfu -100.00%
iter 1: loss 10.8274, time 157.30ms, mfu -100.00%
iter 2: loss 10.7351, time 161.27ms, mfu -100.00%
iter 3: loss 10.6165, time 152.95ms, mfu -100.00%
iter 4: loss 10.5152, time 170.41ms, mfu -100.00%
iter 5: loss 10.4792, time 138.20ms, mfu 0.21%
iter 6: loss 10.4707, time 138.75ms, mfu 0.21%
iter 7: loss 10.4666, time 171.54ms, mfu 0.21%
iter 8: loss 10.4270, time 184.65ms, mfu 0.21%
iter 9: loss 10.4231, time 141.48ms, mfu 0.21%
iter 10: loss 10.4000, time 142.93ms, mfu 0.21%
iter 11: loss 10.4241, time 225.77ms, mfu 0.20%
iter 12: loss 10.3459, time 261.71ms, mfu 0.19%
iter 13: loss 10.3446, time 287.48ms, mfu 0.18%
iter 14: loss 10.2976, time 296.79ms, mfu 0.17%
iter 15: loss 10.2580, time 244.95ms, mfu 0.17%
iter 16: loss 10.2314, time 248.99ms, mfu 0.16%
iter 17: loss 10.2503, time 312.55ms, mfu 0.16%
iter 18: loss 10.1603, time 296.97ms, mfu 0.15%
iter 19: loss 10.1811, time 246.69ms, mfu 0.15%
iter 20: loss 10.1884, time 189.57ms, mfu 0.15%
iter 21: loss 10.1113, time 168.28ms, mfu 0.15%
iter 22: loss 10.1229, time 149.30ms, mfu 0.16%
iter 23: loss 10.0502, time 130.51ms, mfu 0.16%
iter 24: loss 9.9854, time 128.93ms, mfu 0.17%
iter 25: loss 9.9221, time 145.38ms, mfu 0.17%
iter 26: loss 9.8966, time 164.03ms, mfu 0.17%
iter 27: loss 9.8750, time 128.60ms, mfu 0.18%
iter 28: loss 9.7644, time 149.86ms, mfu 0.18%
iter 29: loss 9.7524, time 230.64ms, mfu 0.18%
iter 30: loss 9.7504, time 237.36ms, mfu 0.17%
iter 31: loss 9.6287, time 178.07ms, mfu 0.17%
iter 32: loss 9.6106, time 220.91ms, mfu 0.17%
iter 33: loss 9.5217, time 203.96ms, mfu 0.16%
iter 34: loss 9.4925, time 215.77ms, mfu 0.16%
iter 35: loss 9.4523, time 225.45ms, mfu 0.16%
iter 36: loss 9.2483, time 193.30ms, mfu 0.16%
iter 37: loss 9.2216, time 218.62ms, mfu 0.16%
iter 38: loss 9.1234, time 245.74ms, mfu 0.15%
iter 39: loss 9.2172, time 141.20ms, mfu 0.16%
iter 40: loss 8.9827, time 209.51ms, mfu 0.16%
iter 41: loss 8.8177, time 145.44ms, mfu 0.16%
iter 42: loss 8.9793, time 139.00ms, mfu 0.17%
iter 43: loss 8.8629, time 136.55ms, mfu 0.17%
iter 44: loss 8.7489, time 154.13ms, mfu 0.17%
iter 45: loss 8.5099, time 183.53ms, mfu 0.17%
iter 46: loss 8.5791, time 286.58ms, mfu 0.17%
iter 47: loss 8.5552, time 253.98ms, mfu 0.16%
iter 48: loss 8.2836, time 159.84ms, mfu 0.16%
iter 49: loss 8.2442, time 145.82ms, mfu 0.17%
iter 50: loss 8.2032, time 186.84ms, mfu 0.17%
iter 51: loss 7.9920, time 240.82ms, mfu 0.16%
iter 52: loss 8.0386, time 260.12ms, mfu 0.16%
iter 53: loss 7.8400, time 236.03ms, mfu 0.15%
iter 54: loss 7.9399, time 282.32ms, mfu 0.15%
iter 55: loss 7.8443, time 259.01ms, mfu 0.15%
iter 56: loss 7.5732, time 233.64ms, mfu 0.14%
iter 57: loss 7.6141, time 309.93ms, mfu 0.14%
iter 58: loss 7.4931, time 304.34ms, mfu 0.13%
iter 59: loss 7.2439, time 378.76ms, mfu 0.13%
iter 60: loss 7.3329, time 216.79ms, mfu 0.13%
iter 61: loss 7.2481, time 272.63ms, mfu 0.13%
iter 62: loss 7.1920, time 231.64ms, mfu 0.13%
iter 63: loss 7.0815, time 179.94ms, mfu 0.13%
iter 64: loss 6.9417, time 171.55ms, mfu 0.14%
iter 65: loss 6.9110, time 302.65ms, mfu 0.13%
iter 66: loss 6.9812, time 298.48ms, mfu 0.13%
iter 67: loss 6.7661, time 370.66ms, mfu 0.12%
iter 68: loss 6.5461, time 158.88ms, mfu 0.13%
iter 69: loss 6.5703, time 131.00ms, mfu 0.14%
iter 70: loss 6.6962, time 206.08ms, mfu 0.14%
iter 71: loss 6.2943, time 294.61ms, mfu 0.14%
iter 72: loss 6.5485, time 338.39ms, mfu 0.13%
