step 0: train loss 10.8405, val loss 10.8497
iter 0: loss 10.8436, time 5794.95ms, mfu -100.00%
iter 1: loss 10.8277, time 256.39ms, mfu -100.00%
iter 2: loss 10.7351, time 371.39ms, mfu -100.00%
iter 3: loss 10.6167, time 348.55ms, mfu -100.00%
iter 4: loss 10.5152, time 329.81ms, mfu -100.00%
iter 5: loss 10.4791, time 419.90ms, mfu 0.07%
iter 6: loss 10.4706, time 420.89ms, mfu 0.07%
iter 7: loss 10.4666, time 353.94ms, mfu 0.07%
iter 8: loss 10.4269, time 297.62ms, mfu 0.07%
iter 9: loss 10.4231, time 251.98ms, mfu 0.08%
iter 10: loss 10.4000, time 284.28ms, mfu 0.08%
iter 11: loss 10.4242, time 199.70ms, mfu 0.09%
iter 12: loss 10.3458, time 222.49ms, mfu 0.09%
iter 13: loss 10.3447, time 343.82ms, mfu 0.09%
iter 14: loss 10.2975, time 411.80ms, mfu 0.09%
iter 15: loss 10.2578, time 414.45ms, mfu 0.09%
iter 16: loss 10.2314, time 375.48ms, mfu 0.09%
iter 17: loss 10.2503, time 423.73ms, mfu 0.09%
iter 18: loss 10.1601, time 432.33ms, mfu 0.08%
iter 19: loss 10.1811, time 211.96ms, mfu 0.09%
iter 20: loss 10.1882, time 196.95ms, mfu 0.10%
iter 21: loss 10.1114, time 197.43ms, mfu 0.10%
iter 22: loss 10.1227, time 217.99ms, mfu 0.10%
iter 23: loss 10.0501, time 202.09ms, mfu 0.11%
iter 24: loss 9.9854, time 478.33ms, mfu 0.10%
iter 25: loss 9.9220, time 200.64ms, mfu 0.11%
iter 26: loss 9.8979, time 269.81ms, mfu 0.11%
iter 27: loss 9.8763, time 313.13ms, mfu 0.11%
iter 28: loss 9.7665, time 409.26ms, mfu 0.10%
iter 29: loss 9.7545, time 251.39ms, mfu 0.11%
iter 30: loss 9.7513, time 455.48ms, mfu 0.10%
iter 31: loss 9.6309, time 440.89ms, mfu 0.10%
iter 32: loss 9.6124, time 332.01ms, mfu 0.10%
iter 33: loss 9.5240, time 375.45ms, mfu 0.10%
iter 34: loss 9.4948, time 235.70ms, mfu 0.10%
iter 35: loss 9.4547, time 324.76ms, mfu 0.10%
iter 36: loss 9.2524, time 435.28ms, mfu 0.09%
iter 37: loss 9.2218, time 296.58ms, mfu 0.10%
iter 38: loss 9.1258, time 424.44ms, mfu 0.09%
iter 39: loss 9.2179, time 312.54ms, mfu 0.09%
iter 40: loss 8.9832, time 388.49ms, mfu 0.09%
iter 41: loss 8.8177, time 387.59ms, mfu 0.09%
iter 42: loss 8.9800, time 247.06ms, mfu 0.09%
iter 43: loss 8.8637, time 222.90ms, mfu 0.10%
iter 44: loss 8.7487, time 192.43ms, mfu 0.10%
iter 45: loss 8.5102, time 194.03ms, mfu 0.11%
iter 46: loss 8.5795, time 253.95ms, mfu 0.11%
iter 47: loss 8.5551, time 212.49ms, mfu 0.11%
iter 48: loss 8.2836, time 225.35ms, mfu 0.11%
iter 49: loss 8.2445, time 408.37ms, mfu 0.11%
iter 50: loss 8.2035, time 316.71ms, mfu 0.11%
iter 51: loss 7.9914, time 202.79ms, mfu 0.11%
iter 52: loss 8.0380, time 308.93ms, mfu 0.11%
iter 53: loss 7.8398, time 255.12ms, mfu 0.11%
iter 54: loss 7.9397, time 206.26ms, mfu 0.11%
iter 55: loss 7.8448, time 207.62ms, mfu 0.12%
iter 56: loss 7.5736, time 209.33ms, mfu 0.12%
iter 57: loss 7.6139, time 216.06ms, mfu 0.12%
iter 58: loss 7.4935, time 201.69ms, mfu 0.12%
iter 59: loss 7.2432, time 195.43ms, mfu 0.13%
iter 60: loss 7.3338, time 196.23ms, mfu 0.13%
iter 61: loss 7.2476, time 231.15ms, mfu 0.13%
iter 62: loss 7.1952, time 433.33ms, mfu 0.12%
iter 63: loss 7.0826, time 316.68ms, mfu 0.12%
iter 64: loss 6.9400, time 217.96ms, mfu 0.12%
iter 65: loss 6.9171, time 207.84ms, mfu 0.12%
iter 66: loss 6.9929, time 212.18ms, mfu 0.13%
iter 67: loss 6.7803, time 212.60ms, mfu 0.13%
iter 68: loss 6.5632, time 213.98ms, mfu 0.13%
iter 69: loss 6.5878, time 212.09ms, mfu 0.13%
iter 70: loss 6.7186, time 407.59ms, mfu 0.12%
iter 71: loss 6.3271, time 444.17ms, mfu 0.12%
iter 72: loss 6.5767, time 341.85ms, mfu 0.11%
iter 73: loss 6.1269, time 286.64ms, mfu 0.11%
iter 74: loss 6.5829, time 295.68ms, mfu 0.11%
iter 75: loss 6.4723, time 336.21ms, mfu 0.11%
iter 76: loss 6.4901, time 302.96ms, mfu 0.11%
iter 77: loss 5.8111, time 349.71ms, mfu 0.11%
iter 78: loss 6.1766, time 353.68ms, mfu 0.10%
iter 79: loss 6.2517, time 319.79ms, mfu 0.10%
iter 80: loss 6.3339, time 378.80ms, mfu 0.10%
iter 81: loss 6.0812, time 522.90ms, mfu 0.10%
iter 82: loss 6.2026, time 230.98ms, mfu 0.10%
iter 83: loss 6.0327, time 250.42ms, mfu 0.10%
iter 84: loss 6.1674, time 270.69ms, mfu 0.10%
iter 85: loss 6.1222, time 313.12ms, mfu 0.10%
iter 86: loss 5.8910, time 240.10ms, mfu 0.10%
iter 87: loss 6.2437, time 250.22ms, mfu 0.11%
iter 88: loss 6.4055, time 247.61ms, mfu 0.11%
iter 89: loss 5.9476, time 239.83ms, mfu 0.11%
iter 90: loss 6.5172, time 343.67ms, mfu 0.11%
iter 91: loss 5.9679, time 393.94ms, mfu 0.10%
iter 92: loss 5.9139, time 210.01ms, mfu 0.11%
iter 93: loss 6.2773, time 206.95ms, mfu 0.11%
iter 94: loss 5.8486, time 206.25ms, mfu 0.11%
iter 95: loss 6.0947, time 383.78ms, mfu 0.11%
iter 96: loss 5.6754, time 330.39ms, mfu 0.11%
iter 97: loss 5.8158, time 411.32ms, mfu 0.10%
iter 98: loss 6.2504, time 248.07ms, mfu 0.11%
