step 0: train loss 10.8428, val loss 10.8461
iter 0: loss 10.8489, time 2325.54ms, mfu -100.00%
iter 1: loss 10.8432, time 33.14ms, mfu -100.00%
iter 2: loss 10.8378, time 48.15ms, mfu -100.00%
iter 3: loss 10.8180, time 33.09ms, mfu -100.00%
iter 4: loss 10.7877, time 33.00ms, mfu -100.00%
iter 5: loss 10.7615, time 62.19ms, mfu 1.85%
iter 6: loss 10.6997, time 44.00ms, mfu 1.92%
iter 7: loss 10.6680, time 44.05ms, mfu 1.99%
iter 8: loss 10.6098, time 43.98ms, mfu 2.05%
iter 9: loss 10.5522, time 41.62ms, mfu 2.12%
iter 10: loss 10.4992, time 48.19ms, mfu 2.15%
iter 11: loss 10.4806, time 39.83ms, mfu 2.22%
iter 12: loss 10.4430, time 46.77ms, mfu 2.25%
iter 13: loss 10.4107, time 58.85ms, mfu 2.22%
iter 14: loss 10.3867, time 47.84ms, mfu 2.24%
iter 15: loss 10.3420, time 47.42ms, mfu 2.25%
iter 16: loss 10.3302, time 49.87ms, mfu 2.26%
iter 17: loss 10.2918, time 53.13ms, mfu 2.25%
iter 18: loss 10.2488, time 35.17ms, mfu 2.35%
iter 19: loss 10.2221, time 34.98ms, mfu 2.44%
iter 20: loss 10.2006, time 32.95ms, mfu 2.55%
iter 21: loss 10.1604, time 33.81ms, mfu 2.63%
iter 22: loss 10.1028, time 33.21ms, mfu 2.72%
iter 23: loss 10.0687, time 32.92ms, mfu 2.79%
iter 24: loss 10.0262, time 33.10ms, mfu 2.86%
iter 25: loss 9.9727, time 33.41ms, mfu 2.92%
iter 26: loss 9.9431, time 33.23ms, mfu 2.97%
iter 27: loss 9.8636, time 33.05ms, mfu 3.02%
iter 28: loss 9.8308, time 32.97ms, mfu 3.07%
iter 29: loss 9.7765, time 32.87ms, mfu 3.11%
iter 30: loss 9.7002, time 33.21ms, mfu 3.15%
iter 31: loss 9.6338, time 32.88ms, mfu 3.18%
iter 32: loss 9.5797, time 32.76ms, mfu 3.21%
iter 33: loss 9.5273, time 34.03ms, mfu 3.23%
iter 34: loss 9.4472, time 32.88ms, mfu 3.26%
iter 35: loss 9.3745, time 33.13ms, mfu 3.28%
iter 36: loss 9.2887, time 45.72ms, mfu 3.20%
iter 37: loss 9.2228, time 33.02ms, mfu 3.23%
iter 38: loss 9.1549, time 43.05ms, mfu 3.17%
iter 39: loss 9.0597, time 32.79ms, mfu 3.21%
iter 40: loss 9.0023, time 32.90ms, mfu 3.23%
iter 41: loss 8.9010, time 42.02ms, mfu 3.18%
iter 42: loss 8.8343, time 38.20ms, mfu 3.17%
iter 43: loss 8.7523, time 39.99ms, mfu 3.14%
iter 44: loss 8.6569, time 32.61ms, mfu 3.18%
iter 45: loss 8.5319, time 32.95ms, mfu 3.21%
iter 46: loss 8.4862, time 60.36ms, mfu 3.08%
iter 47: loss 8.3712, time 48.79ms, mfu 3.00%
iter 48: loss 8.2927, time 33.03ms, mfu 3.05%
iter 49: loss 8.2139, time 49.50ms, mfu 2.98%
iter 50: loss 8.1295, time 68.53ms, mfu 2.85%
iter 51: loss 8.0079, time 40.45ms, mfu 2.85%
iter 52: loss 7.9751, time 39.36ms, mfu 2.85%
iter 53: loss 7.8689, time 61.24ms, mfu 2.76%
iter 54: loss 7.7472, time 37.77ms, mfu 2.79%
iter 55: loss 7.7215, time 58.30ms, mfu 2.70%
iter 56: loss 7.6097, time 32.85ms, mfu 2.78%
iter 57: loss 7.5045, time 56.22ms, mfu 2.71%
iter 58: loss 7.4084, time 51.87ms, mfu 2.66%
iter 59: loss 7.3175, time 42.85ms, mfu 2.66%
iter 60: loss 7.2606, time 48.81ms, mfu 2.63%
iter 61: loss 7.2065, time 38.13ms, mfu 2.67%
iter 62: loss 7.0829, time 40.47ms, mfu 2.69%
iter 63: loss 7.0413, time 40.00ms, mfu 2.70%
iter 64: loss 6.9668, time 41.77ms, mfu 2.71%
iter 65: loss 6.8695, time 53.82ms, mfu 2.65%
iter 66: loss 6.8440, time 43.91ms, mfu 2.65%
iter 67: loss 6.7386, time 72.82ms, mfu 2.54%
iter 68: loss 6.6817, time 43.82ms, mfu 2.55%
iter 69: loss 6.6171, time 54.86ms, mfu 2.50%
iter 70: loss 6.6292, time 44.99ms, mfu 2.51%
iter 71: loss 6.5559, time 40.35ms, mfu 2.54%
iter 72: loss 6.4592, time 59.79ms, mfu 2.48%
iter 73: loss 6.3833, time 43.91ms, mfu 2.49%
iter 74: loss 6.3313, time 44.13ms, mfu 2.50%
iter 75: loss 6.2530, time 43.98ms, mfu 2.52%
iter 76: loss 6.2422, time 61.36ms, mfu 2.45%
iter 77: loss 6.2073, time 63.93ms, mfu 2.39%
iter 78: loss 6.1830, time 53.15ms, mfu 2.36%
iter 79: loss 6.1523, time 34.00ms, mfu 2.46%
