step 0: train loss 10.8509, val loss 10.8530
iter 0: loss 10.8551, time 1672.08ms, mfu -100.00%
iter 1: loss 10.8637, time 14.27ms, mfu -100.00%
iter 2: loss 10.8490, time 17.56ms, mfu -100.00%
iter 3: loss 10.8380, time 13.18ms, mfu -100.00%
iter 4: loss 10.8137, time 13.07ms, mfu -100.00%
iter 5: loss 10.8019, time 20.75ms, mfu 1.05%
iter 6: loss 10.7538, time 24.04ms, mfu 1.03%
iter 7: loss 10.6871, time 13.38ms, mfu 1.09%
iter 8: loss 10.6856, time 12.26ms, mfu 1.16%
iter 9: loss 10.6370, time 14.66ms, mfu 1.19%
iter 10: loss 10.6041, time 12.66ms, mfu 1.24%
iter 11: loss 10.5339, time 12.64ms, mfu 1.29%
iter 12: loss 10.4996, time 12.57ms, mfu 1.34%
iter 13: loss 10.4761, time 12.56ms, mfu 1.38%
iter 14: loss 10.4661, time 12.55ms, mfu 1.41%
iter 15: loss 10.4389, time 13.01ms, mfu 1.44%
iter 16: loss 10.3799, time 13.19ms, mfu 1.46%
iter 17: loss 10.3957, time 12.51ms, mfu 1.49%
iter 18: loss 10.3431, time 12.58ms, mfu 1.51%
iter 19: loss 10.3069, time 12.39ms, mfu 1.53%
iter 20: loss 10.3023, time 12.59ms, mfu 1.55%
iter 21: loss 10.2291, time 12.52ms, mfu 1.57%
iter 22: loss 10.2060, time 17.06ms, mfu 1.54%
iter 23: loss 10.1946, time 13.45ms, mfu 1.55%
iter 24: loss 10.1571, time 13.12ms, mfu 1.56%
iter 25: loss 10.0960, time 13.27ms, mfu 1.57%
iter 26: loss 10.0429, time 13.10ms, mfu 1.58%
iter 27: loss 10.0291, time 12.97ms, mfu 1.59%
iter 28: loss 9.9200, time 13.47ms, mfu 1.59%
iter 29: loss 9.8886, time 13.91ms, mfu 1.59%
iter 30: loss 9.8076, time 14.03ms, mfu 1.58%
iter 31: loss 9.8347, time 13.21ms, mfu 1.59%
iter 32: loss 9.7120, time 13.11ms, mfu 1.60%
iter 33: loss 9.6250, time 13.95ms, mfu 1.59%
iter 34: loss 9.5416, time 15.54ms, mfu 1.57%
iter 35: loss 9.5376, time 18.14ms, mfu 1.54%
iter 36: loss 9.4398, time 14.90ms, mfu 1.53%
iter 37: loss 9.3657, time 15.09ms, mfu 1.52%
iter 38: loss 9.2604, time 14.70ms, mfu 1.51%
iter 39: loss 9.2036, time 12.22ms, mfu 1.54%
iter 40: loss 9.1086, time 12.30ms, mfu 1.56%
iter 41: loss 9.0793, time 12.30ms, mfu 1.58%
iter 42: loss 8.9469, time 12.19ms, mfu 1.60%
iter 43: loss 8.8560, time 12.34ms, mfu 1.62%
iter 44: loss 8.8127, time 12.24ms, mfu 1.64%
iter 45: loss 8.7861, time 12.29ms, mfu 1.65%
iter 46: loss 8.6496, time 12.41ms, mfu 1.66%
iter 47: loss 8.7061, time 18.79ms, mfu 1.61%
iter 48: loss 8.4559, time 20.81ms, mfu 1.55%
iter 49: loss 8.3898, time 17.52ms, mfu 1.52%
iter 50: loss 8.2250, time 14.50ms, mfu 1.52%
iter 51: loss 8.1655, time 12.99ms, mfu 1.53%
iter 52: loss 8.1339, time 12.76ms, mfu 1.55%
iter 53: loss 8.0918, time 12.68ms, mfu 1.57%
iter 54: loss 7.9762, time 12.62ms, mfu 1.58%
iter 55: loss 7.7865, time 12.72ms, mfu 1.60%
iter 56: loss 7.8350, time 12.31ms, mfu 1.61%
iter 57: loss 7.7735, time 12.81ms, mfu 1.62%
iter 58: loss 7.5420, time 13.31ms, mfu 1.62%
iter 59: loss 7.5876, time 13.11ms, mfu 1.63%
iter 60: loss 7.3862, time 13.47ms, mfu 1.62%
iter 61: loss 7.4596, time 13.22ms, mfu 1.63%
iter 62: loss 7.3300, time 13.11ms, mfu 1.63%
iter 63: loss 7.2311, time 12.51ms, mfu 1.64%
iter 64: loss 7.1029, time 12.86ms, mfu 1.65%
iter 65: loss 7.1041, time 12.58ms, mfu 1.65%
iter 66: loss 7.0109, time 12.64ms, mfu 1.66%
iter 67: loss 6.9274, time 12.75ms, mfu 1.66%
iter 68: loss 6.6663, time 13.52ms, mfu 1.66%
iter 69: loss 6.9529, time 13.46ms, mfu 1.65%
iter 70: loss 6.6249, time 13.31ms, mfu 1.65%
iter 71: loss 6.6404, time 13.21ms, mfu 1.65%
iter 72: loss 6.6121, time 13.36ms, mfu 1.65%
iter 73: loss 6.4494, time 13.30ms, mfu 1.65%
iter 74: loss 6.6622, time 13.21ms, mfu 1.65%
iter 75: loss 6.1765, time 13.83ms, mfu 1.64%
iter 76: loss 6.1735, time 14.22ms, mfu 1.63%
iter 77: loss 6.5659, time 13.84ms, mfu 1.62%
iter 78: loss 6.2555, time 13.70ms, mfu 1.62%
iter 79: loss 6.5355, time 13.57ms, mfu 1.62%
iter 80: loss 6.3702, time 13.75ms, mfu 1.61%
iter 81: loss 6.0721, time 13.89ms, mfu 1.61%
iter 82: loss 6.4099, time 14.15ms, mfu 1.60%
iter 83: loss 6.2340, time 13.91ms, mfu 1.60%
iter 84: loss 6.2007, time 14.62ms, mfu 1.59%
iter 85: loss 5.8394, time 15.77ms, mfu 1.57%
iter 86: loss 5.8107, time 16.98ms, mfu 1.54%
iter 87: loss 5.9232, time 20.25ms, mfu 1.49%
iter 88: loss 5.8580, time 20.85ms, mfu 1.45%
iter 89: loss 6.2106, time 15.22ms, mfu 1.44%
iter 90: loss 5.6597, time 16.20ms, mfu 1.43%
iter 91: loss 5.8752, time 17.05ms, mfu 1.42%
iter 92: loss 5.8519, time 16.21ms, mfu 1.41%
iter 93: loss 6.2036, time 14.95ms, mfu 1.41%
iter 94: loss 5.8726, time 12.44ms, mfu 1.45%
iter 95: loss 5.8700, time 12.83ms, mfu 1.47%
iter 96: loss 6.0589, time 12.87ms, mfu 1.49%
iter 97: loss 6.1662, time 12.97ms, mfu 1.51%
iter 98: loss 5.8611, time 12.84ms, mfu 1.53%
iter 99: loss 5.8650, time 12.72ms, mfu 1.55%
iter 100: loss 5.7681, time 13.09ms, mfu 1.56%
iter 101: loss 6.0432, time 13.09ms, mfu 1.57%
iter 102: loss 5.9206, time 13.10ms, mfu 1.58%
iter 103: loss 5.8399, time 12.86ms, mfu 1.59%
iter 104: loss 5.7009, time 12.40ms, mfu 1.61%
iter 105: loss 5.5779, time 11.82ms, mfu 1.63%
iter 106: loss 5.5057, time 11.54ms, mfu 1.65%
iter 107: loss 5.5345, time 15.48ms, mfu 1.63%
iter 108: loss 5.6923, time 17.50ms, mfu 1.59%
iter 109: loss 5.6315, time 13.77ms, mfu 1.59%
iter 110: loss 5.3690, time 11.65ms, mfu 1.62%
iter 111: loss 5.6296, time 11.42ms, mfu 1.65%
iter 112: loss 5.4370, time 11.42ms, mfu 1.67%
iter 113: loss 5.6777, time 11.47ms, mfu 1.69%
iter 114: loss 5.7861, time 11.41ms, mfu 1.71%
iter 115: loss 5.6459, time 14.68ms, mfu 1.69%
iter 116: loss 5.8422, time 11.54ms, mfu 1.71%
iter 117: loss 5.5626, time 11.44ms, mfu 1.73%
iter 118: loss 5.6042, time 11.41ms, mfu 1.75%
iter 119: loss 5.4020, time 11.93ms, mfu 1.75%
iter 120: loss 5.4350, time 13.23ms, mfu 1.74%
iter 121: loss 5.1713, time 13.96ms, mfu 1.72%
iter 122: loss 5.2874, time 17.24ms, mfu 1.68%
iter 123: loss 5.3512, time 16.29ms, mfu 1.64%
iter 124: loss 5.6225, time 12.74ms, mfu 1.65%
iter 125: loss 5.2355, time 11.79ms, mfu 1.67%
iter 126: loss 5.4729, time 11.69ms, mfu 1.69%
iter 127: loss 5.5383, time 11.69ms, mfu 1.71%
iter 128: loss 5.2911, time 11.67ms, mfu 1.72%
iter 129: loss 5.4829, time 19.79ms, mfu 1.66%
iter 130: loss 5.2181, time 12.12ms, mfu 1.67%
iter 131: loss 5.5218, time 14.05ms, mfu 1.66%
iter 132: loss 5.4347, time 13.74ms, mfu 1.65%
iter 133: loss 5.4601, time 13.40ms, mfu 1.65%
iter 134: loss 5.3530, time 12.98ms, mfu 1.65%
iter 135: loss 5.0898, time 13.29ms, mfu 1.65%
iter 136: loss 5.0995, time 13.74ms, mfu 1.64%
iter 137: loss 5.1204, time 13.76ms, mfu 1.64%
iter 138: loss 5.4827, time 13.48ms, mfu 1.63%
iter 139: loss 5.2501, time 13.39ms, mfu 1.63%
iter 140: loss 5.1561, time 13.32ms, mfu 1.63%
iter 141: loss 5.0002, time 13.31ms, mfu 1.63%
iter 142: loss 4.9158, time 13.88ms, mfu 1.63%
iter 143: loss 4.8180, time 13.32ms, mfu 1.63%
iter 144: loss 5.1024, time 13.55ms, mfu 1.62%
iter 145: loss 5.2576, time 13.35ms, mfu 1.62%
iter 146: loss 4.8732, time 13.55ms, mfu 1.62%
iter 147: loss 5.2495, time 13.42ms, mfu 1.62%
iter 148: loss 5.3309, time 13.46ms, mfu 1.62%
iter 149: loss 4.9041, time 13.53ms, mfu 1.62%
iter 150: loss 5.1565, time 13.38ms, mfu 1.62%
iter 151: loss 5.0548, time 13.30ms, mfu 1.62%
iter 152: loss 5.1141, time 13.67ms, mfu 1.62%
iter 153: loss 5.2675, time 13.75ms, mfu 1.61%
iter 154: loss 5.2258, time 13.35ms, mfu 1.62%
iter 155: loss 5.2165, time 13.39ms, mfu 1.62%
iter 156: loss 5.1840, time 13.57ms, mfu 1.62%
iter 157: loss 4.9965, time 13.35ms, mfu 1.62%
iter 158: loss 5.2578, time 13.21ms, mfu 1.62%
iter 159: loss 5.2491, time 13.68ms, mfu 1.62%
iter 160: loss 5.0682, time 13.72ms, mfu 1.61%
iter 161: loss 5.0778, time 13.56ms, mfu 1.61%
iter 162: loss 4.7439, time 13.55ms, mfu 1.61%
iter 163: loss 4.6095, time 13.29ms, mfu 1.61%
iter 164: loss 5.1736, time 13.37ms, mfu 1.61%
iter 165: loss 5.0408, time 13.69ms, mfu 1.61%
iter 166: loss 4.8402, time 17.62ms, mfu 1.57%
iter 167: loss 4.7490, time 13.25ms, mfu 1.58%
iter 168: loss 4.6374, time 14.55ms, mfu 1.57%
iter 169: loss 4.8664, time 13.48ms, mfu 1.58%
iter 170: loss 5.3782, time 14.67ms, mfu 1.57%
iter 171: loss 5.3595, time 13.40ms, mfu 1.57%
iter 172: loss 4.8650, time 13.30ms, mfu 1.58%
iter 173: loss 4.8769, time 13.49ms, mfu 1.58%
iter 174: loss 4.6402, time 13.80ms, mfu 1.58%
iter 175: loss 4.8103, time 13.30ms, mfu 1.59%
iter 176: loss 4.7506, time 14.11ms, mfu 1.58%
iter 177: loss 4.9091, time 14.60ms, mfu 1.57%
iter 178: loss 5.2459, time 23.58ms, mfu 1.51%
iter 179: loss 4.8013, time 14.57ms, mfu 1.51%
iter 180: loss 4.8156, time 13.52ms, mfu 1.52%
iter 181: loss 5.0026, time 14.65ms, mfu 1.51%
iter 182: loss 4.8563, time 13.61ms, mfu 1.52%
iter 183: loss 4.5412, time 16.28ms, mfu 1.50%
iter 184: loss 5.0013, time 15.66ms, mfu 1.49%
iter 185: loss 5.0080, time 13.23ms, mfu 1.51%
iter 186: loss 4.9067, time 13.22ms, mfu 1.52%
iter 187: loss 4.9883, time 13.81ms, mfu 1.53%
iter 188: loss 4.8031, time 21.46ms, mfu 1.47%
iter 189: loss 4.6022, time 13.48ms, mfu 1.49%
iter 190: loss 4.8718, time 13.68ms, mfu 1.50%
iter 191: loss 4.8935, time 13.32ms, mfu 1.51%
iter 192: loss 4.8237, time 13.42ms, mfu 1.52%
iter 193: loss 4.7494, time 13.22ms, mfu 1.53%
iter 194: loss 4.7160, time 20.47ms, mfu 1.49%
iter 195: loss 4.9790, time 13.47ms, mfu 1.50%
iter 196: loss 4.7951, time 13.35ms, mfu 1.51%
iter 197: loss 4.8252, time 13.29ms, mfu 1.52%
iter 198: loss 4.8308, time 18.86ms, mfu 1.49%
iter 199: loss 4.8048, time 15.35ms, mfu 1.48%
iter 200: loss 4.5123, time 13.73ms, mfu 1.49%
iter 201: loss 5.0536, time 21.56ms, mfu 1.44%
iter 202: loss 5.0489, time 13.46ms, mfu 1.46%
iter 203: loss 4.8254, time 13.35ms, mfu 1.48%
iter 204: loss 4.8535, time 13.60ms, mfu 1.49%
iter 205: loss 4.8782, time 13.26ms, mfu 1.50%
iter 206: loss 4.8620, time 21.47ms, mfu 1.45%
iter 207: loss 4.9146, time 13.44ms, mfu 1.47%
iter 208: loss 4.8831, time 13.66ms, mfu 1.48%
iter 209: loss 4.8219, time 13.39ms, mfu 1.50%
iter 210: loss 4.6304, time 21.65ms, mfu 1.45%
iter 211: loss 4.6662, time 13.79ms, mfu 1.46%
iter 212: loss 4.9133, time 13.24ms, mfu 1.48%
iter 213: loss 4.8946, time 13.68ms, mfu 1.49%
iter 214: loss 4.5830, time 15.71ms, mfu 1.48%
iter 215: loss 5.0400, time 14.36ms, mfu 1.48%
iter 216: loss 5.0453, time 14.77ms, mfu 1.48%
iter 217: loss 4.7472, time 25.92ms, mfu 1.42%
iter 218: loss 4.7844, time 14.21ms, mfu 1.43%
iter 219: loss 4.3287, time 15.78ms, mfu 1.42%
iter 220: loss 4.4716, time 20.00ms, mfu 1.39%
iter 221: loss 4.8524, time 36.76ms, mfu 1.31%
iter 222: loss 4.6265, time 31.19ms, mfu 1.25%
iter 223: loss 4.6733, time 35.66ms, mfu 1.18%
iter 224: loss 4.6921, time 13.43ms, mfu 1.23%
iter 225: loss 4.8070, time 15.61ms, mfu 1.24%
iter 226: loss 5.1899, time 21.90ms, mfu 1.22%
iter 227: loss 4.7273, time 13.32ms, mfu 1.26%
iter 228: loss 5.0766, time 16.89ms, mfu 1.26%
iter 229: loss 4.9313, time 22.01ms, mfu 1.24%
iter 230: loss 4.7471, time 19.20ms, mfu 1.23%
iter 231: loss 4.4060, time 13.51ms, mfu 1.26%
iter 232: loss 5.0300, time 13.38ms, mfu 1.30%
iter 233: loss 4.8983, time 13.18ms, mfu 1.33%
iter 234: loss 4.3892, time 13.43ms, mfu 1.36%
iter 235: loss 4.8464, time 13.18ms, mfu 1.39%
iter 236: loss 4.6017, time 28.23ms, mfu 1.33%
iter 237: loss 4.7609, time 14.12ms, mfu 1.35%
iter 238: loss 4.6922, time 13.43ms, mfu 1.38%
iter 239: loss 4.7217, time 21.79ms, mfu 1.34%
iter 240: loss 4.6402, time 15.84ms, mfu 1.34%
iter 241: loss 4.8178, time 13.29ms, mfu 1.37%
iter 242: loss 5.0784, time 13.13ms, mfu 1.40%
iter 243: loss 4.5188, time 13.40ms, mfu 1.42%
iter 244: loss 4.8148, time 19.76ms, mfu 1.39%
iter 245: loss 4.3975, time 28.01ms, mfu 1.33%
iter 246: loss 4.9317, time 13.33ms, mfu 1.36%
iter 247: loss 4.6648, time 14.15ms, mfu 1.38%
iter 248: loss 4.3998, time 23.51ms, mfu 1.33%
iter 249: loss 4.2111, time 19.26ms, mfu 1.31%
step 250: train loss 4.6547, val loss 4.5371
saving checkpoint to out
iter 250: loss 4.2828, time 778.83ms, mfu 1.18%
iter 251: loss 4.4428, time 13.70ms, mfu 1.22%
iter 252: loss 4.7283, time 13.28ms, mfu 1.26%
iter 253: loss 4.6565, time 13.24ms, mfu 1.30%
iter 254: loss 4.9813, time 13.61ms, mfu 1.33%
iter 255: loss 5.0471, time 13.13ms, mfu 1.36%
iter 256: loss 4.8295, time 13.29ms, mfu 1.39%
iter 257: loss 4.8766, time 13.24ms, mfu 1.42%
iter 258: loss 4.7405, time 13.46ms, mfu 1.44%
iter 259: loss 4.6686, time 13.56ms, mfu 1.45%
iter 260: loss 4.5338, time 13.34ms, mfu 1.47%
iter 261: loss 4.3915, time 13.28ms, mfu 1.49%
