step 0: train loss 10.9384, val loss 10.9297
iter 0: loss 10.9062, time 2069.67ms, mfu -100.00%
iter 1: loss 10.9636, time 19.35ms, mfu -100.00%
iter 2: loss 10.7823, time 15.20ms, mfu -100.00%
iter 3: loss 10.6246, time 15.37ms, mfu -100.00%
iter 4: loss 10.3761, time 15.34ms, mfu -100.00%
iter 5: loss 10.0947, time 15.02ms, mfu 3.80%
iter 6: loss 9.8314, time 15.34ms, mfu 3.79%
iter 7: loss 9.8590, time 15.69ms, mfu 3.77%
iter 8: loss 9.6308, time 14.87ms, mfu 3.78%
iter 9: loss 9.3685, time 14.63ms, mfu 3.79%
iter 10: loss 9.3513, time 30.96ms, mfu 3.60%
iter 11: loss 9.4776, time 25.11ms, mfu 3.46%
iter 12: loss 9.2652, time 23.79ms, mfu 3.36%
iter 13: loss 9.1653, time 15.17ms, mfu 3.40%
iter 14: loss 9.1646, time 15.21ms, mfu 3.43%
iter 15: loss 9.1291, time 14.80ms, mfu 3.47%
iter 16: loss 8.9411, time 15.07ms, mfu 3.51%
iter 17: loss 8.9020, time 35.91ms, mfu 3.31%
iter 18: loss 8.8921, time 23.90ms, mfu 3.22%
iter 19: loss 8.5674, time 15.38ms, mfu 3.27%
iter 20: loss 8.5897, time 23.74ms, mfu 3.18%
iter 21: loss 8.4350, time 15.16ms, mfu 3.24%
iter 22: loss 8.2405, time 15.55ms, mfu 3.28%
iter 23: loss 8.1274, time 15.19ms, mfu 3.33%
iter 24: loss 8.1548, time 14.82ms, mfu 3.38%
iter 25: loss 7.9062, time 14.99ms, mfu 3.42%
iter 26: loss 7.6480, time 20.70ms, mfu 3.36%
iter 27: loss 7.4836, time 24.51ms, mfu 3.25%
iter 28: loss 7.2860, time 22.85ms, mfu 3.18%
iter 29: loss 7.2605, time 19.62ms, mfu 3.15%
iter 30: loss 7.2987, time 17.15ms, mfu 3.17%
iter 31: loss 7.1048, time 42.65ms, mfu 2.99%
iter 32: loss 6.9991, time 15.71ms, mfu 3.05%
iter 33: loss 6.7335, time 26.08ms, mfu 2.96%
iter 34: loss 6.2903, time 15.52ms, mfu 3.03%
iter 35: loss 6.4646, time 15.47ms, mfu 3.10%
iter 36: loss 6.3272, time 15.39ms, mfu 3.16%
iter 37: loss 6.2198, time 16.75ms, mfu 3.18%
iter 38: loss 6.5659, time 18.95ms, mfu 3.17%
iter 39: loss 5.7756, time 18.26ms, mfu 3.16%
iter 40: loss 5.8655, time 17.44ms, mfu 3.17%
iter 41: loss 6.1759, time 17.57ms, mfu 3.18%
iter 42: loss 5.6526, time 16.44ms, mfu 3.21%
iter 43: loss 6.4719, time 17.02ms, mfu 3.22%
iter 44: loss 5.7941, time 15.49ms, mfu 3.27%
iter 45: loss 5.8371, time 49.38ms, mfu 3.06%
iter 46: loss 5.5208, time 15.19ms, mfu 3.13%
iter 47: loss 5.9660, time 14.99ms, mfu 3.19%
iter 48: loss 5.4948, time 15.08ms, mfu 3.25%
iter 49: loss 5.8267, time 14.88ms, mfu 3.31%
iter 50: loss 5.4163, time 15.08ms, mfu 3.36%
iter 51: loss 5.6435, time 15.28ms, mfu 3.40%
iter 52: loss 5.1731, time 14.87ms, mfu 3.44%
iter 53: loss 5.4153, time 14.85ms, mfu 3.48%
iter 54: loss 5.3965, time 14.66ms, mfu 3.52%
iter 55: loss 5.4035, time 15.11ms, mfu 3.55%
iter 56: loss 5.3877, time 15.51ms, mfu 3.56%
iter 57: loss 5.8315, time 15.13ms, mfu 3.58%
iter 58: loss 5.3926, time 15.48ms, mfu 3.59%
iter 59: loss 5.5091, time 15.06ms, mfu 3.61%
iter 60: loss 5.4839, time 18.17ms, mfu 3.56%
iter 61: loss 5.3580, time 18.84ms, mfu 3.51%
iter 62: loss 5.7563, time 17.61ms, mfu 3.48%
iter 63: loss 5.6286, time 19.18ms, mfu 3.43%
iter 64: loss 5.6529, time 17.02ms, mfu 3.42%
iter 65: loss 5.1286, time 15.49ms, mfu 3.45%
iter 66: loss 5.5550, time 14.88ms, mfu 3.49%
iter 67: loss 5.6652, time 15.11ms, mfu 3.52%
iter 68: loss 5.3676, time 15.60ms, mfu 3.53%
iter 69: loss 5.2977, time 14.96ms, mfu 3.56%
iter 70: loss 5.7916, time 15.15ms, mfu 3.58%
iter 71: loss 5.4791, time 15.34ms, mfu 3.59%
iter 72: loss 5.0757, time 15.07ms, mfu 3.61%
iter 73: loss 5.3621, time 15.29ms, mfu 3.62%
iter 74: loss 5.4014, time 15.54ms, mfu 3.63%
iter 75: loss 5.2536, time 14.92ms, mfu 3.65%
iter 76: loss 5.6010, time 15.14ms, mfu 3.66%
iter 77: loss 5.5821, time 16.28ms, mfu 3.64%
iter 78: loss 5.0106, time 15.34ms, mfu 3.65%
iter 79: loss 5.6468, time 15.01ms, mfu 3.67%
iter 80: loss 5.2894, time 16.08ms, mfu 3.65%
iter 81: loss 5.3066, time 15.50ms, mfu 3.66%
iter 82: loss 5.2024, time 15.38ms, mfu 3.66%
iter 83: loss 5.6035, time 15.75ms, mfu 3.66%
iter 84: loss 5.2116, time 16.17ms, mfu 3.64%
iter 85: loss 5.2868, time 15.65ms, mfu 3.64%
iter 86: loss 5.3050, time 15.53ms, mfu 3.65%
iter 87: loss 5.0335, time 15.60ms, mfu 3.65%
iter 88: loss 4.7828, time 16.87ms, mfu 3.62%
iter 89: loss 5.0104, time 15.92ms, mfu 3.62%
iter 90: loss 5.7127, time 15.52ms, mfu 3.62%
iter 91: loss 5.2556, time 15.90ms, mfu 3.62%
iter 92: loss 5.1585, time 15.65ms, mfu 3.62%
iter 93: loss 4.9447, time 16.98ms, mfu 3.60%
iter 94: loss 4.9377, time 15.67ms, mfu 3.60%
iter 95: loss 5.3213, time 15.66ms, mfu 3.60%
iter 96: loss 5.2231, time 15.95ms, mfu 3.60%
iter 97: loss 4.7174, time 16.01ms, mfu 3.60%
iter 98: loss 5.3894, time 15.26ms, mfu 3.61%
iter 99: loss 5.2644, time 15.79ms, mfu 3.61%
iter 100: loss 5.2011, time 15.97ms, mfu 3.61%
iter 101: loss 5.0769, time 15.89ms, mfu 3.60%
iter 102: loss 4.8734, time 16.03ms, mfu 3.60%
iter 103: loss 4.6685, time 15.88ms, mfu 3.60%
iter 104: loss 5.2371, time 15.98ms, mfu 3.60%
iter 105: loss 5.1908, time 15.94ms, mfu 3.59%
iter 106: loss 4.5698, time 15.59ms, mfu 3.60%
iter 107: loss 4.8959, time 15.63ms, mfu 3.61%
iter 108: loss 5.1104, time 15.46ms, mfu 3.61%
iter 109: loss 5.2889, time 15.86ms, mfu 3.61%
iter 110: loss 4.8178, time 15.54ms, mfu 3.62%
iter 111: loss 4.9253, time 15.80ms, mfu 3.62%
iter 112: loss 4.9244, time 15.33ms, mfu 3.63%
iter 113: loss 5.1676, time 15.69ms, mfu 3.63%
iter 114: loss 5.0372, time 15.34ms, mfu 3.64%
iter 115: loss 5.2011, time 16.00ms, mfu 3.63%
iter 116: loss 5.0240, time 16.14ms, mfu 3.62%
iter 117: loss 4.4514, time 16.11ms, mfu 3.61%
iter 118: loss 5.3484, time 15.91ms, mfu 3.61%
iter 119: loss 5.1485, time 15.71ms, mfu 3.61%
iter 120: loss 4.5741, time 15.43ms, mfu 3.62%
iter 121: loss 5.2087, time 15.61ms, mfu 3.62%
iter 122: loss 5.1116, time 15.55ms, mfu 3.63%
iter 123: loss 4.9626, time 15.35ms, mfu 3.64%
iter 124: loss 4.8111, time 15.32ms, mfu 3.64%
iter 125: loss 4.7752, time 16.10ms, mfu 3.63%
iter 126: loss 5.0574, time 15.80ms, mfu 3.63%
iter 127: loss 5.1728, time 16.14ms, mfu 3.62%
iter 128: loss 5.2149, time 15.97ms, mfu 3.62%
iter 129: loss 4.8016, time 15.95ms, mfu 3.61%
iter 130: loss 4.7688, time 15.93ms, mfu 3.61%
iter 131: loss 4.9898, time 15.45ms, mfu 3.62%
iter 132: loss 5.0548, time 15.00ms, mfu 3.64%
iter 133: loss 4.8681, time 16.98ms, mfu 3.61%
iter 134: loss 5.2505, time 21.77ms, mfu 3.51%
iter 135: loss 4.5273, time 24.07ms, mfu 3.39%
iter 136: loss 5.1037, time 23.56ms, mfu 3.30%
iter 137: loss 5.1095, time 18.78ms, mfu 3.27%
iter 138: loss 5.7168, time 15.92ms, mfu 3.30%
