step 0: train loss 10.8463, val loss 10.8417
iter 0: loss 10.8556, time 3106.28ms, mfu -100.00%
iter 1: loss 10.8572, time 14.94ms, mfu -100.00%
iter 2: loss 10.8433, time 11.95ms, mfu -100.00%
iter 3: loss 10.8248, time 12.60ms, mfu -100.00%
iter 4: loss 10.7975, time 12.89ms, mfu -100.00%
iter 5: loss 10.7703, time 12.05ms, mfu 0.89%
iter 6: loss 10.7596, time 12.12ms, mfu 0.89%
iter 7: loss 10.6863, time 12.04ms, mfu 0.89%
iter 8: loss 10.6572, time 12.29ms, mfu 0.89%
iter 9: loss 10.6198, time 12.02ms, mfu 0.89%
iter 10: loss 10.5639, time 12.16ms, mfu 0.89%
iter 11: loss 10.4876, time 11.77ms, mfu 0.89%
iter 12: loss 10.4627, time 12.22ms, mfu 0.89%
iter 13: loss 10.4370, time 12.77ms, mfu 0.89%
iter 14: loss 10.4067, time 12.10ms, mfu 0.89%
iter 15: loss 10.4045, time 12.23ms, mfu 0.89%
iter 16: loss 10.3438, time 12.16ms, mfu 0.89%
iter 17: loss 10.3517, time 11.88ms, mfu 0.89%
iter 18: loss 10.2899, time 11.76ms, mfu 0.89%
iter 19: loss 10.2622, time 12.21ms, mfu 0.89%
iter 20: loss 10.2414, time 12.14ms, mfu 0.89%
iter 21: loss 10.2164, time 12.08ms, mfu 0.89%
iter 22: loss 10.2038, time 11.76ms, mfu 0.89%
iter 23: loss 10.1378, time 12.11ms, mfu 0.89%
iter 24: loss 10.0904, time 11.93ms, mfu 0.89%
iter 25: loss 10.0351, time 12.00ms, mfu 0.89%
iter 26: loss 9.9761, time 12.44ms, mfu 0.89%
iter 27: loss 10.0042, time 12.12ms, mfu 0.89%
iter 28: loss 9.9101, time 12.08ms, mfu 0.89%
iter 29: loss 9.8210, time 12.12ms, mfu 0.89%
iter 30: loss 9.7825, time 12.48ms, mfu 0.89%
iter 31: loss 9.7103, time 12.15ms, mfu 0.89%
iter 32: loss 9.7021, time 12.69ms, mfu 0.88%
iter 33: loss 9.5826, time 11.86ms, mfu 0.89%
iter 34: loss 9.5432, time 11.99ms, mfu 0.89%
iter 35: loss 9.4943, time 11.94ms, mfu 0.89%
iter 36: loss 9.4759, time 11.81ms, mfu 0.89%
iter 37: loss 9.3294, time 12.00ms, mfu 0.89%
iter 38: loss 9.1769, time 12.07ms, mfu 0.89%
iter 39: loss 9.1532, time 11.92ms, mfu 0.89%
iter 40: loss 9.0594, time 11.87ms, mfu 0.89%
iter 41: loss 9.0452, time 12.15ms, mfu 0.89%
iter 42: loss 8.9926, time 11.83ms, mfu 0.90%
iter 43: loss 9.0052, time 12.66ms, mfu 0.89%
iter 44: loss 8.7981, time 11.95ms, mfu 0.89%
iter 45: loss 8.7451, time 12.10ms, mfu 0.89%
iter 46: loss 8.6551, time 11.92ms, mfu 0.89%
iter 47: loss 8.6080, time 12.14ms, mfu 0.89%
iter 48: loss 8.4455, time 12.39ms, mfu 0.89%
iter 49: loss 8.3333, time 11.84ms, mfu 0.89%
iter 50: loss 8.2070, time 12.10ms, mfu 0.89%
iter 51: loss 8.0433, time 11.94ms, mfu 0.89%
iter 52: loss 8.2178, time 12.13ms, mfu 0.89%
iter 53: loss 7.9644, time 11.95ms, mfu 0.89%
iter 54: loss 7.9282, time 11.94ms, mfu 0.89%
iter 55: loss 7.7126, time 11.87ms, mfu 0.90%
iter 56: loss 7.9058, time 12.18ms, mfu 0.89%
iter 57: loss 7.7601, time 13.82ms, mfu 0.88%
iter 58: loss 7.4336, time 13.83ms, mfu 0.87%
iter 59: loss 7.3758, time 13.85ms, mfu 0.86%
iter 60: loss 7.4293, time 13.82ms, mfu 0.85%
iter 61: loss 7.3173, time 14.03ms, mfu 0.85%
iter 62: loss 7.1387, time 13.94ms, mfu 0.84%
iter 63: loss 7.1799, time 14.10ms, mfu 0.83%
iter 64: loss 6.8156, time 14.09ms, mfu 0.82%
iter 65: loss 7.1190, time 14.19ms, mfu 0.82%
iter 66: loss 6.7839, time 14.01ms, mfu 0.81%
iter 67: loss 7.1013, time 14.41ms, mfu 0.81%
iter 68: loss 6.8676, time 14.55ms, mfu 0.80%
iter 69: loss 6.6946, time 13.93ms, mfu 0.80%
iter 70: loss 6.5425, time 13.90ms, mfu 0.79%
iter 71: loss 6.5213, time 14.01ms, mfu 0.79%
iter 72: loss 6.5066, time 17.09ms, mfu 0.78%
iter 73: loss 6.5742, time 13.77ms, mfu 0.78%
iter 74: loss 6.5414, time 14.42ms, mfu 0.77%
iter 75: loss 6.5228, time 13.79ms, mfu 0.77%
iter 76: loss 6.3414, time 13.68ms, mfu 0.78%
iter 77: loss 6.3974, time 13.90ms, mfu 0.78%
iter 78: loss 6.3459, time 13.73ms, mfu 0.78%
iter 79: loss 6.2188, time 13.90ms, mfu 0.78%
iter 80: loss 6.4697, time 13.69ms, mfu 0.78%
iter 81: loss 6.2710, time 13.95ms, mfu 0.78%
iter 82: loss 5.9653, time 13.98ms, mfu 0.78%
iter 83: loss 6.3690, time 13.75ms, mfu 0.78%
iter 84: loss 6.1081, time 13.65ms, mfu 0.78%
iter 85: loss 5.9128, time 13.65ms, mfu 0.78%
iter 86: loss 6.2605, time 13.64ms, mfu 0.78%
iter 87: loss 6.4310, time 13.71ms, mfu 0.78%
iter 88: loss 6.0740, time 13.69ms, mfu 0.78%
iter 89: loss 6.1133, time 13.71ms, mfu 0.78%
iter 90: loss 5.9997, time 13.64ms, mfu 0.78%
iter 91: loss 5.7544, time 13.67ms, mfu 0.78%
iter 92: loss 5.6429, time 13.61ms, mfu 0.78%
iter 93: loss 5.9181, time 13.51ms, mfu 0.79%
iter 94: loss 5.7850, time 13.69ms, mfu 0.79%
iter 95: loss 5.9470, time 13.61ms, mfu 0.79%
iter 96: loss 6.1804, time 13.63ms, mfu 0.79%
iter 97: loss 5.8104, time 13.60ms, mfu 0.79%
