step 0: train loss 10.9009, val loss 10.8973
iter 0: loss 10.8938, time 1751.66ms, mfu -100.00%
iter 1: loss 10.8984, time 28.60ms, mfu -100.00%
iter 2: loss 10.8188, time 28.58ms, mfu -100.00%
iter 3: loss 10.7131, time 28.59ms, mfu -100.00%
iter 4: loss 10.5621, time 28.60ms, mfu -100.00%
iter 5: loss 10.4225, time 28.61ms, mfu 5.42%
iter 6: loss 10.3213, time 29.01ms, mfu 5.42%
iter 7: loss 10.2468, time 28.89ms, mfu 5.41%
iter 8: loss 10.1584, time 28.95ms, mfu 5.41%
iter 9: loss 10.1083, time 28.85ms, mfu 5.40%
iter 10: loss 10.1069, time 29.07ms, mfu 5.40%
iter 11: loss 10.0553, time 28.82ms, mfu 5.40%
iter 12: loss 10.0093, time 28.87ms, mfu 5.39%
iter 13: loss 9.9783, time 28.88ms, mfu 5.39%
iter 14: loss 9.9737, time 29.00ms, mfu 5.39%
iter 15: loss 9.8958, time 28.85ms, mfu 5.39%
iter 16: loss 9.8622, time 28.84ms, mfu 5.39%
iter 17: loss 9.7955, time 28.91ms, mfu 5.38%
iter 18: loss 9.6656, time 28.83ms, mfu 5.38%
iter 19: loss 9.6323, time 28.88ms, mfu 5.38%
iter 20: loss 9.5688, time 28.88ms, mfu 5.38%
iter 21: loss 9.5047, time 28.84ms, mfu 5.38%
iter 22: loss 9.3337, time 28.82ms, mfu 5.38%
iter 23: loss 9.3458, time 28.84ms, mfu 5.38%
iter 24: loss 9.2245, time 28.82ms, mfu 5.38%
iter 25: loss 9.0803, time 28.81ms, mfu 5.38%
iter 26: loss 8.9959, time 28.81ms, mfu 5.38%
iter 27: loss 8.8759, time 28.82ms, mfu 5.38%
iter 28: loss 8.7637, time 28.86ms, mfu 5.38%
iter 29: loss 8.7067, time 28.76ms, mfu 5.38%
iter 30: loss 8.6240, time 28.81ms, mfu 5.38%
iter 31: loss 8.4874, time 28.83ms, mfu 5.38%
iter 32: loss 8.4252, time 28.86ms, mfu 5.38%
iter 33: loss 8.2399, time 29.05ms, mfu 5.38%
iter 34: loss 8.0861, time 29.11ms, mfu 5.37%
iter 35: loss 8.0085, time 29.19ms, mfu 5.37%
iter 36: loss 7.8461, time 29.22ms, mfu 5.36%
iter 37: loss 7.7043, time 29.44ms, mfu 5.35%
iter 38: loss 7.5659, time 29.47ms, mfu 5.34%
iter 39: loss 7.5497, time 29.39ms, mfu 5.34%
iter 40: loss 7.3958, time 29.48ms, mfu 5.33%
iter 41: loss 7.1494, time 29.43ms, mfu 5.32%
iter 42: loss 7.2174, time 29.34ms, mfu 5.32%
iter 43: loss 7.0209, time 29.27ms, mfu 5.32%
iter 44: loss 6.8090, time 29.36ms, mfu 5.32%
iter 45: loss 6.8859, time 29.28ms, mfu 5.31%
iter 46: loss 6.6404, time 29.47ms, mfu 5.31%
iter 47: loss 6.7185, time 29.32ms, mfu 5.31%
iter 48: loss 6.3993, time 29.28ms, mfu 5.31%
iter 49: loss 6.2255, time 29.26ms, mfu 5.31%
iter 50: loss 6.2178, time 28.95ms, mfu 5.31%
iter 51: loss 6.1736, time 28.87ms, mfu 5.32%
iter 52: loss 6.0877, time 28.94ms, mfu 5.32%
iter 53: loss 6.0105, time 28.96ms, mfu 5.33%
iter 54: loss 5.8467, time 28.90ms, mfu 5.33%
iter 55: loss 5.9361, time 29.00ms, mfu 5.33%
iter 56: loss 5.8732, time 28.92ms, mfu 5.34%
iter 57: loss 5.7679, time 28.92ms, mfu 5.34%
iter 58: loss 5.7799, time 28.89ms, mfu 5.34%
iter 59: loss 5.7927, time 28.92ms, mfu 5.34%
iter 60: loss 5.5957, time 28.91ms, mfu 5.35%
iter 61: loss 5.8132, time 28.91ms, mfu 5.35%
iter 62: loss 5.6446, time 28.87ms, mfu 5.35%
iter 63: loss 5.5191, time 28.92ms, mfu 5.35%
iter 64: loss 5.4760, time 28.94ms, mfu 5.35%
iter 65: loss 5.5373, time 28.89ms, mfu 5.35%
iter 66: loss 5.3680, time 28.89ms, mfu 5.36%
iter 67: loss 5.6199, time 28.91ms, mfu 5.36%
iter 68: loss 5.3783, time 28.93ms, mfu 5.36%
iter 69: loss 5.3194, time 28.99ms, mfu 5.36%
iter 70: loss 5.5152, time 28.99ms, mfu 5.36%
iter 71: loss 5.4276, time 28.92ms, mfu 5.36%
iter 72: loss 5.4889, time 28.94ms, mfu 5.36%
iter 73: loss 5.1286, time 28.88ms, mfu 5.36%
iter 74: loss 5.0446, time 28.93ms, mfu 5.36%
iter 75: loss 5.0778, time 29.08ms, mfu 5.36%
iter 76: loss 5.1994, time 28.90ms, mfu 5.36%
iter 77: loss 5.2257, time 29.10ms, mfu 5.36%
iter 78: loss 5.0732, time 28.83ms, mfu 5.36%
iter 79: loss 5.0812, time 28.80ms, mfu 5.36%
iter 80: loss 5.2963, time 28.86ms, mfu 5.36%
iter 81: loss 5.0116, time 28.86ms, mfu 5.36%
iter 82: loss 5.1940, time 28.76ms, mfu 5.37%
iter 83: loss 4.9354, time 28.79ms, mfu 5.37%
iter 84: loss 5.0260, time 28.80ms, mfu 5.37%
iter 85: loss 5.1526, time 28.82ms, mfu 5.37%
iter 86: loss 5.2333, time 28.84ms, mfu 5.37%
iter 87: loss 5.0430, time 28.84ms, mfu 5.37%
iter 88: loss 5.1161, time 28.80ms, mfu 5.38%
iter 89: loss 4.9394, time 28.79ms, mfu 5.38%
iter 90: loss 4.9427, time 28.79ms, mfu 5.38%
iter 91: loss 4.8731, time 28.77ms, mfu 5.38%
iter 92: loss 4.8523, time 28.88ms, mfu 5.38%
iter 93: loss 4.7699, time 28.74ms, mfu 5.38%
iter 94: loss 4.8194, time 28.79ms, mfu 5.38%
iter 95: loss 4.9439, time 28.80ms, mfu 5.38%
iter 96: loss 5.0231, time 28.80ms, mfu 5.38%
iter 97: loss 4.8191, time 28.78ms, mfu 5.38%
iter 98: loss 4.5884, time 28.77ms, mfu 5.38%
iter 99: loss 4.8784, time 28.77ms, mfu 5.39%
iter 100: loss 4.9881, time 28.80ms, mfu 5.39%
iter 101: loss 4.6961, time 28.82ms, mfu 5.39%
iter 102: loss 4.5336, time 28.78ms, mfu 5.39%
iter 103: loss 4.7740, time 28.79ms, mfu 5.39%
iter 104: loss 4.7784, time 28.75ms, mfu 5.39%
iter 105: loss 4.7980, time 28.98ms, mfu 5.38%
iter 106: loss 4.4880, time 28.84ms, mfu 5.38%
iter 107: loss 4.6413, time 28.89ms, mfu 5.38%
iter 108: loss 4.7583, time 28.83ms, mfu 5.38%
iter 109: loss 4.5804, time 28.78ms, mfu 5.38%
iter 110: loss 4.6783, time 28.93ms, mfu 5.38%
iter 111: loss 4.6689, time 28.91ms, mfu 5.38%
iter 112: loss 4.8358, time 28.82ms, mfu 5.38%
iter 113: loss 4.6019, time 28.82ms, mfu 5.38%
iter 114: loss 4.7862, time 28.84ms, mfu 5.38%
iter 115: loss 4.6416, time 28.85ms, mfu 5.38%
iter 116: loss 4.6684, time 28.75ms, mfu 5.38%
iter 117: loss 4.7385, time 28.80ms, mfu 5.38%
iter 118: loss 4.5666, time 28.81ms, mfu 5.38%
iter 119: loss 4.6903, time 28.88ms, mfu 5.38%
iter 120: loss 4.5431, time 28.91ms, mfu 5.38%
iter 121: loss 4.6862, time 28.84ms, mfu 5.38%
iter 122: loss 4.5527, time 28.84ms, mfu 5.38%
iter 123: loss 4.5282, time 28.84ms, mfu 5.38%
iter 124: loss 4.7832, time 28.90ms, mfu 5.38%
iter 125: loss 4.5379, time 28.82ms, mfu 5.38%
iter 126: loss 4.6232, time 28.80ms, mfu 5.38%
iter 127: loss 4.6695, time 28.89ms, mfu 5.38%
iter 128: loss 4.5006, time 28.76ms, mfu 5.38%
iter 129: loss 4.7629, time 28.82ms, mfu 5.38%
iter 130: loss 4.6585, time 28.81ms, mfu 5.38%
iter 131: loss 4.4777, time 28.83ms, mfu 5.38%
iter 132: loss 4.5277, time 28.84ms, mfu 5.38%
iter 133: loss 4.5305, time 28.81ms, mfu 5.38%
iter 134: loss 4.4707, time 28.83ms, mfu 5.38%
iter 135: loss 4.3855, time 28.83ms, mfu 5.38%
iter 136: loss 4.3845, time 28.81ms, mfu 5.38%
iter 137: loss 4.6227, time 28.82ms, mfu 5.38%
iter 138: loss 4.5687, time 28.85ms, mfu 5.38%
iter 139: loss 4.7170, time 28.83ms, mfu 5.38%
iter 140: loss 4.6412, time 28.80ms, mfu 5.38%
iter 141: loss 4.3465, time 28.81ms, mfu 5.38%
iter 142: loss 4.4170, time 28.81ms, mfu 5.38%
iter 143: loss 4.6516, time 28.84ms, mfu 5.38%
iter 144: loss 4.6691, time 28.83ms, mfu 5.38%
iter 145: loss 4.2664, time 28.85ms, mfu 5.38%
iter 146: loss 4.4895, time 28.88ms, mfu 5.38%
iter 147: loss 4.6702, time 28.90ms, mfu 5.38%
iter 148: loss 4.5870, time 28.90ms, mfu 5.38%
iter 149: loss 4.7258, time 28.84ms, mfu 5.38%
iter 150: loss 4.6904, time 28.81ms, mfu 5.38%
iter 151: loss 4.4588, time 28.88ms, mfu 5.38%
iter 152: loss 4.4725, time 28.81ms, mfu 5.38%
iter 153: loss 4.5599, time 28.86ms, mfu 5.38%
iter 154: loss 4.4093, time 28.81ms, mfu 5.38%
iter 155: loss 4.3765, time 28.82ms, mfu 5.38%
iter 156: loss 4.3190, time 28.84ms, mfu 5.38%
iter 157: loss 4.5435, time 28.93ms, mfu 5.38%
iter 158: loss 4.4495, time 28.82ms, mfu 5.38%
iter 159: loss 4.5342, time 28.88ms, mfu 5.38%
iter 160: loss 4.3634, time 28.91ms, mfu 5.38%
iter 161: loss 4.6986, time 28.78ms, mfu 5.38%
iter 162: loss 4.5086, time 28.82ms, mfu 5.38%
iter 163: loss 4.3909, time 28.84ms, mfu 5.38%
iter 164: loss 4.3031, time 28.79ms, mfu 5.38%
