
step 0: train loss 10.9009, val loss 10.8973
iter 0: loss 10.8937, time 30222.61ms, mfu -100.00%
iter 1: loss 10.8983, time 107.14ms, mfu -100.00%
iter 2: loss 10.8187, time 23.75ms, mfu -100.00%
iter 3: loss 10.7131, time 40.31ms, mfu -100.00%
iter 4: loss 10.5621, time 41.35ms, mfu -100.00%
iter 5: loss 10.4226, time 41.75ms, mfu 3.72%
iter 6: loss 10.3213, time 41.48ms, mfu 3.72%
iter 7: loss 10.2467, time 41.31ms, mfu 3.72%
iter 8: loss 10.1584, time 41.32ms, mfu 3.73%
iter 9: loss 10.1083, time 41.54ms, mfu 3.73%
iter 10: loss 10.1069, time 41.31ms, mfu 3.73%
iter 11: loss 10.0552, time 41.88ms, mfu 3.73%
iter 12: loss 10.0092, time 41.10ms, mfu 3.73%
iter 13: loss 9.9783, time 41.62ms, mfu 3.73%
iter 14: loss 9.9736, time 44.65ms, mfu 3.71%
iter 15: loss 9.8959, time 40.26ms, mfu 3.72%
iter 16: loss 9.8622, time 42.84ms, mfu 3.71%
iter 17: loss 9.7954, time 44.70ms, mfu 3.69%
iter 18: loss 9.6656, time 44.56ms, mfu 3.67%
iter 19: loss 9.6322, time 43.21ms, mfu 3.66%
iter 20: loss 9.5688, time 43.60ms, mfu 3.65%
iter 21: loss 9.5048, time 43.07ms, mfu 3.64%
iter 22: loss 9.3337, time 36.05ms, mfu 3.71%
iter 23: loss 9.3457, time 44.13ms, mfu 3.69%
iter 24: loss 9.2246, time 42.41ms, mfu 3.69%
iter 25: loss 9.0803, time 44.11ms, mfu 3.67%
iter 26: loss 8.9959, time 45.13ms, mfu 3.65%
iter 27: loss 8.8758, time 39.80ms, mfu 3.67%
iter 28: loss 8.7637, time 39.08ms, mfu 3.70%
iter 29: loss 8.7067, time 41.49ms, mfu 3.71%
iter 30: loss 8.6240, time 41.34ms, mfu 3.71%
iter 31: loss 8.4874, time 40.95ms, mfu 3.72%
iter 32: loss 8.4252, time 41.30ms, mfu 3.72%
iter 33: loss 8.2399, time 41.54ms, mfu 3.72%
iter 34: loss 8.0861, time 41.52ms, mfu 3.72%
iter 35: loss 8.0085, time 41.43ms, mfu 3.73%
iter 36: loss 7.8461, time 41.36ms, mfu 3.73%
iter 37: loss 7.7043, time 41.48ms, mfu 3.73%
iter 38: loss 7.5659, time 43.85ms, mfu 3.71%
iter 39: loss 7.5496, time 39.05ms, mfu 3.74%
iter 40: loss 7.3958, time 41.43ms, mfu 3.74%
iter 41: loss 7.1494, time 41.40ms, mfu 3.74%
iter 42: loss 7.2173, time 41.84ms, mfu 3.74%
iter 43: loss 7.0210, time 41.19ms, mfu 3.74%
iter 44: loss 6.8090, time 41.31ms, mfu 3.74%
iter 45: loss 6.8859, time 41.55ms, mfu 3.74%
iter 46: loss 6.6404, time 41.45ms, mfu 3.74%
iter 47: loss 6.7185, time 41.45ms, mfu 3.74%
iter 48: loss 6.3992, time 41.36ms, mfu 3.74%
iter 49: loss 6.2255, time 41.79ms, mfu 3.74%
iter 50: loss 6.2178, time 41.31ms, mfu 3.74%
iter 51: loss 6.1735, time 41.21ms, mfu 3.74%
iter 52: loss 6.0877, time 41.41ms, mfu 3.74%
iter 53: loss 6.0105, time 41.46ms, mfu 3.74%
iter 54: loss 5.8465, time 41.71ms, mfu 3.74%
iter 55: loss 5.9353, time 40.93ms, mfu 3.75%
iter 56: loss 5.8736, time 41.49ms, mfu 3.75%
iter 57: loss 5.7689, time 41.77ms, mfu 3.74%
iter 58: loss 5.7798, time 41.18ms, mfu 3.74%
iter 59: loss 5.7930, time 41.81ms, mfu 3.74%
iter 60: loss 5.5976, time 41.32ms, mfu 3.74%
iter 61: loss 5.8128, time 41.46ms, mfu 3.74%
iter 62: loss 5.6445, time 41.57ms, mfu 3.74%
iter 63: loss 5.5249, time 41.33ms, mfu 3.74%
iter 64: loss 5.4793, time 41.80ms, mfu 3.74%
iter 65: loss 5.5277, time 41.32ms, mfu 3.74%
iter 66: loss 5.3639, time 41.30ms, mfu 3.74%
iter 67: loss 5.6191, time 41.42ms, mfu 3.74%
iter 68: loss 5.3712, time 41.53ms, mfu 3.74%
iter 69: loss 5.3145, time 43.04ms, mfu 3.73%
iter 70: loss 5.5153, time 41.24ms, mfu 3.73%
iter 71: loss 5.4578, time 41.48ms, mfu 3.73%
iter 72: loss 5.4796, time 41.66ms, mfu 3.73%
iter 73: loss 5.1315, time 41.39ms, mfu 3.73%
iter 74: loss 5.0545, time 41.38ms, mfu 3.74%
iter 75: loss 5.0667, time 41.41ms, mfu 3.74%
