
step 0: train loss 10.8591, val loss 10.8557
iter 0: loss 10.8596, time 48014.87ms, mfu -100.00%
iter 1: loss 10.8620, time 424.22ms, mfu -100.00%
iter 2: loss 10.5608, time 496.26ms, mfu -100.00%
iter 3: loss 10.1612, time 495.69ms, mfu -100.00%
iter 4: loss 9.8826, time 497.11ms, mfu -100.00%
iter 5: loss 9.7078, time 495.70ms, mfu 10.21%
iter 6: loss 9.5590, time 495.59ms, mfu 10.21%
iter 7: loss 9.4473, time 497.66ms, mfu 10.20%
iter 8: loss 9.4216, time 496.12ms, mfu 10.20%
iter 9: loss 9.4297, time 498.43ms, mfu 10.20%
iter 10: loss 9.3418, time 494.57ms, mfu 10.20%
iter 11: loss 9.3315, time 497.08ms, mfu 10.20%
iter 12: loss 9.2370, time 498.68ms, mfu 10.19%
iter 13: loss 9.1575, time 495.57ms, mfu 10.20%
iter 14: loss 9.0415, time 497.61ms, mfu 10.19%
iter 15: loss 9.0839, time 496.73ms, mfu 10.19%
iter 16: loss 8.9380, time 497.31ms, mfu 10.19%
iter 17: loss 8.9224, time 495.90ms, mfu 10.19%
iter 18: loss 8.7944, time 496.91ms, mfu 10.19%
iter 19: loss 8.7627, time 495.85ms, mfu 10.19%
iter 20: loss 8.6498, time 497.12ms, mfu 10.19%
iter 21: loss 8.5984, time 497.16ms, mfu 10.19%
iter 22: loss 8.4374, time 497.60ms, mfu 10.19%
iter 23: loss 8.4178, time 497.08ms, mfu 10.19%
iter 24: loss 8.2336, time 498.75ms, mfu 10.18%
iter 25: loss 8.1619, time 495.80ms, mfu 10.19%
iter 26: loss 7.9797, time 498.62ms, mfu 10.18%
iter 27: loss 7.8935, time 496.67ms, mfu 10.18%
iter 28: loss 7.8347, time 494.33ms, mfu 10.19%
iter 29: loss 7.7970, time 497.76ms, mfu 10.19%
iter 30: loss 7.5604, time 499.71ms, mfu 10.18%
iter 31: loss 7.4898, time 499.82ms, mfu 10.17%
iter 32: loss 7.3757, time 499.83ms, mfu 10.17%
iter 33: loss 7.3555, time 497.31ms, mfu 10.17%
iter 34: loss 7.0707, time 498.99ms, mfu 10.17%
iter 35: loss 6.9648, time 498.43ms, mfu 10.17%
iter 36: loss 6.9159, time 498.38ms, mfu 10.16%
iter 37: loss 6.7749, time 498.67ms, mfu 10.16%
iter 38: loss 6.7632, time 498.57ms, mfu 10.16%
iter 39: loss 6.5572, time 500.36ms, mfu 10.16%
iter 40: loss 6.4248, time 496.68ms, mfu 10.16%
iter 41: loss 6.3364, time 501.54ms, mfu 10.15%
iter 42: loss 6.2278, time 498.12ms, mfu 10.15%
iter 43: loss 6.1489, time 499.79ms, mfu 10.15%
iter 44: loss 6.0528, time 498.87ms, mfu 10.15%
iter 45: loss 5.9589, time 498.91ms, mfu 10.15%
iter 46: loss 5.8396, time 500.05ms, mfu 10.15%
iter 47: loss 5.7020, time 497.57ms, mfu 10.15%
iter 48: loss 5.6029, time 498.72ms, mfu 10.15%
iter 49: loss 5.6385, time 499.60ms, mfu 10.15%
iter 50: loss 5.4932, time 498.79ms, mfu 10.15%
iter 51: loss 5.4384, time 499.86ms, mfu 10.14%
iter 52: loss 5.3777, time 499.09ms, mfu 10.14%
iter 53: loss 5.3975, time 501.55ms, mfu 10.14%
iter 54: loss 5.2906, time 499.50ms, mfu 10.14%
iter 55: loss 5.1997, time 499.12ms, mfu 10.14%
iter 56: loss 5.0690, time 500.40ms, mfu 10.13%
iter 57: loss 5.1263, time 499.98ms, mfu 10.13%
iter 58: loss 5.1369, time 499.77ms, mfu 10.13%
iter 59: loss 5.1918, time 500.80ms, mfu 10.13%
iter 60: loss 5.0498, time 499.71ms, mfu 10.13%
iter 61: loss 5.0164, time 498.75ms, mfu 10.13%
iter 62: loss 5.1320, time 502.96ms, mfu 10.12%
iter 63: loss 5.0447, time 498.55ms, mfu 10.13%
