
step 0: train loss 11.1069, val loss 11.0959
iter 0: loss 11.1217, time 34458.58ms, mfu -100.00%
iter 1: loss 11.1060, time 126.17ms, mfu -100.00%
iter 2: loss 10.5785, time 169.29ms, mfu -100.00%
iter 3: loss 9.9981, time 164.94ms, mfu -100.00%
iter 4: loss 9.6932, time 169.95ms, mfu -100.00%
iter 5: loss 9.4281, time 167.25ms, mfu 5.93%
iter 6: loss 9.2476, time 165.94ms, mfu 5.94%
iter 7: loss 9.2163, time 169.25ms, mfu 5.93%
iter 8: loss 8.9753, time 163.81ms, mfu 5.94%
iter 9: loss 8.8881, time 171.23ms, mfu 5.93%
iter 10: loss 8.9891, time 169.64ms, mfu 5.92%
iter 11: loss 8.8235, time 164.12ms, mfu 5.93%
iter 12: loss 8.6928, time 170.50ms, mfu 5.92%
iter 13: loss 8.5800, time 170.11ms, mfu 5.91%
iter 14: loss 8.6011, time 164.69ms, mfu 5.92%
iter 15: loss 8.4711, time 170.52ms, mfu 5.91%
iter 16: loss 8.3674, time 166.52ms, mfu 5.92%
iter 17: loss 8.1763, time 169.54ms, mfu 5.91%
iter 18: loss 8.0688, time 168.24ms, mfu 5.91%
iter 19: loss 7.9401, time 170.58ms, mfu 5.90%
iter 20: loss 8.0115, time 162.98ms, mfu 5.92%
iter 21: loss 7.7641, time 169.84ms, mfu 5.91%
iter 22: loss 7.6140, time 172.24ms, mfu 5.90%
iter 23: loss 7.3259, time 166.17ms, mfu 5.90%
iter 24: loss 7.3399, time 170.44ms, mfu 5.89%
iter 25: loss 7.1985, time 166.02ms, mfu 5.90%
iter 26: loss 7.0853, time 163.62ms, mfu 5.92%
iter 27: loss 7.0021, time 174.19ms, mfu 5.90%
iter 28: loss 6.6864, time 168.30ms, mfu 5.90%
iter 29: loss 6.6456, time 169.17ms, mfu 5.89%
iter 30: loss 6.5756, time 162.70ms, mfu 5.91%
iter 31: loss 6.3796, time 173.05ms, mfu 5.90%
iter 32: loss 6.4625, time 163.37ms, mfu 5.91%
iter 33: loss 6.2517, time 174.30ms, mfu 5.89%
iter 34: loss 6.1568, time 167.04ms, mfu 5.90%
iter 35: loss 5.8316, time 169.56ms, mfu 5.89%
iter 36: loss 5.8597, time 169.20ms, mfu 5.89%
iter 37: loss 5.9012, time 168.37ms, mfu 5.89%
iter 38: loss 5.9250, time 168.99ms, mfu 5.89%
iter 39: loss 5.7070, time 170.28ms, mfu 5.88%
iter 40: loss 5.6691, time 165.82ms, mfu 5.89%
iter 41: loss 5.5510, time 170.02ms, mfu 5.89%
iter 42: loss 5.5009, time 169.54ms, mfu 5.88%
iter 43: loss 5.5692, time 169.71ms, mfu 5.88%
iter 44: loss 5.3225, time 164.14ms, mfu 5.90%
iter 45: loss 5.2952, time 172.04ms, mfu 5.88%
iter 46: loss 5.3027, time 170.14ms, mfu 5.88%
iter 47: loss 5.4310, time 165.95ms, mfu 5.89%
iter 48: loss 5.4090, time 169.21ms, mfu 5.88%
iter 49: loss 5.2767, time 170.70ms, mfu 5.88%
iter 50: loss 5.3456, time 169.18ms, mfu 5.88%
iter 51: loss 5.0432, time 168.84ms, mfu 5.88%
iter 52: loss 5.1173, time 167.96ms, mfu 5.88%
iter 53: loss 5.2094, time 171.45ms, mfu 5.87%
iter 54: loss 5.0843, time 169.04ms, mfu 5.87%
iter 55: loss 5.3262, time 165.87ms, mfu 5.88%
iter 56: loss 4.7217, time 170.66ms, mfu 5.87%
iter 57: loss 5.0692, time 169.86ms, mfu 5.87%
iter 58: loss 5.0821, time 167.28ms, mfu 5.88%
iter 59: loss 4.9025, time 167.28ms, mfu 5.88%
iter 60: loss 5.0079, time 170.25ms, mfu 5.88%
iter 61: loss 4.8851, time 168.93ms, mfu 5.88%
iter 62: loss 5.0866, time 163.51ms, mfu 5.90%
iter 63: loss 5.0559, time 174.49ms, mfu 5.87%
iter 64: loss 4.7417, time 169.40ms, mfu 5.87%
iter 65: loss 4.9036, time 169.66ms, mfu 5.87%
iter 66: loss 5.2915, time 166.54ms, mfu 5.88%
iter 67: loss 4.9319, time 169.11ms, mfu 5.88%
iter 68: loss 4.8217, time 170.02ms, mfu 5.87%
iter 69: loss 4.9752, time 169.07ms, mfu 5.87%
iter 70: loss 4.8326, time 164.95ms, mfu 5.89%
iter 71: loss 5.1053, time 170.96ms, mfu 5.88%
iter 72: loss 4.8361, time 170.67ms, mfu 5.87%
iter 73: loss 4.8452, time 166.37ms, mfu 5.88%
iter 74: loss 4.5287, time 169.97ms, mfu 5.88%
iter 75: loss 4.8583, time 169.10ms, mfu 5.88%
iter 76: loss 5.0132, time 165.66ms, mfu 5.89%
iter 77: loss 4.6193, time 170.55ms, mfu 5.88%
iter 78: loss 4.9693, time 170.39ms, mfu 5.87%
iter 79: loss 4.7986, time 167.54ms, mfu 5.88%
iter 80: loss 4.9433, time 168.60ms, mfu 5.88%
iter 81: loss 4.6277, time 168.78ms, mfu 5.88%
iter 82: loss 4.6689, time 170.67ms, mfu 5.87%
iter 83: loss 4.6549, time 164.00ms, mfu 5.89%
iter 84: loss 4.8027, time 171.67ms, mfu 5.88%
iter 85: loss 4.6368, time 170.12ms, mfu 5.87%
iter 86: loss 4.5760, time 170.35ms, mfu 5.87%
iter 87: loss 4.8645, time 163.31ms, mfu 5.89%
iter 88: loss 4.6928, time 171.11ms, mfu 5.88%
iter 89: loss 4.6016, time 166.75ms, mfu 5.89%
iter 90: loss 4.7815, time 173.97ms, mfu 5.87%
iter 91: loss 4.8492, time 167.54ms, mfu 5.87%
iter 92: loss 4.7389, time 168.83ms, mfu 5.87%
iter 93: loss 4.7111, time 170.34ms, mfu 5.87%
iter 94: loss 4.4850, time 163.39ms, mfu 5.89%
iter 95: loss 4.8895, time 169.08ms, mfu 5.89%
iter 96: loss 4.8194, time 169.66ms, mfu 5.88%
iter 97: loss 4.5722, time 172.33ms, mfu 5.87%
iter 98: loss 4.6459, time 161.99ms, mfu 5.90%
iter 99: loss 4.6339, time 172.36ms, mfu 5.88%
iter 100: loss 4.7377, time 171.08ms, mfu 5.87%
iter 101: loss 4.3301, time 164.73ms, mfu 5.89%
iter 102: loss 4.6946, time 168.12ms, mfu 5.89%
iter 103: loss 4.5846, time 174.06ms, mfu 5.87%
iter 104: loss 4.7797, time 171.00ms, mfu 5.86%
iter 105: loss 4.7255, time 168.92ms, mfu 5.86%
iter 106: loss 4.6717, time 165.38ms, mfu 5.88%
iter 107: loss 4.6939, time 169.24ms, mfu 5.88%
iter 108: loss 4.4586, time 169.58ms, mfu 5.87%
iter 109: loss 4.8610, time 171.91ms, mfu 5.86%
iter 110: loss 4.8430, time 165.72ms, mfu 5.88%
iter 111: loss 4.6350, time 170.97ms, mfu 5.87%
iter 112: loss 4.8020, time 170.74ms, mfu 5.86%
iter 113: loss 4.5263, time 165.80ms, mfu 5.87%
iter 114: loss 4.5550, time 170.37ms, mfu 5.87%
iter 115: loss 4.6895, time 170.49ms, mfu 5.86%
iter 116: loss 4.3270, time 167.85ms, mfu 5.87%
iter 117: loss 4.5745, time 167.33ms, mfu 5.88%
iter 118: loss 4.4942, time 168.66ms, mfu 5.88%
iter 119: loss 4.5228, time 169.80ms, mfu 5.87%
iter 120: loss 4.7176, time 165.17ms, mfu 5.89%
iter 121: loss 4.5572, time 172.01ms, mfu 5.87%
iter 122: loss 4.2838, time 169.76ms, mfu 5.87%
iter 123: loss 4.6703, time 170.51ms, mfu 5.87%
iter 124: loss 4.6225, time 161.56ms, mfu 5.89%
iter 125: loss 4.7635, time 174.84ms, mfu 5.87%
iter 126: loss 4.4255, time 170.92ms, mfu 5.86%
iter 127: loss 4.4508, time 168.78ms, mfu 5.87%
iter 128: loss 4.5507, time 166.52ms, mfu 5.88%
iter 129: loss 4.3918, time 170.47ms, mfu 5.87%
iter 130: loss 4.5132, time 170.17ms, mfu 5.87%
iter 131: loss 4.5872, time 163.95ms, mfu 5.88%
iter 132: loss 4.4256, time 174.22ms, mfu 5.87%
iter 133: loss 4.5683, time 168.67ms, mfu 5.87%
iter 134: loss 4.4653, time 170.59ms, mfu 5.86%
iter 135: loss 4.6165, time 166.72ms, mfu 5.87%
iter 136: loss 4.5642, time 169.21ms, mfu 5.87%
iter 137: loss 4.5685, time 169.34ms, mfu 5.87%
iter 138: loss 4.4471, time 171.10ms, mfu 5.86%
iter 139: loss 4.5854, time 168.49ms, mfu 5.86%
iter 140: loss 4.3774, time 166.82ms, mfu 5.87%
iter 141: loss 4.3910, time 170.02ms, mfu 5.87%
iter 142: loss 4.5157, time 163.61ms, mfu 5.89%
iter 143: loss 4.5452, time 169.62ms, mfu 5.88%
iter 144: loss 4.4391, time 170.46ms, mfu 5.88%
iter 145: loss 4.4749, time 172.69ms, mfu 5.86%
iter 146: loss 4.2069, time 171.98ms, mfu 5.85%
iter 147: loss 4.5559, time 163.58ms, mfu 5.88%
iter 148: loss 4.4853, time 169.04ms, mfu 5.88%
iter 149: loss 4.3274, time 170.28ms, mfu 5.87%
iter 150: loss 4.1656, time 169.73ms, mfu 5.87%
iter 151: loss 4.4118, time 167.23ms, mfu 5.87%
iter 152: loss 4.5791, time 170.38ms, mfu 5.87%
iter 153: loss 4.2922, time 161.85ms, mfu 5.90%
iter 154: loss 4.4705, time 172.28ms, mfu 5.88%
iter 155: loss 4.4420, time 171.44ms, mfu 5.87%
iter 156: loss 4.5017, time 170.03ms, mfu 5.87%
iter 157: loss 4.3523, time 166.24ms, mfu 5.88%
iter 158: loss 4.5608, time 170.08ms, mfu 5.87%
iter 159: loss 4.4257, time 168.43ms, mfu 5.88%
iter 160: loss 4.4874, time 164.86ms, mfu 5.89%
iter 161: loss 4.4379, time 173.83ms, mfu 5.87%
iter 162: loss 4.3355, time 169.06ms, mfu 5.87%
iter 163: loss 4.2448, time 170.89ms, mfu 5.86%
iter 164: loss 4.4947, time 168.29ms, mfu 5.87%
iter 165: loss 4.2601, time 169.55ms, mfu 5.87%
iter 166: loss 4.6498, time 167.64ms, mfu 5.87%
iter 167: loss 4.2846, time 170.66ms, mfu 5.87%
iter 168: loss 4.4971, time 165.00ms, mfu 5.88%
iter 169: loss 4.4436, time 171.58ms, mfu 5.87%
iter 170: loss 4.5959, time 169.50ms, mfu 5.87%
iter 171: loss 4.3219, time 166.70ms, mfu 5.88%
iter 172: loss 4.1965, time 165.11ms, mfu 5.89%
iter 173: loss 4.2182, time 175.22ms, mfu 5.87%
iter 174: loss 4.3060, time 168.20ms, mfu 5.87%
iter 175: loss 4.3814, time 171.14ms, mfu 5.86%
iter 176: loss 4.2822, time 169.94ms, mfu 5.86%
iter 177: loss 4.2491, time 160.43ms, mfu 5.89%
iter 178: loss 4.4047, time 175.75ms, mfu 5.87%
iter 179: loss 4.4211, time 166.53ms, mfu 5.88%
iter 180: loss 4.2819, time 170.65ms, mfu 5.87%
iter 181: loss 4.2940, time 168.60ms, mfu 5.87%
iter 182: loss 4.2229, time 171.06ms, mfu 5.86%
iter 183: loss 4.4714, time 163.97ms, mfu 5.88%
iter 184: loss 4.2843, time 172.83ms, mfu 5.87%
iter 185: loss 4.3623, time 169.15ms, mfu 5.87%
iter 186: loss 4.5330, time 169.39ms, mfu 5.87%
iter 187: loss 4.1092, time 171.25ms, mfu 5.86%
iter 188: loss 4.3013, time 163.06ms, mfu 5.88%
iter 189: loss 4.5151, time 169.08ms, mfu 5.88%
iter 190: loss 4.2633, time 174.27ms, mfu 5.86%
iter 191: loss 4.1854, time 169.64ms, mfu 5.86%
iter 192: loss 4.3889, time 170.36ms, mfu 5.86%
iter 193: loss 4.2844, time 163.90ms, mfu 5.88%
iter 194: loss 4.3244, time 172.23ms, mfu 5.86%
iter 195: loss 4.3067, time 167.28ms, mfu 5.87%
iter 196: loss 4.2057, time 175.09ms, mfu 5.85%
iter 197: loss 4.2071, time 166.11ms, mfu 5.86%
iter 198: loss 4.2728, time 170.12ms, mfu 5.86%
iter 199: loss 4.2918, time 169.63ms, mfu 5.86%
iter 200: loss 4.2404, time 168.30ms, mfu 5.86%
iter 201: loss 4.3169, time 168.89ms, mfu 5.86%
iter 202: loss 4.2583, time 169.20ms, mfu 5.86%
iter 203: loss 4.2160, time 171.01ms, mfu 5.86%
iter 204: loss 4.3986, time 170.33ms, mfu 5.85%
iter 205: loss 4.1953, time 167.37ms, mfu 5.86%
iter 206: loss 4.1980, time 168.89ms, mfu 5.86%
iter 207: loss 4.1968, time 169.05ms, mfu 5.86%
iter 208: loss 4.2953, time 170.18ms, mfu 5.86%
iter 209: loss 4.3744, time 168.17ms, mfu 5.86%
iter 210: loss 4.2261, time 168.76ms, mfu 5.87%
iter 211: loss 4.0876, time 171.17ms, mfu 5.86%
iter 212: loss 4.2200, time 169.30ms, mfu 5.86%
iter 213: loss 4.1806, time 163.71ms, mfu 5.88%
iter 214: loss 4.2869, time 172.74ms, mfu 5.87%
iter 215: loss 4.2072, time 169.58ms, mfu 5.86%
iter 216: loss 4.3383, time 170.96ms, mfu 5.86%
iter 217: loss 4.4903, time 164.30ms, mfu 5.88%
iter 218: loss 4.2004, time 171.91ms, mfu 5.87%
iter 219: loss 4.3398, time 163.24ms, mfu 5.89%
iter 220: loss 4.0911, time 176.87ms, mfu 5.86%
iter 221: loss 4.1918, time 165.84ms, mfu 5.87%
iter 222: loss 4.3233, time 170.10ms, mfu 5.87%
iter 223: loss 4.2284, time 171.13ms, mfu 5.86%
iter 224: loss 4.3256, time 162.54ms, mfu 5.88%
iter 225: loss 4.1014, time 172.31ms, mfu 5.87%
iter 226: loss 3.9562, time 170.06ms, mfu 5.87%
iter 227: loss 4.0399, time 170.65ms, mfu 5.86%
iter 228: loss 4.2995, time 164.49ms, mfu 5.88%
iter 229: loss 4.1247, time 174.14ms, mfu 5.86%
iter 230: loss 4.0478, time 167.52ms, mfu 5.87%
iter 231: loss 4.0522, time 171.18ms, mfu 5.86%
iter 232: loss 4.5279, time 170.48ms, mfu 5.86%
iter 233: loss 4.1317, time 165.07ms, mfu 5.87%
iter 234: loss 4.2483, time 171.58ms, mfu 5.86%
iter 235: loss 4.1530, time 167.80ms, mfu 5.87%
iter 236: loss 4.2475, time 166.71ms, mfu 5.88%
iter 237: loss 4.4404, time 169.95ms, mfu 5.87%
iter 238: loss 4.2366, time 170.54ms, mfu 5.87%
iter 239: loss 4.1367, time 169.50ms, mfu 5.87%
iter 240: loss 4.1755, time 169.26ms, mfu 5.86%
iter 241: loss 3.9837, time 169.02ms, mfu 5.87%
iter 242: loss 4.4551, time 169.70ms, mfu 5.86%
iter 243: loss 4.4742, time 170.74ms, mfu 5.86%
iter 244: loss 3.9740, time 170.12ms, mfu 5.86%
iter 245: loss 4.0710, time 163.38ms, mfu 5.88%
iter 246: loss 4.4005, time 172.58ms, mfu 5.86%
iter 247: loss 4.2734, time 170.16ms, mfu 5.86%
iter 248: loss 4.1241, time 162.76ms, mfu 5.88%
iter 249: loss 4.0189, time 174.77ms, mfu 5.86%
step 250: train loss 4.2012, val loss 4.1090
saving checkpoint to out
iter 250: loss 3.9759, time 6350.30ms, mfu 5.29%
iter 251: loss 3.9083, time 192.36ms, mfu 5.28%
iter 252: loss 4.1460, time 169.12ms, mfu 5.34%
iter 253: loss 4.2425, time 169.97ms, mfu 5.39%
iter 254: loss 3.9892, time 169.71ms, mfu 5.43%
iter 255: loss 4.1227, time 162.79ms, mfu 5.50%
iter 256: loss 4.2437, time 173.61ms, mfu 5.52%
iter 257: loss 4.1574, time 170.92ms, mfu 5.55%
iter 258: loss 4.3206, time 165.79ms, mfu 5.59%
iter 259: loss 4.3258, time 170.60ms, mfu 5.62%
iter 260: loss 4.0855, time 170.79ms, mfu 5.63%
iter 261: loss 4.1883, time 170.44ms, mfu 5.65%
iter 262: loss 4.0482, time 166.87ms, mfu 5.68%
iter 263: loss 4.1279, time 169.49ms, mfu 5.70%
iter 264: loss 4.0134, time 168.70ms, mfu 5.72%
iter 265: loss 4.0259, time 170.76ms, mfu 5.73%
iter 266: loss 4.0639, time 166.82ms, mfu 5.75%
iter 267: loss 4.0028, time 167.93ms, mfu 5.76%
iter 268: loss 3.9330, time 169.39ms, mfu 5.77%
iter 269: loss 4.2370, time 173.42ms, mfu 5.77%
iter 270: loss 3.9815, time 168.05ms, mfu 5.78%
iter 271: loss 3.9077, time 167.55ms, mfu 5.80%
iter 272: loss 4.1268, time 169.82ms, mfu 5.80%
iter 273: loss 3.8026, time 168.91ms, mfu 5.81%
iter 274: loss 4.1621, time 167.89ms, mfu 5.82%
iter 275: loss 4.4057, time 169.10ms, mfu 5.82%
iter 276: loss 4.2250, time 170.65ms, mfu 5.82%
iter 277: loss 4.1029, time 169.88ms, mfu 5.82%
iter 278: loss 4.2355, time 170.20ms, mfu 5.82%
iter 279: loss 3.8561, time 165.71ms, mfu 5.84%
iter 280: loss 4.2234, time 169.73ms, mfu 5.84%
iter 281: loss 3.9315, time 171.35ms, mfu 5.84%
iter 282: loss 3.8611, time 167.52ms, mfu 5.84%
iter 283: loss 4.0259, time 168.96ms, mfu 5.85%
iter 284: loss 3.8370, time 168.01ms, mfu 5.85%
iter 285: loss 4.0591, time 171.14ms, mfu 5.85%
iter 286: loss 3.9561, time 169.07ms, mfu 5.85%
iter 287: loss 3.9985, time 164.21ms, mfu 5.87%
iter 288: loss 3.6418, time 174.20ms, mfu 5.85%
iter 289: loss 4.0209, time 170.34ms, mfu 5.85%
iter 290: loss 4.0533, time 169.40ms, mfu 5.85%
iter 291: loss 3.9139, time 162.44ms, mfu 5.88%
iter 292: loss 4.2784, time 175.30ms, mfu 5.85%
iter 293: loss 4.1214, time 170.14ms, mfu 5.85%
iter 294: loss 4.1257, time 171.22ms, mfu 5.85%
iter 295: loss 4.2823, time 162.60ms, mfu 5.87%
iter 296: loss 3.9531, time 170.80ms, mfu 5.86%
iter 297: loss 3.9784, time 171.04ms, mfu 5.86%
iter 298: loss 4.1304, time 170.31ms, mfu 5.86%
iter 299: loss 4.1648, time 163.19ms, mfu 5.88%
iter 300: loss 3.9054, time 174.30ms, mfu 5.86%
iter 301: loss 3.9136, time 169.89ms, mfu 5.86%
iter 302: loss 3.8466, time 169.49ms, mfu 5.86%
iter 303: loss 4.0900, time 167.62ms, mfu 5.86%
iter 304: loss 4.1731, time 169.22ms, mfu 5.86%
iter 305: loss 3.9912, time 170.90ms, mfu 5.86%
iter 306: loss 4.0195, time 166.98ms, mfu 5.87%
iter 307: loss 3.8494, time 170.74ms, mfu 5.86%
iter 308: loss 3.9474, time 165.50ms, mfu 5.87%
iter 309: loss 3.8441, time 172.56ms, mfu 5.86%
iter 310: loss 3.8920, time 171.53ms, mfu 5.85%
iter 311: loss 4.0280, time 164.12ms, mfu 5.87%
iter 312: loss 4.0102, time 172.38ms, mfu 5.86%
iter 313: loss 4.0213, time 169.53ms, mfu 5.86%
iter 314: loss 4.0739, time 171.08ms, mfu 5.85%
iter 315: loss 4.0531, time 161.65ms, mfu 5.88%
iter 316: loss 3.6825, time 180.04ms, mfu 5.84%
iter 317: loss 3.9074, time 163.87ms, mfu 5.87%
iter 318: loss 4.2054, time 173.34ms, mfu 5.85%
iter 319: loss 3.7723, time 169.77ms, mfu 5.85%
iter 320: loss 4.0228, time 170.81ms, mfu 5.85%
iter 321: loss 3.9000, time 170.82ms, mfu 5.84%
iter 322: loss 4.0650, time 170.16ms, mfu 5.84%
iter 323: loss 3.9891, time 168.21ms, mfu 5.85%
iter 324: loss 4.0980, time 169.55ms, mfu 5.85%
iter 325: loss 4.1851, time 170.79ms, mfu 5.84%
iter 326: loss 3.9744, time 169.42ms, mfu 5.84%
iter 327: loss 4.1340, time 168.23ms, mfu 5.85%
iter 328: loss 4.0050, time 167.73ms, mfu 5.86%
iter 329: loss 4.0244, time 172.07ms, mfu 5.85%
iter 330: loss 4.0457, time 170.40ms, mfu 5.84%
iter 331: loss 3.7885, time 170.75ms, mfu 5.84%
iter 332: loss 4.0170, time 170.26ms, mfu 5.84%
iter 333: loss 3.8902, time 167.15ms, mfu 5.85%
iter 334: loss 4.0158, time 170.46ms, mfu 5.85%
iter 335: loss 3.9788, time 169.09ms, mfu 5.85%
iter 336: loss 3.8076, time 170.99ms, mfu 5.84%
iter 337: loss 3.8598, time 169.33ms, mfu 5.85%
iter 338: loss 3.8927, time 170.39ms, mfu 5.84%
iter 339: loss 4.1462, time 162.87ms, mfu 5.87%
iter 340: loss 4.1592, time 174.83ms, mfu 5.85%
iter 341: loss 4.0322, time 170.81ms, mfu 5.84%
iter 342: loss 4.0289, time 171.03ms, mfu 5.84%
iter 343: loss 3.8207, time 170.44ms, mfu 5.84%
iter 344: loss 3.7531, time 165.50ms, mfu 5.85%
iter 345: loss 3.9654, time 169.50ms, mfu 5.85%
iter 346: loss 4.2128, time 171.00ms, mfu 5.85%
iter 347: loss 4.1066, time 170.88ms, mfu 5.84%
iter 348: loss 4.1783, time 166.25ms, mfu 5.86%
iter 349: loss 4.0222, time 172.48ms, mfu 5.85%
iter 350: loss 3.8695, time 167.14ms, mfu 5.86%
iter 351: loss 4.1503, time 170.88ms, mfu 5.85%
iter 352: loss 3.8077, time 171.05ms, mfu 5.85%
iter 353: loss 3.7762, time 170.91ms, mfu 5.84%
iter 354: loss 4.0700, time 169.85ms, mfu 5.84%
iter 355: loss 3.9231, time 166.54ms, mfu 5.85%
iter 356: loss 4.0031, time 170.96ms, mfu 5.85%
iter 357: loss 4.0321, time 167.55ms, mfu 5.85%
iter 358: loss 3.9651, time 172.76ms, mfu 5.84%
iter 359: loss 4.0163, time 171.44ms, mfu 5.84%
iter 360: loss 4.0106, time 171.40ms, mfu 5.83%
iter 361: loss 3.9486, time 170.27ms, mfu 5.83%
iter 362: loss 3.8752, time 170.29ms, mfu 5.83%
iter 363: loss 3.7925, time 167.75ms, mfu 5.84%
iter 364: loss 4.0694, time 169.80ms, mfu 5.84%
iter 365: loss 3.7464, time 170.88ms, mfu 5.84%
iter 366: loss 3.7678, time 172.08ms, mfu 5.83%
iter 367: loss 3.6637, time 169.33ms, mfu 5.83%
iter 368: loss 3.9541, time 166.12ms, mfu 5.85%
iter 369: loss 3.7860, time 168.92ms, mfu 5.85%
iter 370: loss 3.6902, time 172.41ms, mfu 5.84%
iter 371: loss 4.1880, time 170.43ms, mfu 5.84%
iter 372: loss 3.7282, time 170.83ms, mfu 5.83%
iter 373: loss 3.7905, time 168.27ms, mfu 5.84%
iter 374: loss 4.1291, time 168.97ms, mfu 5.84%
iter 375: loss 3.5197, time 169.27ms, mfu 5.85%
iter 376: loss 3.9541, time 171.50ms, mfu 5.84%
iter 377: loss 3.7066, time 169.40ms, mfu 5.84%
iter 378: loss 3.9627, time 171.46ms, mfu 5.84%
iter 379: loss 4.0249, time 170.06ms, mfu 5.84%
iter 380: loss 3.8453, time 170.56ms, mfu 5.83%
iter 381: loss 3.6003, time 166.91ms, mfu 5.84%
iter 382: loss 3.8907, time 169.28ms, mfu 5.85%
iter 383: loss 3.9624, time 170.95ms, mfu 5.84%
iter 384: loss 3.7541, time 169.82ms, mfu 5.84%
