
step 0: train loss 11.1069, val loss 11.0959
iter 0: loss 11.1121, time 32667.16ms, mfu -100.00%
iter 1: loss 11.0832, time 213.82ms, mfu -100.00%
iter 2: loss 10.6436, time 156.63ms, mfu -100.00%
iter 3: loss 10.0856, time 168.12ms, mfu -100.00%
iter 4: loss 9.7652, time 169.68ms, mfu -100.00%
iter 5: loss 9.4865, time 169.13ms, mfu 5.87%
iter 6: loss 9.2772, time 171.12ms, mfu 5.86%
iter 7: loss 9.2585, time 167.37ms, mfu 5.87%
iter 8: loss 9.0072, time 169.65ms, mfu 5.86%
iter 9: loss 8.9364, time 169.06ms, mfu 5.86%
iter 10: loss 9.0354, time 168.43ms, mfu 5.87%
iter 11: loss 8.8959, time 168.63ms, mfu 5.87%
iter 12: loss 8.7514, time 169.37ms, mfu 5.87%
iter 13: loss 8.6999, time 169.51ms, mfu 5.87%
iter 14: loss 8.6564, time 171.21ms, mfu 5.86%
iter 15: loss 8.5455, time 169.57ms, mfu 5.86%
iter 16: loss 8.4550, time 169.26ms, mfu 5.86%
iter 17: loss 8.2618, time 169.86ms, mfu 5.86%
iter 18: loss 8.1747, time 174.79ms, mfu 5.84%
iter 19: loss 8.0197, time 164.18ms, mfu 5.86%
iter 20: loss 8.0396, time 170.13ms, mfu 5.86%
iter 21: loss 7.8844, time 169.85ms, mfu 5.85%
iter 22: loss 7.7009, time 168.67ms, mfu 5.86%
iter 23: loss 7.4677, time 168.95ms, mfu 5.86%
iter 24: loss 7.3857, time 169.01ms, mfu 5.86%
iter 25: loss 7.2860, time 170.36ms, mfu 5.86%
iter 26: loss 7.1325, time 169.51ms, mfu 5.86%
iter 27: loss 7.0187, time 169.32ms, mfu 5.86%
iter 28: loss 6.7391, time 169.67ms, mfu 5.86%
iter 29: loss 6.6761, time 169.52ms, mfu 5.85%
iter 30: loss 6.5952, time 174.14ms, mfu 5.84%
iter 31: loss 6.4049, time 165.13ms, mfu 5.86%
iter 32: loss 6.4961, time 169.12ms, mfu 5.86%
iter 33: loss 6.3089, time 168.49ms, mfu 5.86%
iter 34: loss 6.1975, time 169.67ms, mfu 5.86%
iter 35: loss 5.9021, time 169.16ms, mfu 5.86%
iter 36: loss 5.9059, time 169.98ms, mfu 5.86%
iter 37: loss 5.9823, time 168.96ms, mfu 5.86%
iter 38: loss 5.9918, time 169.31ms, mfu 5.86%
iter 39: loss 5.7742, time 169.60ms, mfu 5.86%
iter 40: loss 5.7323, time 169.55ms, mfu 5.86%
iter 41: loss 5.5921, time 168.85ms, mfu 5.86%
iter 42: loss 5.5540, time 171.60ms, mfu 5.85%
iter 43: loss 5.6647, time 168.89ms, mfu 5.85%
iter 44: loss 5.4109, time 168.28ms, mfu 5.86%
iter 45: loss 5.3687, time 169.02ms, mfu 5.86%
iter 46: loss 5.3993, time 168.96ms, mfu 5.86%
iter 47: loss 5.5045, time 170.51ms, mfu 5.86%
iter 48: loss 5.4928, time 168.50ms, mfu 5.86%
iter 49: loss 5.3712, time 169.34ms, mfu 5.86%
iter 50: loss 5.4115, time 168.80ms, mfu 5.86%
iter 51: loss 5.1410, time 169.22ms, mfu 5.86%
iter 52: loss 5.2213, time 169.70ms, mfu 5.86%
iter 53: loss 5.2874, time 170.51ms, mfu 5.86%
iter 54: loss 5.1446, time 169.42ms, mfu 5.86%
iter 55: loss 5.3984, time 170.42ms, mfu 5.85%
iter 56: loss 4.8071, time 169.42ms, mfu 5.85%
iter 57: loss 5.1354, time 169.07ms, mfu 5.85%
iter 58: loss 5.1807, time 169.63ms, mfu 5.85%
iter 59: loss 4.9435, time 168.93ms, mfu 5.86%
iter 60: loss 5.0621, time 169.36ms, mfu 5.86%
iter 61: loss 4.9357, time 170.67ms, mfu 5.85%
iter 62: loss 5.1673, time 169.21ms, mfu 5.85%
iter 63: loss 5.1253, time 169.86ms, mfu 5.85%
iter 64: loss 4.8214, time 169.79ms, mfu 5.85%
iter 65: loss 4.9753, time 168.67ms, mfu 5.85%
iter 66: loss 5.3150, time 169.39ms, mfu 5.85%
iter 67: loss 5.0431, time 169.93ms, mfu 5.85%
iter 68: loss 4.9049, time 170.85ms, mfu 5.85%
iter 69: loss 5.0738, time 169.75ms, mfu 5.85%
iter 70: loss 4.9112, time 171.09ms, mfu 5.84%
iter 71: loss 5.1957, time 168.48ms, mfu 5.85%
iter 72: loss 4.9016, time 170.30ms, mfu 5.84%
iter 73: loss 4.9122, time 169.82ms, mfu 5.84%
iter 74: loss 4.6175, time 169.85ms, mfu 5.84%
iter 75: loss 4.9287, time 169.18ms, mfu 5.85%
iter 76: loss 5.0704, time 169.18ms, mfu 5.85%
iter 77: loss 4.6783, time 170.82ms, mfu 5.84%
iter 78: loss 5.0555, time 168.90ms, mfu 5.85%
iter 79: loss 4.8379, time 170.01ms, mfu 5.85%
iter 80: loss 4.9938, time 169.37ms, mfu 5.85%
iter 81: loss 4.7198, time 170.75ms, mfu 5.84%
iter 82: loss 4.7257, time 170.28ms, mfu 5.84%
iter 83: loss 4.6924, time 168.50ms, mfu 5.85%
iter 84: loss 4.8246, time 170.72ms, mfu 5.84%
iter 85: loss 4.6901, time 169.13ms, mfu 5.84%
iter 86: loss 4.6222, time 170.34ms, mfu 5.84%
iter 87: loss 4.9054, time 169.36ms, mfu 5.84%
iter 88: loss 4.7267, time 169.30ms, mfu 5.85%
iter 89: loss 4.6409, time 169.91ms, mfu 5.85%
iter 90: loss 4.8066, time 170.15ms, mfu 5.84%
iter 91: loss 4.9174, time 169.42ms, mfu 5.84%
iter 92: loss 4.7829, time 171.10ms, mfu 5.84%
iter 93: loss 4.7676, time 169.22ms, mfu 5.84%
iter 94: loss 4.5394, time 168.73ms, mfu 5.85%
iter 95: loss 4.9314, time 169.36ms, mfu 5.85%
