
step 0: train loss 11.1069, val loss 11.0959
iter 0: loss 11.1217, time 27784.91ms, mfu -100.00%
iter 1: loss 11.1060, time 183.05ms, mfu -100.00%
iter 2: loss 10.5785, time 163.74ms, mfu -100.00%
iter 3: loss 9.9981, time 167.54ms, mfu -100.00%
iter 4: loss 9.6932, time 167.09ms, mfu -100.00%
iter 5: loss 9.4281, time 168.21ms, mfu 5.90%
iter 6: loss 9.2476, time 168.43ms, mfu 5.90%
iter 7: loss 9.2163, time 168.10ms, mfu 5.90%
iter 8: loss 8.9753, time 167.47ms, mfu 5.90%
iter 9: loss 8.8881, time 168.04ms, mfu 5.90%
iter 10: loss 8.9891, time 167.21ms, mfu 5.90%
iter 11: loss 8.8235, time 168.29ms, mfu 5.90%
iter 12: loss 8.6928, time 168.22ms, mfu 5.90%
iter 13: loss 8.5800, time 168.61ms, mfu 5.90%
iter 14: loss 8.6011, time 166.04ms, mfu 5.91%
iter 15: loss 8.4711, time 167.68ms, mfu 5.91%
iter 16: loss 8.3674, time 166.62ms, mfu 5.91%
iter 17: loss 8.1763, time 166.77ms, mfu 5.92%
iter 18: loss 8.0687, time 169.47ms, mfu 5.91%
iter 19: loss 7.9401, time 172.94ms, mfu 5.89%
iter 20: loss 8.0113, time 163.95ms, mfu 5.91%
iter 21: loss 7.7641, time 168.39ms, mfu 5.91%
iter 22: loss 7.6138, time 167.70ms, mfu 5.91%
iter 23: loss 7.3258, time 167.65ms, mfu 5.91%
iter 24: loss 7.3393, time 168.26ms, mfu 5.91%
iter 25: loss 7.1980, time 168.01ms, mfu 5.91%
iter 26: loss 7.0844, time 167.83ms, mfu 5.91%
iter 27: loss 7.0023, time 166.41ms, mfu 5.91%
iter 28: loss 6.6866, time 165.73ms, mfu 5.92%
iter 29: loss 6.6454, time 167.78ms, mfu 5.92%
iter 30: loss 6.5756, time 168.36ms, mfu 5.92%
iter 31: loss 6.3797, time 168.47ms, mfu 5.91%
iter 32: loss 6.4626, time 167.70ms, mfu 5.91%
iter 33: loss 6.2511, time 169.04ms, mfu 5.91%
iter 34: loss 6.1565, time 167.47ms, mfu 5.91%
iter 35: loss 5.8317, time 168.22ms, mfu 5.91%
iter 36: loss 5.8596, time 168.38ms, mfu 5.91%
iter 37: loss 5.9009, time 168.63ms, mfu 5.91%
iter 38: loss 5.9242, time 167.49ms, mfu 5.91%
iter 39: loss 5.7067, time 168.86ms, mfu 5.90%
iter 40: loss 5.6686, time 168.03ms, mfu 5.90%
iter 41: loss 5.5504, time 167.52ms, mfu 5.91%
iter 42: loss 5.5014, time 168.39ms, mfu 5.90%
iter 43: loss 5.5691, time 168.94ms, mfu 5.90%
iter 44: loss 5.3227, time 167.76ms, mfu 5.90%
iter 45: loss 5.2948, time 173.59ms, mfu 5.88%
iter 46: loss 5.3023, time 163.44ms, mfu 5.90%
iter 47: loss 5.4303, time 167.76ms, mfu 5.90%
iter 48: loss 5.4086, time 168.36ms, mfu 5.90%
iter 49: loss 5.2767, time 168.14ms, mfu 5.90%
iter 50: loss 5.3452, time 168.51ms, mfu 5.90%
iter 51: loss 5.0432, time 168.09ms, mfu 5.90%
iter 52: loss 5.1170, time 167.98ms, mfu 5.90%
iter 53: loss 5.2109, time 167.29ms, mfu 5.90%
iter 54: loss 5.0850, time 168.09ms, mfu 5.90%
iter 55: loss 5.3273, time 168.70ms, mfu 5.90%
iter 56: loss 4.7221, time 168.44ms, mfu 5.90%
iter 57: loss 5.0682, time 175.96ms, mfu 5.87%
iter 58: loss 5.0803, time 160.63ms, mfu 5.90%
iter 59: loss 4.9017, time 169.23ms, mfu 5.90%
iter 60: loss 5.0075, time 167.31ms, mfu 5.90%
iter 61: loss 4.8850, time 168.73ms, mfu 5.90%
iter 62: loss 5.0859, time 167.48ms, mfu 5.90%
iter 63: loss 5.0553, time 168.22ms, mfu 5.90%
iter 64: loss 4.7426, time 168.52ms, mfu 5.90%
iter 65: loss 4.9016, time 168.95ms, mfu 5.90%
iter 66: loss 5.2918, time 167.84ms, mfu 5.90%
iter 67: loss 4.9274, time 169.17ms, mfu 5.90%
iter 68: loss 4.8155, time 168.48ms, mfu 5.90%
iter 69: loss 4.9753, time 169.52ms, mfu 5.89%
iter 70: loss 4.8264, time 167.93ms, mfu 5.89%
iter 71: loss 5.1044, time 168.64ms, mfu 5.89%
iter 72: loss 4.8373, time 168.34ms, mfu 5.89%
iter 73: loss 4.8453, time 168.80ms, mfu 5.89%
iter 74: loss 4.5302, time 168.55ms, mfu 5.89%
iter 75: loss 4.8627, time 167.72ms, mfu 5.89%
iter 76: loss 5.0112, time 169.79ms, mfu 5.89%
iter 77: loss 4.6209, time 167.97ms, mfu 5.89%
iter 78: loss 4.9679, time 168.50ms, mfu 5.89%
iter 79: loss 4.8016, time 168.69ms, mfu 5.89%
iter 80: loss 4.9437, time 168.18ms, mfu 5.89%
iter 81: loss 4.6308, time 167.93ms, mfu 5.89%
iter 82: loss 4.6681, time 167.96ms, mfu 5.89%
iter 83: loss 4.6520, time 169.59ms, mfu 5.89%
iter 84: loss 4.8142, time 166.81ms, mfu 5.89%
iter 85: loss 4.6337, time 168.67ms, mfu 5.89%
iter 86: loss 4.5909, time 168.05ms, mfu 5.89%
iter 87: loss 4.8652, time 168.20ms, mfu 5.89%
iter 88: loss 4.6951, time 167.82ms, mfu 5.90%
iter 89: loss 4.6030, time 167.50ms, mfu 5.90%
iter 90: loss 4.7782, time 168.04ms, mfu 5.90%
iter 91: loss 4.8535, time 168.77ms, mfu 5.90%
iter 92: loss 4.7343, time 167.94ms, mfu 5.90%
iter 93: loss 4.7128, time 168.29ms, mfu 5.90%
iter 94: loss 4.4781, time 167.03ms, mfu 5.90%
iter 95: loss 4.8934, time 168.59ms, mfu 5.90%
iter 96: loss 4.8320, time 168.27ms, mfu 5.90%
iter 97: loss 4.5806, time 168.07ms, mfu 5.90%
iter 98: loss 4.6564, time 168.78ms, mfu 5.90%
iter 99: loss 4.6430, time 168.66ms, mfu 5.90%
iter 100: loss 4.7478, time 167.58ms, mfu 5.90%
iter 101: loss 4.3284, time 167.90ms, mfu 5.90%
iter 102: loss 4.6970, time 168.25ms, mfu 5.90%
iter 103: loss 4.5746, time 168.58ms, mfu 5.90%
iter 104: loss 4.7709, time 167.86ms, mfu 5.90%
iter 105: loss 4.7145, time 168.69ms, mfu 5.90%
iter 106: loss 4.6630, time 168.62ms, mfu 5.90%
iter 107: loss 4.6850, time 168.16ms, mfu 5.90%
iter 108: loss 4.4546, time 168.56ms, mfu 5.90%
iter 109: loss 4.8604, time 168.59ms, mfu 5.89%
iter 110: loss 4.8381, time 167.92ms, mfu 5.90%
iter 111: loss 4.6416, time 168.07ms, mfu 5.90%
iter 112: loss 4.8041, time 168.51ms, mfu 5.90%
iter 113: loss 4.5427, time 168.31ms, mfu 5.90%
iter 114: loss 4.5617, time 168.84ms, mfu 5.89%
iter 115: loss 4.6911, time 168.01ms, mfu 5.89%
iter 116: loss 4.3178, time 167.76ms, mfu 5.90%
iter 117: loss 4.5764, time 168.09ms, mfu 5.90%
iter 118: loss 4.4999, time 167.93ms, mfu 5.90%
iter 119: loss 4.5198, time 168.37ms, mfu 5.90%
iter 120: loss 4.7101, time 170.02ms, mfu 5.89%
iter 121: loss 4.5664, time 166.57ms, mfu 5.90%
iter 122: loss 4.2848, time 167.93ms, mfu 5.90%
iter 123: loss 4.6676, time 168.77ms, mfu 5.90%
iter 124: loss 4.6259, time 166.80ms, mfu 5.90%
iter 125: loss 4.7635, time 168.17ms, mfu 5.90%
iter 126: loss 4.4299, time 168.21ms, mfu 5.90%
iter 127: loss 4.4466, time 168.33ms, mfu 5.90%
iter 128: loss 4.5500, time 168.47ms, mfu 5.90%
iter 129: loss 4.3917, time 168.29ms, mfu 5.90%
iter 130: loss 4.5152, time 168.28ms, mfu 5.90%
iter 131: loss 4.5904, time 168.39ms, mfu 5.90%
iter 132: loss 4.4175, time 168.38ms, mfu 5.90%
iter 133: loss 4.5804, time 167.75ms, mfu 5.90%
iter 134: loss 4.4604, time 168.92ms, mfu 5.90%
iter 135: loss 4.6196, time 168.63ms, mfu 5.89%
iter 136: loss 4.5621, time 168.37ms, mfu 5.89%
iter 137: loss 4.5618, time 168.09ms, mfu 5.90%
iter 138: loss 4.4424, time 168.30ms, mfu 5.90%
iter 139: loss 4.5843, time 167.78ms, mfu 5.90%
iter 140: loss 4.3739, time 168.54ms, mfu 5.90%
iter 141: loss 4.3958, time 169.03ms, mfu 5.89%
iter 142: loss 4.5182, time 169.23ms, mfu 5.89%
iter 143: loss 4.5494, time 166.95ms, mfu 5.90%
iter 144: loss 4.4473, time 168.53ms, mfu 5.89%
iter 145: loss 4.4734, time 167.94ms, mfu 5.90%
iter 146: loss 4.2048, time 168.74ms, mfu 5.89%
iter 147: loss 4.5435, time 168.16ms, mfu 5.89%
iter 148: loss 4.4763, time 167.72ms, mfu 5.90%
iter 149: loss 4.3042, time 168.91ms, mfu 5.89%
iter 150: loss 4.1482, time 168.31ms, mfu 5.89%
iter 151: loss 4.4110, time 167.37ms, mfu 5.90%
iter 152: loss 4.5674, time 168.80ms, mfu 5.90%
iter 153: loss 4.2646, time 168.58ms, mfu 5.89%
iter 154: loss 4.4651, time 173.53ms, mfu 5.88%
iter 155: loss 4.4464, time 163.05ms, mfu 5.90%
iter 156: loss 4.5094, time 168.18ms, mfu 5.90%
iter 157: loss 4.3451, time 168.64ms, mfu 5.90%
iter 158: loss 4.5578, time 167.41ms, mfu 5.90%
iter 159: loss 4.4322, time 168.57ms, mfu 5.90%
iter 160: loss 4.4881, time 168.13ms, mfu 5.90%
iter 161: loss 4.4390, time 168.30ms, mfu 5.90%
iter 162: loss 4.3462, time 169.02ms, mfu 5.89%
iter 163: loss 4.2436, time 168.77ms, mfu 5.89%
iter 164: loss 4.4853, time 168.98ms, mfu 5.89%
iter 165: loss 4.2562, time 168.32ms, mfu 5.89%
iter 166: loss 4.6505, time 170.50ms, mfu 5.88%
iter 167: loss 4.2730, time 165.29ms, mfu 5.90%
iter 168: loss 4.4968, time 167.91ms, mfu 5.90%
iter 169: loss 4.4438, time 169.01ms, mfu 5.89%
iter 170: loss 4.5764, time 167.44ms, mfu 5.90%
iter 171: loss 4.3328, time 169.27ms, mfu 5.89%
iter 172: loss 4.2035, time 166.83ms, mfu 5.90%
iter 173: loss 4.2222, time 168.56ms, mfu 5.90%
iter 174: loss 4.2976, time 169.45ms, mfu 5.89%
iter 175: loss 4.3621, time 168.01ms, mfu 5.89%
iter 176: loss 4.2686, time 168.41ms, mfu 5.89%
iter 177: loss 4.2365, time 169.36ms, mfu 5.89%
iter 178: loss 4.4019, time 168.26ms, mfu 5.89%
iter 179: loss 4.4131, time 168.75ms, mfu 5.89%
iter 180: loss 4.2663, time 168.52ms, mfu 5.89%
iter 181: loss 4.2878, time 168.04ms, mfu 5.89%
iter 182: loss 4.2133, time 167.74ms, mfu 5.89%
iter 183: loss 4.4814, time 169.28ms, mfu 5.89%
