
step 0: train loss 10.9365, val loss 10.9358
iter 0: loss 10.9581, time 33133.92ms, mfu -100.00%
iter 1: loss 10.9530, time 126.74ms, mfu -100.00%
iter 2: loss 10.4311, time 137.19ms, mfu -100.00%
iter 3: loss 9.9767, time 132.02ms, mfu -100.00%
iter 4: loss 9.6905, time 135.26ms, mfu -100.00%
iter 5: loss 9.4929, time 140.34ms, mfu 3.73%
iter 6: loss 9.2841, time 137.20ms, mfu 3.74%
iter 7: loss 9.3576, time 135.80ms, mfu 3.75%
iter 8: loss 8.9835, time 137.56ms, mfu 3.76%
iter 9: loss 9.0221, time 136.28ms, mfu 3.77%
iter 10: loss 9.1296, time 136.59ms, mfu 3.77%
iter 11: loss 8.7974, time 137.83ms, mfu 3.78%
iter 12: loss 8.9230, time 133.85ms, mfu 3.79%
iter 13: loss 8.9931, time 131.25ms, mfu 3.81%
iter 14: loss 8.8760, time 141.69ms, mfu 3.80%
iter 15: loss 8.6216, time 137.93ms, mfu 3.80%
iter 16: loss 8.5573, time 135.77ms, mfu 3.81%
iter 17: loss 8.7630, time 139.13ms, mfu 3.80%
iter 18: loss 8.3107, time 135.28ms, mfu 3.81%
iter 19: loss 8.0371, time 137.41ms, mfu 3.81%
iter 20: loss 8.1518, time 135.58ms, mfu 3.81%
iter 21: loss 8.1042, time 137.38ms, mfu 3.81%
iter 22: loss 7.8337, time 135.61ms, mfu 3.82%
iter 23: loss 7.7645, time 137.10ms, mfu 3.82%
iter 24: loss 7.6869, time 136.56ms, mfu 3.82%
iter 25: loss 7.4410, time 136.27ms, mfu 3.82%
iter 26: loss 7.4722, time 133.74ms, mfu 3.83%
iter 27: loss 7.0559, time 139.06ms, mfu 3.83%
iter 28: loss 7.3085, time 136.41ms, mfu 3.83%
iter 29: loss 6.6992, time 137.23ms, mfu 3.83%
iter 30: loss 7.0616, time 137.89ms, mfu 3.82%
iter 31: loss 6.8354, time 132.38ms, mfu 3.84%
iter 32: loss 6.7470, time 139.25ms, mfu 3.83%
iter 33: loss 6.5353, time 134.14ms, mfu 3.84%
iter 34: loss 6.7259, time 139.61ms, mfu 3.83%
iter 35: loss 6.0746, time 135.15ms, mfu 3.83%
iter 36: loss 6.7849, time 138.84ms, mfu 3.83%
iter 37: loss 6.1790, time 136.46ms, mfu 3.83%
iter 38: loss 6.4189, time 133.33ms, mfu 3.84%
iter 39: loss 5.9793, time 138.61ms, mfu 3.83%
iter 40: loss 5.8512, time 137.12ms, mfu 3.83%
iter 41: loss 5.7210, time 131.58ms, mfu 3.85%
iter 42: loss 5.6595, time 141.13ms, mfu 3.83%
iter 43: loss 6.3963, time 132.24ms, mfu 3.85%
iter 44: loss 6.1630, time 135.53ms, mfu 3.85%
iter 45: loss 6.1014, time 143.78ms, mfu 3.83%
iter 46: loss 5.7511, time 131.27ms, mfu 3.84%
iter 47: loss 5.4576, time 140.76ms, mfu 3.83%
iter 48: loss 5.9915, time 131.57ms, mfu 3.85%
iter 49: loss 5.6679, time 140.02ms, mfu 3.84%
iter 50: loss 5.7043, time 132.40ms, mfu 3.85%
iter 51: loss 5.6853, time 142.92ms, mfu 3.83%
iter 52: loss 5.2977, time 132.09ms, mfu 3.84%
iter 53: loss 5.4029, time 140.24ms, mfu 3.83%
iter 54: loss 5.0679, time 137.81ms, mfu 3.83%
iter 55: loss 5.2833, time 134.31ms, mfu 3.84%
iter 56: loss 5.0767, time 133.51ms, mfu 3.85%
iter 57: loss 5.3964, time 139.29ms, mfu 3.84%
iter 58: loss 5.5915, time 133.37ms, mfu 3.85%
iter 59: loss 5.4601, time 134.57ms, mfu 3.85%
iter 60: loss 5.6928, time 144.57ms, mfu 3.83%
iter 61: loss 5.3465, time 136.95ms, mfu 3.83%
iter 62: loss 5.6552, time 136.71ms, mfu 3.83%
iter 63: loss 5.0752, time 134.64ms, mfu 3.83%
iter 64: loss 4.9483, time 137.87ms, mfu 3.83%
iter 65: loss 5.6053, time 130.44ms, mfu 3.85%
iter 66: loss 4.9399, time 141.56ms, mfu 3.83%
iter 67: loss 4.9859, time 134.83ms, mfu 3.84%
iter 68: loss 5.2708, time 139.04ms, mfu 3.83%
iter 69: loss 4.9780, time 137.68ms, mfu 3.83%
iter 70: loss 5.5793, time 133.28ms, mfu 3.84%
iter 71: loss 5.5520, time 139.69ms, mfu 3.83%
iter 72: loss 5.8227, time 134.29ms, mfu 3.84%
iter 73: loss 4.9006, time 139.23ms, mfu 3.83%
iter 74: loss 5.3411, time 131.07ms, mfu 3.85%
iter 75: loss 5.8784, time 141.69ms, mfu 3.83%
iter 76: loss 5.0052, time 131.25ms, mfu 3.85%
iter 77: loss 4.9195, time 141.27ms, mfu 3.83%
iter 78: loss 4.9915, time 134.17ms, mfu 3.84%
iter 79: loss 5.6507, time 138.68ms, mfu 3.84%
iter 80: loss 5.7555, time 136.58ms, mfu 3.84%
iter 81: loss 5.1935, time 137.20ms, mfu 3.83%
