
step 0: train loss 11.1042, val loss 11.1080
iter 0: loss 11.1247, time 31234.39ms, mfu -100.00%
iter 1: loss 11.1191, time 126.72ms, mfu -100.00%
iter 2: loss 10.6053, time 157.19ms, mfu -100.00%
iter 3: loss 10.0114, time 130.65ms, mfu -100.00%
iter 4: loss 9.6309, time 132.56ms, mfu -100.00%
iter 5: loss 9.5198, time 129.86ms, mfu 3.82%
iter 6: loss 9.3685, time 140.41ms, mfu 3.79%
iter 7: loss 9.2091, time 132.78ms, mfu 3.79%
iter 8: loss 8.9790, time 132.09ms, mfu 3.78%
iter 9: loss 9.0311, time 128.53ms, mfu 3.79%
iter 10: loss 9.0888, time 137.10ms, mfu 3.77%
iter 11: loss 8.8745, time 136.47ms, mfu 3.76%
iter 12: loss 8.8030, time 134.11ms, mfu 3.75%
iter 13: loss 8.7972, time 128.37ms, mfu 3.76%
iter 14: loss 8.5338, time 128.36ms, mfu 3.77%
iter 15: loss 8.5009, time 140.35ms, mfu 3.75%
iter 16: loss 8.3768, time 134.30ms, mfu 3.74%
iter 17: loss 8.3929, time 133.67ms, mfu 3.74%
iter 18: loss 8.1287, time 131.54ms, mfu 3.74%
iter 19: loss 7.9713, time 133.39ms, mfu 3.74%
iter 20: loss 7.9702, time 129.75ms, mfu 3.75%
iter 21: loss 7.9583, time 137.79ms, mfu 3.73%
iter 22: loss 7.7940, time 134.97ms, mfu 3.73%
iter 23: loss 7.6678, time 131.07ms, mfu 3.73%
iter 24: loss 7.5951, time 133.66ms, mfu 3.73%
iter 25: loss 7.3390, time 132.78ms, mfu 3.73%
iter 26: loss 7.3009, time 135.98ms, mfu 3.72%
iter 27: loss 6.9820, time 130.97ms, mfu 3.73%
iter 28: loss 6.9962, time 133.85ms, mfu 3.73%
iter 29: loss 7.0548, time 128.93ms, mfu 3.74%
iter 30: loss 6.5201, time 138.95ms, mfu 3.72%
iter 31: loss 6.5318, time 135.21ms, mfu 3.72%
iter 32: loss 6.5100, time 131.68ms, mfu 3.72%
iter 33: loss 6.3277, time 134.46ms, mfu 3.72%
iter 34: loss 6.1291, time 134.28ms, mfu 3.72%
iter 35: loss 5.9403, time 134.21ms, mfu 3.71%
iter 36: loss 6.0535, time 132.22ms, mfu 3.72%
iter 37: loss 6.0890, time 131.04ms, mfu 3.72%
iter 38: loss 5.8073, time 134.65ms, mfu 3.72%
iter 39: loss 5.8060, time 133.62ms, mfu 3.72%
iter 40: loss 5.6501, time 134.93ms, mfu 3.72%
iter 41: loss 5.8096, time 131.86ms, mfu 3.72%
iter 42: loss 5.8099, time 133.57ms, mfu 3.72%
iter 43: loss 5.5690, time 129.53ms, mfu 3.73%
iter 44: loss 5.4027, time 137.28ms, mfu 3.72%
iter 45: loss 5.5050, time 134.68ms, mfu 3.72%
iter 46: loss 5.4979, time 131.61ms, mfu 3.72%
iter 47: loss 5.6912, time 132.47ms, mfu 3.72%
iter 48: loss 5.7672, time 129.30ms, mfu 3.73%
iter 49: loss 5.4986, time 136.72ms, mfu 3.72%
iter 50: loss 5.6589, time 134.14ms, mfu 3.72%
iter 51: loss 5.0995, time 134.30ms, mfu 3.72%
iter 52: loss 5.3192, time 129.19ms, mfu 3.73%
iter 53: loss 5.3812, time 134.05ms, mfu 3.73%
iter 54: loss 5.2138, time 132.03ms, mfu 3.73%
iter 55: loss 5.5555, time 136.82ms, mfu 3.72%
iter 56: loss 5.2973, time 134.57ms, mfu 3.72%
iter 57: loss 5.0638, time 131.29ms, mfu 3.72%
iter 58: loss 4.9434, time 133.36ms, mfu 3.72%
iter 59: loss 5.0501, time 132.52ms, mfu 3.72%
iter 60: loss 4.9648, time 134.58ms, mfu 3.72%
iter 61: loss 5.5576, time 134.50ms, mfu 3.72%
iter 62: loss 5.1655, time 132.03ms, mfu 3.72%
iter 63: loss 5.2618, time 132.58ms, mfu 3.72%
iter 64: loss 5.0556, time 132.72ms, mfu 3.72%
iter 65: loss 4.8801, time 136.46ms, mfu 3.72%
iter 66: loss 5.1557, time 132.68ms, mfu 3.72%
iter 67: loss 4.9468, time 133.40ms, mfu 3.72%
iter 68: loss 4.9776, time 131.45ms, mfu 3.72%
iter 69: loss 5.2502, time 133.90ms, mfu 3.72%
iter 70: loss 5.2272, time 133.80ms, mfu 3.72%
iter 71: loss 4.9845, time 134.24ms, mfu 3.72%
iter 72: loss 5.1110, time 132.87ms, mfu 3.72%
iter 73: loss 5.4842, time 133.07ms, mfu 3.72%
iter 74: loss 4.8547, time 134.38ms, mfu 3.72%
iter 75: loss 4.9322, time 133.60ms, mfu 3.72%
iter 76: loss 5.0005, time 133.76ms, mfu 3.72%
iter 77: loss 5.0334, time 132.50ms, mfu 3.72%
iter 78: loss 5.0847, time 131.76ms, mfu 3.72%
iter 79: loss 4.8373, time 134.60ms, mfu 3.72%
iter 80: loss 5.1913, time 132.34ms, mfu 3.72%
iter 81: loss 5.3402, time 136.63ms, mfu 3.71%
iter 82: loss 5.3988, time 131.18ms, mfu 3.72%
iter 83: loss 4.8973, time 133.19ms, mfu 3.72%
iter 84: loss 5.0048, time 129.09ms, mfu 3.73%
iter 85: loss 4.9743, time 138.69ms, mfu 3.72%
iter 86: loss 4.7481, time 131.85ms, mfu 3.72%
iter 87: loss 5.0595, time 131.74ms, mfu 3.73%
