
step 0: train loss 11.1040, val loss 11.1001
iter 0: loss 11.1050, time 34930.85ms, mfu -100.00%
iter 1: loss 11.1123, time 157.80ms, mfu -100.00%
iter 2: loss 10.5736, time 330.18ms, mfu -100.00%
iter 3: loss 9.9829, time 359.94ms, mfu -100.00%
iter 4: loss 9.6119, time 355.80ms, mfu -100.00%
iter 5: loss 9.3476, time 360.85ms, mfu 11.00%
iter 6: loss 9.2577, time 357.45ms, mfu 11.01%
iter 7: loss 9.0920, time 359.25ms, mfu 11.01%
iter 8: loss 9.0153, time 362.05ms, mfu 11.01%
iter 9: loss 8.9093, time 356.48ms, mfu 11.02%
iter 10: loss 8.8738, time 361.04ms, mfu 11.02%
iter 11: loss 8.7865, time 361.11ms, mfu 11.01%
iter 12: loss 8.6769, time 357.40ms, mfu 11.02%
iter 13: loss 8.5218, time 361.07ms, mfu 11.02%
iter 14: loss 8.4418, time 363.30ms, mfu 11.01%
iter 15: loss 8.3722, time 356.64ms, mfu 11.02%
iter 16: loss 8.2177, time 359.80ms, mfu 11.02%
iter 17: loss 8.1761, time 363.83ms, mfu 11.01%
iter 18: loss 7.9583, time 362.59ms, mfu 11.00%
iter 19: loss 8.1708, time 362.35ms, mfu 11.00%
iter 20: loss 7.7212, time 356.60ms, mfu 11.01%
iter 21: loss 7.5622, time 361.04ms, mfu 11.01%
iter 22: loss 7.5165, time 362.99ms, mfu 11.00%
iter 23: loss 7.3118, time 360.55ms, mfu 11.00%
iter 24: loss 7.3117, time 359.98ms, mfu 11.00%
iter 25: loss 7.1439, time 360.12ms, mfu 11.01%
iter 26: loss 6.8762, time 362.12ms, mfu 11.00%
iter 27: loss 6.8488, time 357.28ms, mfu 11.01%
iter 28: loss 6.7732, time 360.18ms, mfu 11.01%
iter 29: loss 6.6846, time 360.88ms, mfu 11.01%
iter 30: loss 6.4924, time 360.12ms, mfu 11.01%
iter 31: loss 6.3560, time 358.89ms, mfu 11.02%
iter 32: loss 6.1777, time 361.42ms, mfu 11.01%
iter 33: loss 6.1374, time 358.44ms, mfu 11.02%
iter 34: loss 6.0228, time 360.77ms, mfu 11.02%
iter 35: loss 5.8536, time 360.57ms, mfu 11.02%
