
step 0: train loss 10.9097, val loss 10.9142
iter 0: loss 10.9083, time 31656.68ms, mfu -100.00%
iter 1: loss 10.9201, time 128.87ms, mfu -100.00%
iter 2: loss 10.4493, time 166.36ms, mfu -100.00%
iter 3: loss 9.8925, time 165.31ms, mfu -100.00%
iter 4: loss 9.5416, time 168.68ms, mfu -100.00%
iter 5: loss 9.2786, time 164.02ms, mfu 5.96%
iter 6: loss 9.1636, time 169.39ms, mfu 5.94%
iter 7: loss 9.0068, time 170.58ms, mfu 5.92%
iter 8: loss 8.9318, time 164.39ms, mfu 5.93%
iter 9: loss 8.8463, time 169.43ms, mfu 5.91%
iter 10: loss 8.8640, time 164.26ms, mfu 5.92%
iter 11: loss 8.7555, time 168.82ms, mfu 5.90%
iter 12: loss 8.6111, time 165.85ms, mfu 5.90%
iter 13: loss 8.6523, time 168.49ms, mfu 5.89%
iter 14: loss 8.4683, time 170.49ms, mfu 5.88%
iter 15: loss 8.4224, time 164.23ms, mfu 5.89%
iter 16: loss 8.3195, time 169.49ms, mfu 5.87%
iter 17: loss 8.1392, time 170.17ms, mfu 5.86%
iter 18: loss 7.9500, time 164.10ms, mfu 5.87%
iter 19: loss 7.9092, time 169.36ms, mfu 5.86%
iter 20: loss 7.8428, time 163.61ms, mfu 5.87%
iter 21: loss 7.7006, time 170.03ms, mfu 5.86%
iter 22: loss 7.4906, time 169.23ms, mfu 5.85%
iter 23: loss 7.4230, time 163.54ms, mfu 5.87%
iter 24: loss 7.1753, time 171.68ms, mfu 5.85%
iter 25: loss 7.1949, time 167.61ms, mfu 5.85%
iter 26: loss 7.1182, time 166.79ms, mfu 5.85%
iter 27: loss 6.9071, time 165.65ms, mfu 5.85%
iter 28: loss 6.6864, time 169.88ms, mfu 5.85%
iter 29: loss 6.4616, time 167.81ms, mfu 5.84%
iter 30: loss 6.4139, time 167.40ms, mfu 5.84%
iter 31: loss 6.3162, time 168.17ms, mfu 5.84%
iter 32: loss 6.2574, time 164.66ms, mfu 5.85%
iter 33: loss 6.1718, time 169.34ms, mfu 5.84%
iter 34: loss 6.0373, time 169.29ms, mfu 5.84%
iter 35: loss 5.9315, time 167.30ms, mfu 5.84%
iter 36: loss 5.7712, time 166.02ms, mfu 5.84%
iter 37: loss 5.7099, time 170.09ms, mfu 5.83%
iter 38: loss 5.6559, time 165.89ms, mfu 5.84%
iter 39: loss 5.5345, time 168.46ms, mfu 5.84%
iter 40: loss 5.4113, time 181.74ms, mfu 5.79%
iter 41: loss 5.4239, time 160.18ms, mfu 5.82%
iter 42: loss 5.3368, time 165.61ms, mfu 5.83%
iter 43: loss 5.2782, time 168.54ms, mfu 5.83%
iter 44: loss 5.1202, time 168.95ms, mfu 5.82%
iter 45: loss 5.1516, time 164.40ms, mfu 5.84%
iter 46: loss 5.3876, time 170.63ms, mfu 5.83%
iter 47: loss 5.1684, time 161.07ms, mfu 5.85%
iter 48: loss 4.9953, time 171.08ms, mfu 5.84%
iter 49: loss 5.1227, time 168.10ms, mfu 5.84%
iter 50: loss 5.0723, time 167.32ms, mfu 5.84%
iter 51: loss 5.1425, time 166.71ms, mfu 5.84%
iter 52: loss 5.0190, time 167.49ms, mfu 5.84%
iter 53: loss 5.0364, time 169.18ms, mfu 5.83%
iter 54: loss 4.8232, time 164.63ms, mfu 5.84%
iter 55: loss 5.0690, time 169.62ms, mfu 5.84%
iter 56: loss 4.9008, time 169.87ms, mfu 5.83%
iter 57: loss 4.9444, time 170.25ms, mfu 5.82%
iter 58: loss 4.9387, time 165.61ms, mfu 5.83%
iter 59: loss 5.0031, time 162.89ms, mfu 5.85%
iter 60: loss 4.9191, time 167.93ms, mfu 5.84%
iter 61: loss 4.9233, time 172.34ms, mfu 5.83%
iter 62: loss 4.7949, time 169.68ms, mfu 5.82%
iter 63: loss 4.8394, time 167.66ms, mfu 5.82%
iter 64: loss 4.9310, time 166.47ms, mfu 5.83%
iter 65: loss 4.8195, time 170.13ms, mfu 5.82%
iter 66: loss 4.8513, time 171.01ms, mfu 5.81%
iter 67: loss 4.8846, time 162.73ms, mfu 5.83%
iter 68: loss 4.6520, time 170.07ms, mfu 5.82%
iter 69: loss 4.6423, time 165.14ms, mfu 5.83%
iter 70: loss 4.6817, time 169.04ms, mfu 5.83%
iter 71: loss 4.5748, time 160.61ms, mfu 5.85%
iter 72: loss 4.8392, time 173.88ms, mfu 5.83%
iter 73: loss 4.7305, time 169.15ms, mfu 5.83%
iter 74: loss 4.8370, time 166.83ms, mfu 5.83%
iter 75: loss 4.7502, time 164.19ms, mfu 5.84%
iter 76: loss 4.7097, time 171.06ms, mfu 5.83%
iter 77: loss 4.6098, time 164.62ms, mfu 5.84%
iter 78: loss 4.6936, time 172.22ms, mfu 5.83%
iter 79: loss 4.7311, time 170.06ms, mfu 5.82%
iter 80: loss 4.7592, time 166.09ms, mfu 5.82%
iter 81: loss 4.4775, time 168.49ms, mfu 5.82%
iter 82: loss 4.5362, time 170.57ms, mfu 5.81%
iter 83: loss 4.6212, time 169.37ms, mfu 5.81%
iter 84: loss 4.7347, time 162.45ms, mfu 5.83%
iter 85: loss 4.6709, time 173.37ms, mfu 5.81%
iter 86: loss 4.6447, time 166.75ms, mfu 5.82%
iter 87: loss 4.4455, time 168.16ms, mfu 5.82%
iter 88: loss 4.5164, time 172.22ms, mfu 5.80%
iter 89: loss 4.5376, time 168.49ms, mfu 5.80%
iter 90: loss 4.5845, time 165.77ms, mfu 5.81%
iter 91: loss 4.5547, time 168.87ms, mfu 5.81%
iter 92: loss 4.4657, time 168.85ms, mfu 5.81%
iter 93: loss 4.5635, time 160.18ms, mfu 5.84%
iter 94: loss 4.4336, time 173.99ms, mfu 5.82%
iter 95: loss 4.6055, time 164.23ms, mfu 5.83%
iter 96: loss 4.7090, time 171.63ms, mfu 5.82%
iter 97: loss 4.4137, time 170.33ms, mfu 5.81%
iter 98: loss 4.6463, time 165.80ms, mfu 5.82%
iter 99: loss 4.4227, time 168.40ms, mfu 5.82%
iter 100: loss 4.5055, time 165.62ms, mfu 5.83%
iter 101: loss 4.5343, time 169.86ms, mfu 5.82%
iter 102: loss 4.5787, time 169.17ms, mfu 5.82%
iter 103: loss 4.4677, time 170.36ms, mfu 5.81%
iter 104: loss 4.5098, time 165.19ms, mfu 5.82%
iter 105: loss 4.3676, time 169.28ms, mfu 5.82%
iter 106: loss 4.4422, time 163.65ms, mfu 5.83%
iter 107: loss 4.4555, time 172.40ms, mfu 5.82%
iter 108: loss 4.3650, time 169.52ms, mfu 5.81%
iter 109: loss 4.3132, time 170.44ms, mfu 5.80%
iter 110: loss 4.3048, time 165.85ms, mfu 5.81%
iter 111: loss 4.4255, time 167.94ms, mfu 5.81%
iter 112: loss 4.5153, time 168.23ms, mfu 5.81%
iter 113: loss 4.4393, time 166.74ms, mfu 5.82%
iter 114: loss 4.4873, time 169.21ms, mfu 5.82%
iter 115: loss 4.5584, time 166.46ms, mfu 5.82%
iter 116: loss 4.3802, time 167.94ms, mfu 5.82%
iter 117: loss 4.3703, time 162.51ms, mfu 5.84%
iter 118: loss 4.3584, time 174.40ms, mfu 5.82%
