
step 0: train loss 10.9188, val loss 10.9262
iter 0: loss 10.8917, time 30425.83ms, mfu -100.00%
iter 1: loss 10.9625, time 125.60ms, mfu -100.00%
iter 2: loss 10.3842, time 114.75ms, mfu -100.00%
iter 3: loss 10.0245, time 110.68ms, mfu -100.00%
iter 4: loss 9.6431, time 106.71ms, mfu -100.00%
iter 5: loss 9.3642, time 117.02ms, mfu 0.65%
iter 6: loss 9.6265, time 107.03ms, mfu 0.66%
iter 7: loss 9.3038, time 112.48ms, mfu 0.66%
iter 8: loss 9.2566, time 107.40ms, mfu 0.67%
iter 9: loss 8.9685, time 113.18ms, mfu 0.67%
iter 10: loss 8.9212, time 112.49ms, mfu 0.67%
iter 11: loss 9.0689, time 107.55ms, mfu 0.67%
iter 12: loss 9.0525, time 114.86ms, mfu 0.67%
iter 13: loss 8.7053, time 109.16ms, mfu 0.67%
iter 14: loss 8.8918, time 109.62ms, mfu 0.68%
iter 15: loss 8.7925, time 114.61ms, mfu 0.68%
iter 16: loss 8.9354, time 110.49ms, mfu 0.68%
iter 17: loss 8.4392, time 108.93ms, mfu 0.68%
iter 18: loss 8.3180, time 111.74ms, mfu 0.68%
iter 19: loss 8.5065, time 109.37ms, mfu 0.68%
iter 20: loss 8.2023, time 114.20ms, mfu 0.68%
iter 21: loss 8.2278, time 112.28ms, mfu 0.68%
iter 22: loss 7.8962, time 111.06ms, mfu 0.68%
iter 23: loss 7.8984, time 111.89ms, mfu 0.68%
iter 24: loss 7.9727, time 113.36ms, mfu 0.68%
iter 25: loss 7.7682, time 114.53ms, mfu 0.68%
iter 26: loss 7.6771, time 111.30ms, mfu 0.68%
iter 27: loss 7.3047, time 111.54ms, mfu 0.68%
iter 28: loss 7.6206, time 109.72ms, mfu 0.68%
iter 29: loss 7.3168, time 110.52ms, mfu 0.68%
iter 30: loss 6.9421, time 114.13ms, mfu 0.68%
iter 31: loss 7.2645, time 109.20ms, mfu 0.68%
iter 32: loss 6.8796, time 113.69ms, mfu 0.68%
iter 33: loss 7.0902, time 111.07ms, mfu 0.68%
iter 34: loss 6.9974, time 113.21ms, mfu 0.68%
iter 35: loss 6.7462, time 112.95ms, mfu 0.68%
iter 36: loss 6.3769, time 114.54ms, mfu 0.68%
iter 37: loss 5.8236, time 110.00ms, mfu 0.68%
iter 38: loss 6.4949, time 114.82ms, mfu 0.68%
iter 39: loss 6.7090, time 109.15ms, mfu 0.68%
iter 40: loss 6.2187, time 109.19ms, mfu 0.68%
iter 41: loss 6.0440, time 107.89ms, mfu 0.69%
iter 42: loss 6.1151, time 112.49ms, mfu 0.69%
iter 43: loss 5.9300, time 114.91ms, mfu 0.68%
iter 44: loss 5.9885, time 109.36ms, mfu 0.69%
iter 45: loss 5.9095, time 114.06ms, mfu 0.68%
iter 46: loss 6.0040, time 112.96ms, mfu 0.68%
iter 47: loss 6.2962, time 113.36ms, mfu 0.68%
iter 48: loss 5.9055, time 115.74ms, mfu 0.68%
iter 49: loss 5.6187, time 111.66ms, mfu 0.68%
iter 50: loss 6.1511, time 108.57ms, mfu 0.68%
iter 51: loss 6.0364, time 111.86ms, mfu 0.68%
iter 52: loss 5.9777, time 109.81ms, mfu 0.68%
iter 53: loss 5.5769, time 114.46ms, mfu 0.68%
iter 54: loss 5.9739, time 111.13ms, mfu 0.68%
iter 55: loss 6.1090, time 108.91ms, mfu 0.68%
iter 56: loss 6.2207, time 109.51ms, mfu 0.69%
iter 57: loss 6.1548, time 113.87ms, mfu 0.68%
iter 58: loss 6.1772, time 111.52ms, mfu 0.68%
iter 59: loss 6.5562, time 108.63ms, mfu 0.69%
iter 60: loss 5.9979, time 113.33ms, mfu 0.69%
iter 61: loss 6.4891, time 109.60ms, mfu 0.69%
iter 62: loss 5.8663, time 109.23ms, mfu 0.69%
iter 63: loss 5.9691, time 114.11ms, mfu 0.69%
iter 64: loss 5.3947, time 109.06ms, mfu 0.69%
iter 65: loss 6.1703, time 112.10ms, mfu 0.69%
iter 66: loss 5.4466, time 106.73ms, mfu 0.69%
iter 67: loss 5.6949, time 116.04ms, mfu 0.69%
iter 68: loss 5.6325, time 108.92ms, mfu 0.69%
iter 69: loss 5.8967, time 111.77ms, mfu 0.69%
iter 70: loss 5.9818, time 106.97ms, mfu 0.69%
iter 71: loss 5.9443, time 114.92ms, mfu 0.69%
iter 72: loss 5.7482, time 110.46ms, mfu 0.69%
iter 73: loss 6.2212, time 109.50ms, mfu 0.69%
iter 74: loss 6.2385, time 107.84ms, mfu 0.69%
iter 75: loss 5.9696, time 114.41ms, mfu 0.69%
iter 76: loss 6.0985, time 110.42ms, mfu 0.69%
iter 77: loss 5.8235, time 113.23ms, mfu 0.69%
iter 78: loss 5.5893, time 110.59ms, mfu 0.69%
iter 79: loss 5.9395, time 107.08ms, mfu 0.69%
iter 80: loss 5.2233, time 114.33ms, mfu 0.69%
iter 81: loss 5.9260, time 110.96ms, mfu 0.69%
iter 82: loss 5.2736, time 111.53ms, mfu 0.69%
iter 83: loss 5.4703, time 107.44ms, mfu 0.69%
iter 84: loss 5.1343, time 109.47ms, mfu 0.69%
iter 85: loss 4.9648, time 112.77ms, mfu 0.69%
iter 86: loss 5.4732, time 115.07ms, mfu 0.69%
iter 87: loss 5.9769, time 111.44ms, mfu 0.69%
iter 88: loss 5.3028, time 108.58ms, mfu 0.69%
iter 89: loss 6.1179, time 111.40ms, mfu 0.69%
iter 90: loss 5.6764, time 110.17ms, mfu 0.69%
iter 91: loss 5.2714, time 111.32ms, mfu 0.69%
iter 92: loss 5.8738, time 109.52ms, mfu 0.69%
iter 93: loss 5.4168, time 112.35ms, mfu 0.69%
iter 94: loss 5.2276, time 109.98ms, mfu 0.69%
iter 95: loss 6.0177, time 108.96ms, mfu 0.69%
iter 96: loss 5.5451, time 115.11ms, mfu 0.69%
iter 97: loss 6.0343, time 109.33ms, mfu 0.69%
iter 98: loss 5.5008, time 114.35ms, mfu 0.69%
iter 99: loss 5.3846, time 106.22ms, mfu 0.69%
iter 100: loss 5.9980, time 113.63ms, mfu 0.69%
iter 101: loss 5.7053, time 109.92ms, mfu 0.69%
iter 102: loss 5.4247, time 111.44ms, mfu 0.69%
iter 103: loss 5.5935, time 110.01ms, mfu 0.69%
iter 104: loss 5.5372, time 110.12ms, mfu 0.69%
iter 105: loss 6.0044, time 112.36ms, mfu 0.69%
iter 106: loss 5.1777, time 113.05ms, mfu 0.69%
