
step 0: train loss 10.9165, val loss 10.9172
iter 0: loss 10.8682, time 30671.18ms, mfu -100.00%
iter 1: loss 10.9026, time 125.53ms, mfu -100.00%
iter 2: loss 10.5651, time 113.78ms, mfu -100.00%
iter 3: loss 10.1453, time 114.15ms, mfu -100.00%
iter 4: loss 9.6888, time 114.25ms, mfu -100.00%
iter 5: loss 9.3786, time 112.65ms, mfu 0.54%
iter 6: loss 9.1435, time 108.81ms, mfu 0.54%
iter 7: loss 9.2739, time 110.52ms, mfu 0.55%
iter 8: loss 9.3185, time 105.86ms, mfu 0.55%
iter 9: loss 9.2086, time 115.22ms, mfu 0.55%
iter 10: loss 9.1270, time 113.32ms, mfu 0.55%
iter 11: loss 8.9684, time 108.82ms, mfu 0.55%
iter 12: loss 8.7517, time 110.16ms, mfu 0.55%
iter 13: loss 8.5664, time 108.99ms, mfu 0.55%
iter 14: loss 8.9428, time 114.88ms, mfu 0.55%
iter 15: loss 8.5657, time 109.21ms, mfu 0.55%
iter 16: loss 8.6055, time 111.54ms, mfu 0.55%
iter 17: loss 8.6280, time 109.74ms, mfu 0.55%
iter 18: loss 8.7641, time 114.02ms, mfu 0.55%
iter 19: loss 8.6425, time 112.59ms, mfu 0.55%
iter 20: loss 8.4541, time 111.50ms, mfu 0.55%
iter 21: loss 8.3706, time 110.16ms, mfu 0.55%
iter 22: loss 7.8279, time 108.38ms, mfu 0.55%
iter 23: loss 8.1642, time 107.29ms, mfu 0.55%
iter 24: loss 8.0765, time 111.17ms, mfu 0.55%
iter 25: loss 7.8178, time 115.61ms, mfu 0.55%
iter 26: loss 7.5092, time 108.44ms, mfu 0.55%
iter 27: loss 7.6172, time 113.94ms, mfu 0.55%
iter 28: loss 7.4154, time 110.96ms, mfu 0.55%
iter 29: loss 7.4483, time 112.59ms, mfu 0.55%
iter 30: loss 7.5892, time 109.45ms, mfu 0.55%
iter 31: loss 7.0014, time 112.14ms, mfu 0.55%
iter 32: loss 6.8805, time 110.01ms, mfu 0.55%
iter 33: loss 6.6858, time 108.20ms, mfu 0.55%
iter 34: loss 6.8164, time 107.42ms, mfu 0.55%
iter 35: loss 6.5162, time 112.00ms, mfu 0.55%
iter 36: loss 6.5132, time 113.95ms, mfu 0.55%
iter 37: loss 6.4983, time 113.17ms, mfu 0.55%
iter 38: loss 5.8030, time 112.93ms, mfu 0.55%
iter 39: loss 6.2113, time 113.68ms, mfu 0.55%
iter 40: loss 6.6732, time 114.55ms, mfu 0.55%
