
step 0: train loss 10.9145, val loss 10.9179
iter 0: loss 10.9081, time 31088.50ms, mfu -100.00%
iter 1: loss 10.9190, time 123.72ms, mfu -100.00%
iter 2: loss 10.4782, time 109.48ms, mfu -100.00%
iter 3: loss 9.9428, time 112.18ms, mfu -100.00%
iter 4: loss 9.5679, time 112.18ms, mfu -100.00%
iter 5: loss 9.4184, time 113.86ms, mfu 1.01%
iter 6: loss 9.3511, time 114.89ms, mfu 1.01%
iter 7: loss 9.0986, time 111.25ms, mfu 1.01%
iter 8: loss 9.1555, time 110.54ms, mfu 1.01%
iter 9: loss 8.9955, time 109.36ms, mfu 1.01%
iter 10: loss 8.9662, time 106.87ms, mfu 1.02%
iter 11: loss 8.7084, time 114.73ms, mfu 1.02%
iter 12: loss 8.9823, time 112.44ms, mfu 1.02%
iter 13: loss 8.7553, time 112.26ms, mfu 1.02%
iter 14: loss 8.7492, time 110.51ms, mfu 1.02%
iter 15: loss 8.6052, time 108.08ms, mfu 1.02%
iter 16: loss 8.5768, time 114.49ms, mfu 1.02%
iter 17: loss 8.3764, time 112.75ms, mfu 1.02%
iter 18: loss 8.4698, time 111.90ms, mfu 1.02%
iter 19: loss 8.0010, time 109.72ms, mfu 1.02%
iter 20: loss 8.3003, time 109.12ms, mfu 1.03%
iter 21: loss 8.1919, time 107.01ms, mfu 1.03%
iter 22: loss 8.0992, time 116.03ms, mfu 1.03%
iter 23: loss 7.9147, time 110.97ms, mfu 1.03%
iter 24: loss 7.8129, time 107.71ms, mfu 1.03%
iter 25: loss 7.7434, time 114.86ms, mfu 1.03%
iter 26: loss 7.8150, time 111.61ms, mfu 1.03%
iter 27: loss 7.7537, time 110.08ms, mfu 1.03%
iter 28: loss 7.3942, time 109.25ms, mfu 1.03%
iter 29: loss 6.9395, time 112.99ms, mfu 1.03%
iter 30: loss 7.2298, time 108.81ms, mfu 1.03%
iter 31: loss 6.6827, time 111.95ms, mfu 1.03%
iter 32: loss 6.7863, time 107.84ms, mfu 1.03%
iter 33: loss 6.8198, time 113.60ms, mfu 1.03%
iter 34: loss 6.7550, time 111.39ms, mfu 1.03%
iter 35: loss 6.5776, time 109.58ms, mfu 1.03%
iter 36: loss 6.6893, time 111.72ms, mfu 1.03%
iter 37: loss 6.5460, time 110.51ms, mfu 1.03%
iter 38: loss 6.2009, time 111.35ms, mfu 1.03%
iter 39: loss 6.2454, time 107.60ms, mfu 1.04%
iter 40: loss 5.8112, time 115.37ms, mfu 1.03%
iter 41: loss 6.0813, time 108.49ms, mfu 1.03%
iter 42: loss 5.8493, time 113.22ms, mfu 1.03%
iter 43: loss 5.5429, time 109.12ms, mfu 1.03%
iter 44: loss 5.7889, time 108.10ms, mfu 1.04%
iter 45: loss 6.0582, time 114.81ms, mfu 1.03%
iter 46: loss 6.2637, time 109.38ms, mfu 1.03%
iter 47: loss 5.6051, time 113.96ms, mfu 1.03%
iter 48: loss 5.8811, time 108.93ms, mfu 1.03%
iter 49: loss 5.4860, time 113.39ms, mfu 1.03%
iter 50: loss 6.1744, time 108.59ms, mfu 1.03%
iter 51: loss 5.9995, time 112.09ms, mfu 1.03%
iter 52: loss 5.9533, time 107.54ms, mfu 1.04%
iter 53: loss 5.7002, time 115.16ms, mfu 1.03%
iter 54: loss 5.7584, time 108.57ms, mfu 1.03%
iter 55: loss 5.7471, time 110.22ms, mfu 1.03%
iter 56: loss 5.7694, time 108.70ms, mfu 1.04%
iter 57: loss 5.7373, time 115.79ms, mfu 1.03%
iter 58: loss 5.8879, time 112.86ms, mfu 1.03%
iter 59: loss 5.5573, time 108.80ms, mfu 1.03%
iter 60: loss 5.5066, time 109.96ms, mfu 1.03%
iter 61: loss 5.2741, time 109.59ms, mfu 1.03%
iter 62: loss 5.4111, time 113.53ms, mfu 1.03%
iter 63: loss 5.5005, time 111.33ms, mfu 1.03%
iter 64: loss 5.9185, time 110.05ms, mfu 1.03%
iter 65: loss 5.6478, time 108.71ms, mfu 1.04%
iter 66: loss 5.4857, time 109.45ms, mfu 1.04%
iter 67: loss 5.3954, time 114.86ms, mfu 1.03%
iter 68: loss 5.3491, time 109.34ms, mfu 1.03%
iter 69: loss 5.8009, time 109.44ms, mfu 1.04%
iter 70: loss 5.8982, time 114.12ms, mfu 1.03%
iter 71: loss 5.3078, time 112.71ms, mfu 1.03%
iter 72: loss 5.5662, time 108.98ms, mfu 1.03%
iter 73: loss 5.1807, time 110.55ms, mfu 1.03%
iter 74: loss 5.9092, time 107.68ms, mfu 1.04%
iter 75: loss 5.9105, time 114.39ms, mfu 1.03%
iter 76: loss 5.4542, time 112.55ms, mfu 1.03%
iter 77: loss 5.6477, time 109.58ms, mfu 1.03%
iter 78: loss 5.6517, time 110.26ms, mfu 1.03%
iter 79: loss 5.4411, time 109.65ms, mfu 1.03%
iter 80: loss 5.0412, time 112.21ms, mfu 1.03%
iter 81: loss 5.2874, time 110.39ms, mfu 1.03%
iter 82: loss 4.9620, time 110.97ms, mfu 1.03%
iter 83: loss 5.5591, time 110.98ms, mfu 1.03%
iter 84: loss 5.0711, time 111.73ms, mfu 1.03%
iter 85: loss 5.2735, time 112.23ms, mfu 1.03%
iter 86: loss 5.6837, time 110.54ms, mfu 1.03%
iter 87: loss 5.6364, time 108.27ms, mfu 1.03%
iter 88: loss 5.4864, time 112.43ms, mfu 1.03%
iter 89: loss 5.3011, time 109.67ms, mfu 1.03%
iter 90: loss 5.4810, time 107.86ms, mfu 1.04%
iter 91: loss 5.5226, time 115.15ms, mfu 1.03%
iter 92: loss 5.2891, time 113.40ms, mfu 1.03%
iter 93: loss 5.4874, time 111.92ms, mfu 1.03%
iter 94: loss 5.3899, time 113.40ms, mfu 1.03%
iter 95: loss 5.0670, time 115.63ms, mfu 1.02%
iter 96: loss 5.9625, time 109.55ms, mfu 1.03%
iter 97: loss 5.3567, time 113.29ms, mfu 1.03%
iter 98: loss 5.6887, time 111.33ms, mfu 1.03%
iter 99: loss 5.4485, time 109.06ms, mfu 1.03%
iter 100: loss 5.5045, time 109.11ms, mfu 1.03%
iter 101: loss 5.8482, time 114.53ms, mfu 1.03%
iter 102: loss 5.2196, time 112.76ms, mfu 1.03%
iter 103: loss 5.3960, time 109.23ms, mfu 1.03%
iter 104: loss 5.5687, time 110.74ms, mfu 1.03%
iter 105: loss 5.7362, time 108.90ms, mfu 1.03%
iter 106: loss 4.9475, time 111.99ms, mfu 1.03%
iter 107: loss 5.2121, time 110.11ms, mfu 1.03%
iter 108: loss 5.3919, time 111.70ms, mfu 1.03%
iter 109: loss 5.1935, time 108.03ms, mfu 1.03%
iter 110: loss 4.9802, time 114.59ms, mfu 1.03%
iter 111: loss 4.9648, time 109.73ms, mfu 1.03%
iter 112: loss 5.2224, time 111.97ms, mfu 1.03%
iter 113: loss 4.8224, time 111.98ms, mfu 1.03%
iter 114: loss 5.3539, time 110.09ms, mfu 1.03%
iter 115: loss 5.0860, time 111.60ms, mfu 1.03%
iter 116: loss 4.8298, time 110.52ms, mfu 1.03%
iter 117: loss 5.0472, time 113.06ms, mfu 1.03%
iter 118: loss 5.7540, time 108.33ms, mfu 1.03%
iter 119: loss 5.5705, time 111.78ms, mfu 1.03%
iter 120: loss 5.2982, time 109.89ms, mfu 1.03%
iter 121: loss 5.4348, time 113.50ms, mfu 1.03%
iter 122: loss 5.1360, time 109.08ms, mfu 1.03%
iter 123: loss 5.7432, time 108.46ms, mfu 1.04%
iter 124: loss 5.0578, time 114.06ms, mfu 1.03%
iter 125: loss 5.2211, time 111.41ms, mfu 1.03%
iter 126: loss 5.0299, time 110.74ms, mfu 1.03%
iter 127: loss 5.5899, time 108.04ms, mfu 1.04%
iter 128: loss 5.2403, time 113.12ms, mfu 1.03%
iter 129: loss 5.3980, time 112.46ms, mfu 1.03%
iter 130: loss 5.2912, time 113.14ms, mfu 1.03%
iter 131: loss 5.7414, time 109.30ms, mfu 1.03%
iter 132: loss 5.3187, time 107.87ms, mfu 1.03%
iter 133: loss 5.1429, time 110.35ms, mfu 1.04%
iter 134: loss 5.0190, time 109.21ms, mfu 1.04%
iter 135: loss 5.3534, time 114.04ms, mfu 1.03%
iter 136: loss 4.9540, time 110.85ms, mfu 1.03%
iter 137: loss 4.6169, time 113.49ms, mfu 1.03%
iter 138: loss 4.8308, time 109.07ms, mfu 1.03%
iter 139: loss 4.8736, time 111.54ms, mfu 1.03%
iter 140: loss 5.3195, time 108.46ms, mfu 1.04%
iter 141: loss 4.8879, time 111.79ms, mfu 1.03%
iter 142: loss 5.0209, time 110.36ms, mfu 1.03%
iter 143: loss 5.0088, time 111.46ms, mfu 1.03%
iter 144: loss 5.3901, time 107.99ms, mfu 1.04%
iter 145: loss 5.6732, time 106.73ms, mfu 1.04%
iter 146: loss 4.9816, time 110.62ms, mfu 1.04%
iter 147: loss 5.1701, time 108.99ms, mfu 1.04%
iter 148: loss 5.0759, time 112.41ms, mfu 1.04%
iter 149: loss 4.9815, time 108.12ms, mfu 1.04%
iter 150: loss 5.0672, time 114.50ms, mfu 1.04%
iter 151: loss 4.8731, time 108.65ms, mfu 1.04%
iter 152: loss 5.0886, time 110.26ms, mfu 1.04%
iter 153: loss 5.0141, time 110.88ms, mfu 1.04%
iter 154: loss 4.8370, time 111.87ms, mfu 1.04%
iter 155: loss 5.2668, time 108.58ms, mfu 1.04%
iter 156: loss 4.9838, time 114.40ms, mfu 1.04%
iter 157: loss 5.2941, time 110.99ms, mfu 1.03%
iter 158: loss 5.4074, time 107.63ms, mfu 1.04%
iter 159: loss 5.3410, time 109.06ms, mfu 1.04%
iter 160: loss 4.9284, time 113.53ms, mfu 1.04%
iter 161: loss 4.9056, time 112.52ms, mfu 1.03%
iter 162: loss 5.2154, time 109.31ms, mfu 1.04%
iter 163: loss 5.1504, time 112.21ms, mfu 1.03%
iter 164: loss 5.4989, time 110.46ms, mfu 1.03%
iter 165: loss 5.1356, time 113.13ms, mfu 1.03%
iter 166: loss 5.1395, time 111.18ms, mfu 1.03%
iter 167: loss 4.7553, time 110.82ms, mfu 1.03%
iter 168: loss 4.8755, time 109.00ms, mfu 1.03%
iter 169: loss 5.0554, time 109.34ms, mfu 1.04%
iter 170: loss 4.6416, time 108.12ms, mfu 1.04%
iter 171: loss 4.9234, time 106.45ms, mfu 1.04%
iter 172: loss 4.9436, time 112.78ms, mfu 1.04%
iter 173: loss 4.7021, time 112.52ms, mfu 1.04%
iter 174: loss 4.7428, time 113.41ms, mfu 1.03%
iter 175: loss 5.2696, time 115.51ms, mfu 1.03%
iter 176: loss 5.1765, time 112.28ms, mfu 1.03%
iter 177: loss 4.9820, time 108.78ms, mfu 1.03%
iter 178: loss 5.0174, time 110.00ms, mfu 1.03%
iter 179: loss 4.7227, time 109.51ms, mfu 1.03%
iter 180: loss 4.8546, time 107.59ms, mfu 1.04%
iter 181: loss 4.6487, time 114.85ms, mfu 1.03%
iter 182: loss 4.9855, time 114.23ms, mfu 1.03%
iter 183: loss 5.3012, time 111.06ms, mfu 1.03%
iter 184: loss 5.1232, time 110.25ms, mfu 1.03%
iter 185: loss 5.1387, time 109.17ms, mfu 1.03%
iter 186: loss 4.7976, time 108.74ms, mfu 1.04%
iter 187: loss 4.8970, time 114.86ms, mfu 1.03%
iter 188: loss 5.0871, time 111.22ms, mfu 1.03%
iter 189: loss 4.8902, time 113.23ms, mfu 1.03%
iter 190: loss 5.1508, time 108.16ms, mfu 1.03%
iter 191: loss 4.5644, time 109.12ms, mfu 1.03%
iter 192: loss 4.9849, time 113.40ms, mfu 1.03%
iter 193: loss 5.3200, time 111.09ms, mfu 1.03%
iter 194: loss 4.5499, time 109.57ms, mfu 1.03%
iter 195: loss 4.7614, time 107.82ms, mfu 1.04%
iter 196: loss 4.9871, time 114.83ms, mfu 1.03%
iter 197: loss 5.0202, time 109.04ms, mfu 1.03%
iter 198: loss 4.9206, time 114.10ms, mfu 1.03%
iter 199: loss 5.2525, time 109.23ms, mfu 1.03%
iter 200: loss 5.1546, time 111.27ms, mfu 1.03%
iter 201: loss 4.6974, time 108.91ms, mfu 1.03%
iter 202: loss 5.0038, time 114.49ms, mfu 1.03%
iter 203: loss 4.5550, time 111.25ms, mfu 1.03%
iter 204: loss 4.8878, time 108.19ms, mfu 1.03%
iter 205: loss 4.8212, time 114.77ms, mfu 1.03%
iter 206: loss 4.8344, time 108.54ms, mfu 1.03%
iter 207: loss 4.2924, time 112.87ms, mfu 1.03%
iter 208: loss 4.5407, time 108.83ms, mfu 1.03%
iter 209: loss 4.9053, time 112.94ms, mfu 1.03%
iter 210: loss 4.9521, time 109.00ms, mfu 1.03%
iter 211: loss 4.4356, time 113.70ms, mfu 1.03%
iter 212: loss 5.0409, time 110.71ms, mfu 1.03%
iter 213: loss 4.7066, time 108.16ms, mfu 1.03%
iter 214: loss 5.5490, time 108.76ms, mfu 1.04%
iter 215: loss 5.3113, time 113.99ms, mfu 1.03%
iter 216: loss 4.8545, time 112.90ms, mfu 1.03%
iter 217: loss 5.1354, time 108.37ms, mfu 1.03%
iter 218: loss 4.9871, time 111.70ms, mfu 1.03%
iter 219: loss 5.0783, time 109.46ms, mfu 1.03%
iter 220: loss 5.0143, time 113.50ms, mfu 1.03%
iter 221: loss 4.9536, time 112.30ms, mfu 1.03%
iter 222: loss 4.6729, time 111.07ms, mfu 1.03%
iter 223: loss 5.2122, time 112.47ms, mfu 1.03%
iter 224: loss 4.8173, time 113.92ms, mfu 1.03%
iter 225: loss 4.3717, time 114.83ms, mfu 1.02%
iter 226: loss 5.2434, time 110.08ms, mfu 1.03%
iter 227: loss 4.8744, time 112.15ms, mfu 1.03%
iter 228: loss 4.6235, time 107.38ms, mfu 1.03%
iter 229: loss 4.8759, time 114.83ms, mfu 1.03%
iter 230: loss 4.6866, time 109.06ms, mfu 1.03%
iter 231: loss 5.0474, time 110.70ms, mfu 1.03%
iter 232: loss 5.0351, time 110.62ms, mfu 1.03%
iter 233: loss 4.9999, time 111.40ms, mfu 1.03%
iter 234: loss 4.7037, time 111.77ms, mfu 1.03%
iter 235: loss 4.7890, time 112.58ms, mfu 1.03%
iter 236: loss 4.4009, time 108.83ms, mfu 1.03%
iter 237: loss 5.0503, time 111.55ms, mfu 1.03%
iter 238: loss 4.8123, time 111.62ms, mfu 1.03%
iter 239: loss 4.7516, time 110.38ms, mfu 1.03%
iter 240: loss 5.1039, time 109.01ms, mfu 1.03%
iter 241: loss 5.0697, time 107.63ms, mfu 1.04%
iter 242: loss 4.5941, time 115.91ms, mfu 1.03%
iter 243: loss 4.9845, time 112.72ms, mfu 1.03%
iter 244: loss 4.7953, time 110.79ms, mfu 1.03%
iter 245: loss 5.0185, time 108.12ms, mfu 1.03%
iter 246: loss 5.1181, time 111.34ms, mfu 1.03%
iter 247: loss 4.3439, time 112.07ms, mfu 1.03%
iter 248: loss 4.8059, time 108.68ms, mfu 1.03%
iter 249: loss 5.0405, time 114.34ms, mfu 1.03%
step 250: train loss 4.8163, val loss 4.5656
saving checkpoint to out
iter 250: loss 5.1191, time 2109.84ms, mfu 0.93%
iter 251: loss 4.5541, time 137.11ms, mfu 0.92%
iter 252: loss 5.0316, time 109.01ms, mfu 0.94%
iter 253: loss 4.5422, time 115.92ms, mfu 0.94%
iter 254: loss 4.9745, time 109.84ms, mfu 0.95%
iter 255: loss 5.1839, time 111.70ms, mfu 0.96%
iter 256: loss 4.8163, time 112.52ms, mfu 0.97%
