
step 0: train loss 10.9170, val loss 10.9239
iter 0: loss 10.9027, time 30994.59ms, mfu -100.00%
iter 1: loss 10.8923, time 126.23ms, mfu -100.00%
iter 2: loss 10.5055, time 114.28ms, mfu -100.00%
iter 3: loss 10.1630, time 112.65ms, mfu -100.00%
iter 4: loss 9.5901, time 116.48ms, mfu -100.00%
iter 5: loss 9.5135, time 109.98ms, mfu 0.83%
iter 6: loss 9.2842, time 111.14ms, mfu 0.83%
iter 7: loss 9.1230, time 110.20ms, mfu 0.83%
iter 8: loss 9.0735, time 113.25ms, mfu 0.83%
iter 9: loss 9.0377, time 112.68ms, mfu 0.83%
iter 10: loss 8.8119, time 109.66ms, mfu 0.83%
iter 11: loss 9.0241, time 114.74ms, mfu 0.83%
iter 12: loss 8.8604, time 115.97ms, mfu 0.82%
iter 13: loss 8.6590, time 112.90ms, mfu 0.82%
iter 14: loss 8.8263, time 110.98ms, mfu 0.82%
iter 15: loss 8.7499, time 115.29ms, mfu 0.82%
iter 16: loss 8.5680, time 115.70ms, mfu 0.82%
iter 17: loss 8.5331, time 114.76ms, mfu 0.82%
iter 18: loss 8.3332, time 116.13ms, mfu 0.81%
iter 19: loss 8.4648, time 110.16ms, mfu 0.81%
iter 20: loss 8.2629, time 112.74ms, mfu 0.81%
iter 21: loss 8.2236, time 112.41ms, mfu 0.81%
iter 22: loss 8.1745, time 117.02ms, mfu 0.81%
iter 23: loss 7.6339, time 111.99ms, mfu 0.81%
iter 24: loss 7.4036, time 112.66ms, mfu 0.81%
iter 25: loss 7.7664, time 109.90ms, mfu 0.81%
iter 26: loss 7.5278, time 112.89ms, mfu 0.81%
iter 27: loss 7.4108, time 112.52ms, mfu 0.81%
iter 28: loss 7.2504, time 108.88ms, mfu 0.82%
iter 29: loss 7.0404, time 112.43ms, mfu 0.82%
iter 30: loss 7.0530, time 116.78ms, mfu 0.81%
iter 31: loss 6.5374, time 111.32ms, mfu 0.81%
iter 32: loss 7.1028, time 108.70ms, mfu 0.82%
iter 33: loss 6.7473, time 115.83ms, mfu 0.82%
iter 34: loss 6.2381, time 109.96ms, mfu 0.82%
iter 35: loss 6.6908, time 115.88ms, mfu 0.81%
iter 36: loss 6.5910, time 116.16ms, mfu 0.81%
iter 37: loss 6.3460, time 114.42ms, mfu 0.81%
iter 38: loss 6.3167, time 115.95ms, mfu 0.81%
iter 39: loss 6.8493, time 110.20ms, mfu 0.81%
iter 40: loss 6.6151, time 114.63ms, mfu 0.81%
iter 41: loss 6.4847, time 109.70ms, mfu 0.81%
iter 42: loss 6.5467, time 111.91ms, mfu 0.81%
iter 43: loss 6.4949, time 110.24ms, mfu 0.82%
iter 44: loss 6.5654, time 112.27ms, mfu 0.82%
iter 45: loss 6.0020, time 116.39ms, mfu 0.81%
iter 46: loss 5.8561, time 115.31ms, mfu 0.81%
iter 47: loss 6.0433, time 109.78ms, mfu 0.81%
iter 48: loss 5.8487, time 114.31ms, mfu 0.81%
iter 49: loss 5.7240, time 114.23ms, mfu 0.81%
iter 50: loss 5.8974, time 116.39ms, mfu 0.81%
iter 51: loss 5.8400, time 111.35ms, mfu 0.81%
iter 52: loss 6.0624, time 114.84ms, mfu 0.81%
iter 53: loss 6.2129, time 115.82ms, mfu 0.81%
iter 54: loss 6.2665, time 109.69ms, mfu 0.81%
iter 55: loss 6.3136, time 110.98ms, mfu 0.81%
iter 56: loss 5.9455, time 109.64ms, mfu 0.81%
iter 57: loss 6.1142, time 112.92ms, mfu 0.81%
iter 58: loss 5.7766, time 113.11ms, mfu 0.81%
iter 59: loss 5.9293, time 109.98ms, mfu 0.82%
iter 60: loss 5.2411, time 112.50ms, mfu 0.82%
iter 61: loss 5.8680, time 111.21ms, mfu 0.82%
iter 62: loss 5.6714, time 117.14ms, mfu 0.81%
iter 63: loss 5.2910, time 110.89ms, mfu 0.81%
iter 64: loss 5.1906, time 112.02ms, mfu 0.81%
iter 65: loss 5.6113, time 107.28ms, mfu 0.82%
iter 66: loss 5.8666, time 114.58ms, mfu 0.82%
iter 67: loss 5.7579, time 109.03ms, mfu 0.82%
iter 68: loss 5.8355, time 113.04ms, mfu 0.82%
iter 69: loss 5.4548, time 113.19ms, mfu 0.82%
iter 70: loss 5.7239, time 111.10ms, mfu 0.82%
iter 71: loss 5.3136, time 115.40ms, mfu 0.82%
iter 72: loss 5.6445, time 116.07ms, mfu 0.81%
iter 73: loss 5.7753, time 112.49ms, mfu 0.81%
iter 74: loss 5.8685, time 110.75ms, mfu 0.82%
iter 75: loss 5.6476, time 111.52ms, mfu 0.82%
iter 76: loss 5.2765, time 111.75ms, mfu 0.82%
iter 77: loss 6.0821, time 113.60ms, mfu 0.82%
iter 78: loss 5.7727, time 115.84ms, mfu 0.81%
iter 79: loss 5.6851, time 112.76ms, mfu 0.81%
iter 80: loss 5.7529, time 116.33ms, mfu 0.81%
iter 81: loss 5.9254, time 109.23ms, mfu 0.81%
iter 82: loss 5.4976, time 115.48ms, mfu 0.81%
iter 83: loss 5.5148, time 109.84ms, mfu 0.81%
iter 84: loss 5.3272, time 110.68ms, mfu 0.82%
iter 85: loss 5.4319, time 109.57ms, mfu 0.82%
iter 86: loss 5.5899, time 109.01ms, mfu 0.82%
iter 87: loss 4.8265, time 114.25ms, mfu 0.82%
iter 88: loss 5.5026, time 110.88ms, mfu 0.82%
iter 89: loss 5.4142, time 113.29ms, mfu 0.82%
iter 90: loss 5.6452, time 110.03ms, mfu 0.82%
iter 91: loss 5.7641, time 114.34ms, mfu 0.82%
iter 92: loss 5.2532, time 116.30ms, mfu 0.81%
iter 93: loss 5.8103, time 112.18ms, mfu 0.82%
iter 94: loss 5.2189, time 111.47ms, mfu 0.82%
iter 95: loss 5.0127, time 110.38ms, mfu 0.82%
iter 96: loss 5.8494, time 110.05ms, mfu 0.82%
iter 97: loss 5.9978, time 113.14ms, mfu 0.82%
iter 98: loss 5.4787, time 111.99ms, mfu 0.82%
iter 99: loss 5.4588, time 113.95ms, mfu 0.82%
iter 100: loss 5.5972, time 114.70ms, mfu 0.82%
iter 101: loss 4.9630, time 112.37ms, mfu 0.82%
iter 102: loss 5.5386, time 111.05ms, mfu 0.82%
iter 103: loss 5.7625, time 109.65ms, mfu 0.82%
iter 104: loss 5.8078, time 113.19ms, mfu 0.82%
iter 105: loss 5.4024, time 109.16ms, mfu 0.82%
iter 106: loss 5.5589, time 113.51ms, mfu 0.82%
iter 107: loss 5.6383, time 115.68ms, mfu 0.82%
iter 108: loss 5.3697, time 115.68ms, mfu 0.81%
iter 109: loss 5.4849, time 112.44ms, mfu 0.81%
iter 110: loss 5.0832, time 114.75ms, mfu 0.81%
iter 111: loss 5.0815, time 116.47ms, mfu 0.81%
iter 112: loss 4.9999, time 109.82ms, mfu 0.81%
iter 113: loss 4.9581, time 111.71ms, mfu 0.81%
iter 114: loss 5.3533, time 109.49ms, mfu 0.82%
iter 115: loss 5.2207, time 111.14ms, mfu 0.82%
iter 116: loss 4.8572, time 110.81ms, mfu 0.82%
iter 117: loss 5.3134, time 109.11ms, mfu 0.82%
iter 118: loss 5.7131, time 113.03ms, mfu 0.82%
iter 119: loss 5.6873, time 113.93ms, mfu 0.82%
iter 120: loss 5.3524, time 116.27ms, mfu 0.81%
iter 121: loss 5.4632, time 110.68ms, mfu 0.82%
iter 122: loss 5.3455, time 115.05ms, mfu 0.81%
iter 123: loss 5.3413, time 109.61ms, mfu 0.82%
iter 124: loss 5.3647, time 113.57ms, mfu 0.82%
iter 125: loss 5.2942, time 115.88ms, mfu 0.81%
iter 126: loss 5.3003, time 116.80ms, mfu 0.81%
iter 127: loss 5.4929, time 118.33ms, mfu 0.81%
iter 128: loss 5.0638, time 114.79ms, mfu 0.81%
iter 129: loss 5.1844, time 117.15ms, mfu 0.80%
iter 130: loss 5.8798, time 110.60ms, mfu 0.81%
iter 131: loss 5.3274, time 110.99ms, mfu 0.81%
iter 132: loss 5.4371, time 109.34ms, mfu 0.81%
iter 133: loss 5.3150, time 113.96ms, mfu 0.81%
iter 134: loss 5.5901, time 110.34ms, mfu 0.81%
iter 135: loss 5.2847, time 111.62ms, mfu 0.81%
iter 136: loss 5.4763, time 111.95ms, mfu 0.81%
iter 137: loss 5.6154, time 109.76ms, mfu 0.82%
iter 138: loss 5.1935, time 114.59ms, mfu 0.81%
iter 139: loss 5.4566, time 116.72ms, mfu 0.81%
iter 140: loss 5.4933, time 112.33ms, mfu 0.81%
iter 141: loss 5.6730, time 110.12ms, mfu 0.81%
iter 142: loss 5.3661, time 114.79ms, mfu 0.81%
iter 143: loss 4.7834, time 111.60ms, mfu 0.81%
iter 144: loss 5.2503, time 114.50ms, mfu 0.81%
iter 145: loss 5.3861, time 115.46ms, mfu 0.81%
iter 146: loss 5.3128, time 109.56ms, mfu 0.81%
iter 147: loss 4.7443, time 114.72ms, mfu 0.81%
iter 148: loss 4.8303, time 116.60ms, mfu 0.81%
iter 149: loss 5.1549, time 112.72ms, mfu 0.81%
iter 150: loss 5.1243, time 109.43ms, mfu 0.81%
iter 151: loss 4.9257, time 112.21ms, mfu 0.81%
iter 152: loss 4.8953, time 109.51ms, mfu 0.82%
iter 153: loss 5.2530, time 109.63ms, mfu 0.82%
iter 154: loss 5.1630, time 111.50ms, mfu 0.82%
iter 155: loss 5.0430, time 111.30ms, mfu 0.82%
iter 156: loss 4.6402, time 112.55ms, mfu 0.82%
iter 157: loss 5.7344, time 116.17ms, mfu 0.82%
iter 158: loss 5.5774, time 114.01ms, mfu 0.81%
iter 159: loss 5.3770, time 110.41ms, mfu 0.82%
iter 160: loss 5.2885, time 113.06ms, mfu 0.82%
iter 161: loss 5.5335, time 109.10ms, mfu 0.82%
iter 162: loss 5.0185, time 112.91ms, mfu 0.82%
iter 163: loss 4.9463, time 108.79ms, mfu 0.82%
iter 164: loss 6.0640, time 113.01ms, mfu 0.82%
iter 165: loss 5.1028, time 115.48ms, mfu 0.82%
iter 166: loss 5.2641, time 116.34ms, mfu 0.81%
iter 167: loss 4.7894, time 111.01ms, mfu 0.81%
