
step 0: train loss 11.1069, val loss 11.0959
iter 0: loss 11.1121, time 30558.96ms, mfu -100.00%
iter 1: loss 11.0832, time 176.37ms, mfu -100.00%
iter 2: loss 10.6436, time 174.17ms, mfu -100.00%
iter 3: loss 10.0856, time 170.35ms, mfu -100.00%
iter 4: loss 9.7653, time 169.26ms, mfu -100.00%
iter 5: loss 9.4865, time 161.55ms, mfu 6.14%
iter 6: loss 9.2772, time 170.40ms, mfu 6.11%
iter 7: loss 9.2585, time 168.96ms, mfu 6.09%
iter 8: loss 9.0071, time 171.52ms, mfu 6.06%
iter 9: loss 8.9364, time 167.47ms, mfu 6.04%
iter 10: loss 9.0354, time 170.15ms, mfu 6.02%
iter 11: loss 8.8959, time 162.20ms, mfu 6.03%
iter 12: loss 8.7514, time 171.24ms, mfu 6.01%
iter 13: loss 8.6999, time 171.46ms, mfu 5.98%
iter 14: loss 8.6564, time 171.04ms, mfu 5.97%
iter 15: loss 8.5455, time 167.22ms, mfu 5.96%
iter 16: loss 8.4550, time 168.73ms, mfu 5.95%
iter 17: loss 8.2618, time 168.26ms, mfu 5.95%
iter 18: loss 8.1746, time 164.78ms, mfu 5.96%
iter 19: loss 8.0197, time 173.80ms, mfu 5.93%
iter 20: loss 8.0396, time 168.23ms, mfu 5.93%
iter 21: loss 7.8844, time 170.53ms, mfu 5.92%
iter 22: loss 7.7009, time 165.41ms, mfu 5.92%
iter 23: loss 7.4677, time 168.78ms, mfu 5.92%
iter 24: loss 7.3857, time 167.71ms, mfu 5.92%
iter 25: loss 7.2860, time 168.97ms, mfu 5.91%
iter 26: loss 7.1325, time 171.51ms, mfu 5.90%
iter 27: loss 7.0187, time 168.98ms, mfu 5.90%
iter 28: loss 6.7392, time 168.76ms, mfu 5.90%
iter 29: loss 6.6761, time 165.90ms, mfu 5.90%
iter 30: loss 6.5952, time 171.62ms, mfu 5.89%
iter 31: loss 6.4049, time 168.29ms, mfu 5.89%
iter 32: loss 6.4962, time 170.63ms, mfu 5.88%
iter 33: loss 6.3089, time 164.87ms, mfu 5.90%
iter 34: loss 6.1975, time 168.77ms, mfu 5.90%
iter 35: loss 5.9022, time 168.67ms, mfu 5.89%
iter 36: loss 5.9059, time 167.94ms, mfu 5.90%
iter 37: loss 5.9824, time 171.86ms, mfu 5.88%
iter 38: loss 5.9918, time 169.72ms, mfu 5.88%
iter 39: loss 5.7742, time 167.40ms, mfu 5.88%
iter 40: loss 5.7323, time 163.32ms, mfu 5.90%
iter 41: loss 5.5922, time 174.24ms, mfu 5.88%
iter 42: loss 5.5541, time 169.19ms, mfu 5.88%
iter 43: loss 5.6647, time 170.03ms, mfu 5.88%
iter 44: loss 5.4109, time 164.27ms, mfu 5.89%
iter 45: loss 5.3687, time 171.54ms, mfu 5.88%
iter 46: loss 5.3992, time 169.52ms, mfu 5.88%
iter 47: loss 5.5045, time 164.36ms, mfu 5.89%
iter 48: loss 5.4928, time 172.25ms, mfu 5.88%
iter 49: loss 5.3712, time 168.80ms, mfu 5.88%
iter 50: loss 5.4115, time 170.67ms, mfu 5.87%
iter 51: loss 5.1409, time 164.79ms, mfu 5.89%
iter 52: loss 5.2212, time 168.70ms, mfu 5.89%
iter 53: loss 5.2874, time 169.62ms, mfu 5.88%
iter 54: loss 5.1446, time 169.73ms, mfu 5.88%
iter 55: loss 5.3984, time 169.89ms, mfu 5.88%
iter 56: loss 4.8072, time 168.63ms, mfu 5.88%
iter 57: loss 5.1353, time 169.10ms, mfu 5.88%
iter 58: loss 5.1807, time 165.50ms, mfu 5.89%
iter 59: loss 4.9435, time 172.83ms, mfu 5.87%
iter 60: loss 5.0621, time 168.36ms, mfu 5.87%
iter 61: loss 4.9358, time 170.03ms, mfu 5.87%
iter 62: loss 5.1672, time 170.27ms, mfu 5.87%
iter 63: loss 5.1253, time 160.82ms, mfu 5.90%
iter 64: loss 4.8214, time 168.74ms, mfu 5.89%
iter 65: loss 4.9753, time 175.35ms, mfu 5.87%
iter 66: loss 5.3151, time 168.95ms, mfu 5.87%
iter 67: loss 5.0432, time 166.53ms, mfu 5.88%
iter 68: loss 4.9048, time 167.03ms, mfu 5.89%
iter 69: loss 5.0737, time 171.71ms, mfu 5.87%
iter 70: loss 4.9112, time 163.93ms, mfu 5.89%
iter 71: loss 5.1956, time 171.94ms, mfu 5.88%
iter 72: loss 4.9016, time 170.74ms, mfu 5.87%
iter 73: loss 4.9121, time 171.59ms, mfu 5.86%
iter 74: loss 4.6175, time 168.50ms, mfu 5.87%
iter 75: loss 4.9286, time 161.51ms, mfu 5.89%
iter 76: loss 5.0704, time 175.03ms, mfu 5.87%
iter 77: loss 4.6783, time 167.61ms, mfu 5.88%
iter 78: loss 5.0555, time 172.90ms, mfu 5.86%
iter 79: loss 4.8379, time 165.92ms, mfu 5.87%
iter 80: loss 4.9937, time 168.77ms, mfu 5.87%
iter 81: loss 4.7197, time 169.48ms, mfu 5.87%
iter 82: loss 4.7256, time 169.09ms, mfu 5.87%
iter 83: loss 4.6924, time 163.37ms, mfu 5.89%
iter 84: loss 4.8247, time 171.31ms, mfu 5.88%
iter 85: loss 4.6902, time 173.22ms, mfu 5.87%
iter 86: loss 4.6223, time 170.35ms, mfu 5.86%
iter 87: loss 4.9054, time 164.70ms, mfu 5.88%
iter 88: loss 4.7267, time 171.67ms, mfu 5.87%
iter 89: loss 4.6409, time 168.95ms, mfu 5.87%
iter 90: loss 4.8065, time 170.30ms, mfu 5.86%
iter 91: loss 4.9175, time 170.94ms, mfu 5.86%
iter 92: loss 4.7829, time 164.43ms, mfu 5.88%
iter 93: loss 4.7675, time 169.36ms, mfu 5.87%
iter 94: loss 4.5394, time 171.30ms, mfu 5.87%
iter 95: loss 4.9313, time 169.74ms, mfu 5.86%
iter 96: loss 4.8782, time 167.55ms, mfu 5.87%
iter 97: loss 4.6413, time 170.08ms, mfu 5.87%
iter 98: loss 4.7248, time 168.04ms, mfu 5.87%
iter 99: loss 4.6743, time 169.03ms, mfu 5.87%
iter 100: loss 4.7746, time 168.69ms, mfu 5.87%
iter 101: loss 4.3692, time 172.82ms, mfu 5.86%
iter 102: loss 4.7301, time 163.71ms, mfu 5.88%
iter 103: loss 4.6272, time 172.04ms, mfu 5.87%
iter 104: loss 4.7893, time 167.53ms, mfu 5.87%
iter 105: loss 4.7573, time 173.26ms, mfu 5.86%
iter 106: loss 4.6900, time 163.27ms, mfu 5.88%
iter 107: loss 4.7325, time 171.16ms, mfu 5.87%
iter 108: loss 4.5040, time 169.96ms, mfu 5.87%
iter 109: loss 4.8843, time 171.17ms, mfu 5.86%
iter 110: loss 4.8700, time 162.23ms, mfu 5.89%
iter 111: loss 4.6542, time 170.23ms, mfu 5.88%
iter 112: loss 4.8464, time 175.63ms, mfu 5.86%
iter 113: loss 4.5404, time 169.88ms, mfu 5.86%
iter 114: loss 4.5807, time 170.46ms, mfu 5.85%
iter 115: loss 4.7184, time 168.21ms, mfu 5.86%
iter 116: loss 4.3512, time 168.88ms, mfu 5.86%
iter 117: loss 4.6085, time 169.37ms, mfu 5.86%
iter 118: loss 4.5507, time 169.78ms, mfu 5.86%
iter 119: loss 4.5606, time 164.81ms, mfu 5.87%
iter 120: loss 4.7278, time 171.42ms, mfu 5.86%
iter 121: loss 4.6244, time 169.15ms, mfu 5.86%
iter 122: loss 4.3424, time 165.40ms, mfu 5.88%
iter 123: loss 4.7345, time 168.58ms, mfu 5.88%
iter 124: loss 4.6661, time 171.24ms, mfu 5.87%
iter 125: loss 4.8156, time 169.80ms, mfu 5.87%
iter 126: loss 4.4362, time 171.77ms, mfu 5.86%
iter 127: loss 4.4775, time 170.21ms, mfu 5.86%
iter 128: loss 4.5969, time 161.62ms, mfu 5.88%
iter 129: loss 4.4122, time 171.46ms, mfu 5.87%
iter 130: loss 4.5532, time 172.12ms, mfu 5.86%
iter 131: loss 4.6447, time 164.68ms, mfu 5.88%
iter 132: loss 4.4720, time 173.74ms, mfu 5.86%
iter 133: loss 4.6125, time 169.63ms, mfu 5.86%
iter 134: loss 4.5053, time 168.06ms, mfu 5.86%
iter 135: loss 4.6720, time 171.97ms, mfu 5.86%
iter 136: loss 4.5978, time 168.03ms, mfu 5.86%
iter 137: loss 4.6008, time 168.14ms, mfu 5.86%
iter 138: loss 4.4906, time 169.52ms, mfu 5.86%
