
step 0: train loss 10.8392, val loss 10.8348
iter 0: loss 10.8535, time 24771.26ms, mfu -100.00%
iter 1: loss 10.8404, time 17.13ms, mfu -100.00%
iter 2: loss 10.8115, time 16.39ms, mfu -100.00%
iter 3: loss 10.8180, time 13.70ms, mfu -100.00%
iter 4: loss 10.7891, time 15.91ms, mfu -100.00%
iter 5: loss 10.7528, time 13.99ms, mfu 0.77%
iter 6: loss 10.7360, time 16.25ms, mfu 0.76%
iter 7: loss 10.6992, time 14.06ms, mfu 0.76%
iter 8: loss 10.6535, time 16.26ms, mfu 0.75%
iter 9: loss 10.6171, time 13.99ms, mfu 0.75%
iter 10: loss 10.5557, time 16.08ms, mfu 0.74%
iter 11: loss 10.4737, time 13.55ms, mfu 0.75%
iter 12: loss 10.4682, time 16.13ms, mfu 0.74%
iter 13: loss 10.4144, time 13.54ms, mfu 0.75%
iter 14: loss 10.3827, time 14.95ms, mfu 0.74%
iter 15: loss 10.4093, time 14.85ms, mfu 0.74%
iter 16: loss 10.3665, time 14.51ms, mfu 0.74%
iter 17: loss 10.3362, time 14.15ms, mfu 0.74%
iter 18: loss 10.3008, time 13.37ms, mfu 0.75%
iter 19: loss 10.2946, time 15.97ms, mfu 0.74%
iter 20: loss 10.2251, time 13.99ms, mfu 0.75%
iter 21: loss 10.2536, time 15.85ms, mfu 0.74%
iter 22: loss 10.1937, time 13.89ms, mfu 0.74%
iter 23: loss 10.1197, time 15.92ms, mfu 0.74%
iter 24: loss 10.1564, time 13.74ms, mfu 0.74%
iter 25: loss 10.0314, time 14.36ms, mfu 0.74%
iter 26: loss 10.0152, time 14.23ms, mfu 0.74%
iter 27: loss 9.9810, time 13.51ms, mfu 0.75%
iter 28: loss 9.9053, time 16.19ms, mfu 0.74%
iter 29: loss 9.8650, time 13.85ms, mfu 0.74%
iter 30: loss 9.8286, time 16.59ms, mfu 0.73%
iter 31: loss 9.8240, time 14.10ms, mfu 0.74%
iter 32: loss 9.6839, time 15.94ms, mfu 0.73%
iter 33: loss 9.6136, time 13.89ms, mfu 0.74%
iter 34: loss 9.5819, time 16.13ms, mfu 0.73%
iter 35: loss 9.5604, time 13.67ms, mfu 0.73%
iter 36: loss 9.3941, time 16.15ms, mfu 0.73%
iter 37: loss 9.4147, time 13.73ms, mfu 0.73%
iter 38: loss 9.3325, time 15.35ms, mfu 0.73%
iter 39: loss 9.3649, time 13.16ms, mfu 0.74%
iter 40: loss 9.1691, time 13.06ms, mfu 0.75%
iter 41: loss 9.2745, time 15.73ms, mfu 0.74%
iter 42: loss 9.1559, time 13.58ms, mfu 0.75%
iter 43: loss 8.9887, time 16.10ms, mfu 0.74%
iter 44: loss 8.8815, time 13.67ms, mfu 0.74%
iter 45: loss 8.8506, time 14.27ms, mfu 0.74%
iter 46: loss 8.6370, time 13.67ms, mfu 0.75%
iter 47: loss 8.6292, time 14.30ms, mfu 0.75%
iter 48: loss 8.6002, time 16.16ms, mfu 0.74%
iter 49: loss 8.4709, time 13.92ms, mfu 0.74%
iter 50: loss 8.3603, time 16.01ms, mfu 0.74%
iter 51: loss 8.2591, time 13.50ms, mfu 0.74%
iter 52: loss 8.3172, time 16.12ms, mfu 0.74%
iter 53: loss 8.2366, time 13.33ms, mfu 0.74%
iter 54: loss 8.0772, time 14.25ms, mfu 0.74%
iter 55: loss 8.1636, time 13.95ms, mfu 0.75%
iter 56: loss 7.8360, time 13.57ms, mfu 0.75%
iter 57: loss 7.8100, time 15.91ms, mfu 0.74%
iter 58: loss 7.7184, time 13.88ms, mfu 0.75%
iter 59: loss 7.6585, time 16.22ms, mfu 0.74%
iter 60: loss 7.4905, time 13.60ms, mfu 0.74%
iter 61: loss 7.5460, time 15.01ms, mfu 0.74%
iter 62: loss 7.4437, time 13.66ms, mfu 0.75%
iter 63: loss 7.4594, time 14.49ms, mfu 0.75%
iter 64: loss 7.2997, time 14.86ms, mfu 0.74%
iter 65: loss 7.4149, time 13.67ms, mfu 0.75%
iter 66: loss 7.0742, time 15.92ms, mfu 0.74%
iter 67: loss 7.1891, time 13.68ms, mfu 0.75%
iter 68: loss 7.2400, time 14.57ms, mfu 0.75%
iter 69: loss 7.0302, time 13.89ms, mfu 0.75%
iter 70: loss 6.7984, time 13.58ms, mfu 0.75%
iter 71: loss 6.7586, time 15.97ms, mfu 0.74%
iter 72: loss 6.9348, time 14.33ms, mfu 0.75%
iter 73: loss 7.0171, time 15.81ms, mfu 0.74%
iter 74: loss 6.7600, time 13.33ms, mfu 0.75%
iter 75: loss 7.0722, time 15.30ms, mfu 0.74%
iter 76: loss 6.7665, time 14.74ms, mfu 0.74%
