
step 0: train loss 10.9173, val loss 10.9317
iter 0: loss 10.9233, time 28195.64ms, mfu -100.00%
iter 1: loss 10.9787, time 152.84ms, mfu -100.00%
iter 2: loss 10.5198, time 124.97ms, mfu -100.00%
iter 3: loss 9.9896, time 111.96ms, mfu -100.00%
iter 4: loss 9.6439, time 112.32ms, mfu -100.00%
iter 5: loss 9.5365, time 113.48ms, mfu 1.01%
iter 6: loss 9.3782, time 116.20ms, mfu 1.01%
iter 7: loss 9.2793, time 110.44ms, mfu 1.01%
iter 8: loss 9.3045, time 109.94ms, mfu 1.01%
iter 9: loss 9.1643, time 109.22ms, mfu 1.02%
iter 10: loss 9.0253, time 113.72ms, mfu 1.02%
iter 11: loss 8.9471, time 111.39ms, mfu 1.02%
iter 12: loss 8.9991, time 109.74ms, mfu 1.02%
iter 13: loss 9.1258, time 106.72ms, mfu 1.03%
iter 14: loss 8.8735, time 116.51ms, mfu 1.02%
iter 15: loss 8.9401, time 109.75ms, mfu 1.02%
iter 16: loss 8.7410, time 113.68ms, mfu 1.02%
iter 17: loss 8.9436, time 108.99ms, mfu 1.03%
iter 18: loss 8.5796, time 109.97ms, mfu 1.03%
iter 19: loss 8.4946, time 114.21ms, mfu 1.02%
iter 20: loss 8.6737, time 109.22ms, mfu 1.03%
iter 21: loss 8.2853, time 112.11ms, mfu 1.03%
iter 22: loss 8.3782, time 112.13ms, mfu 1.03%
iter 23: loss 8.0717, time 112.48ms, mfu 1.03%
iter 24: loss 7.9511, time 113.56ms, mfu 1.02%
iter 25: loss 7.8705, time 114.85ms, mfu 1.02%
iter 26: loss 7.9985, time 112.82ms, mfu 1.02%
iter 27: loss 7.6881, time 110.93ms, mfu 1.02%
iter 28: loss 7.6170, time 108.80ms, mfu 1.03%
iter 29: loss 7.4573, time 110.87ms, mfu 1.03%
iter 30: loss 7.3719, time 106.63ms, mfu 1.03%
iter 31: loss 7.2646, time 114.27ms, mfu 1.03%
iter 32: loss 7.1605, time 111.86ms, mfu 1.03%
iter 33: loss 6.8864, time 110.36ms, mfu 1.03%
iter 34: loss 6.8724, time 111.69ms, mfu 1.03%
iter 35: loss 7.1726, time 109.26ms, mfu 1.03%
iter 36: loss 6.8969, time 111.50ms, mfu 1.03%
iter 37: loss 6.7080, time 109.59ms, mfu 1.03%
iter 38: loss 6.8903, time 114.34ms, mfu 1.03%
iter 39: loss 6.5330, time 109.26ms, mfu 1.03%
iter 40: loss 6.7193, time 112.23ms, mfu 1.03%
iter 41: loss 6.6461, time 110.08ms, mfu 1.03%
iter 42: loss 6.0636, time 110.72ms, mfu 1.03%
iter 43: loss 6.2666, time 108.68ms, mfu 1.03%
