
step 0: train loss 11.0205, val loss 11.0259
iter 0: loss 11.0056, time 30991.85ms, mfu -100.00%
iter 1: loss 10.9794, time 124.70ms, mfu -100.00%
iter 2: loss 10.5389, time 115.15ms, mfu -100.00%
iter 3: loss 9.8783, time 117.29ms, mfu -100.00%
iter 4: loss 9.7522, time 112.40ms, mfu -100.00%
iter 5: loss 9.4560, time 114.66ms, mfu 0.80%
iter 6: loss 9.2583, time 114.47ms, mfu 0.80%
iter 7: loss 9.5067, time 109.14ms, mfu 0.80%
iter 8: loss 9.1124, time 112.50ms, mfu 0.80%
iter 9: loss 9.0321, time 111.18ms, mfu 0.80%
iter 10: loss 9.0831, time 114.73ms, mfu 0.80%
iter 11: loss 8.9340, time 116.36ms, mfu 0.80%
iter 12: loss 8.7458, time 112.48ms, mfu 0.80%
iter 13: loss 8.9047, time 114.65ms, mfu 0.80%
iter 14: loss 8.9076, time 120.06ms, mfu 0.80%
iter 15: loss 8.8115, time 111.28ms, mfu 0.80%
iter 16: loss 8.8107, time 114.44ms, mfu 0.80%
iter 17: loss 8.7162, time 112.90ms, mfu 0.80%
iter 18: loss 8.7253, time 110.01ms, mfu 0.80%
iter 19: loss 8.4354, time 110.46ms, mfu 0.81%
iter 20: loss 8.3100, time 109.02ms, mfu 0.81%
iter 21: loss 8.3793, time 114.46ms, mfu 0.81%
iter 22: loss 8.1840, time 111.82ms, mfu 0.81%
iter 23: loss 8.1468, time 110.00ms, mfu 0.81%
iter 24: loss 7.8802, time 109.34ms, mfu 0.81%
iter 25: loss 7.8343, time 112.33ms, mfu 0.81%
iter 26: loss 7.7099, time 109.62ms, mfu 0.82%
iter 27: loss 7.7242, time 112.51ms, mfu 0.82%
iter 28: loss 7.3798, time 111.54ms, mfu 0.82%
iter 29: loss 7.6647, time 109.49ms, mfu 0.82%
iter 30: loss 7.2813, time 112.51ms, mfu 0.82%
iter 31: loss 7.0373, time 112.27ms, mfu 0.82%
iter 32: loss 7.3279, time 111.51ms, mfu 0.82%
iter 33: loss 7.2243, time 111.92ms, mfu 0.82%
iter 34: loss 7.1584, time 114.17ms, mfu 0.82%
iter 35: loss 6.9780, time 115.34ms, mfu 0.81%
iter 36: loss 6.9948, time 113.51ms, mfu 0.81%
iter 37: loss 6.7299, time 109.57ms, mfu 0.81%
iter 38: loss 6.6125, time 110.10ms, mfu 0.82%
iter 39: loss 6.4247, time 107.67ms, mfu 0.82%
iter 40: loss 6.5528, time 115.92ms, mfu 0.82%
iter 41: loss 6.3626, time 110.05ms, mfu 0.82%
iter 42: loss 6.5139, time 109.92ms, mfu 0.82%
iter 43: loss 6.5070, time 110.02ms, mfu 0.82%
iter 44: loss 6.0777, time 115.86ms, mfu 0.82%
iter 45: loss 6.3942, time 114.13ms, mfu 0.82%
iter 46: loss 6.6672, time 112.52ms, mfu 0.82%
