
step 0: train loss 10.8392, val loss 10.8348
iter 0: loss 10.8535, time 14630.11ms, mfu -100.00%
iter 1: loss 10.8404, time 20.28ms, mfu -100.00%
iter 2: loss 10.8115, time 16.77ms, mfu -100.00%
iter 3: loss 10.8180, time 15.72ms, mfu -100.00%
iter 4: loss 10.7891, time 16.62ms, mfu -100.00%
iter 5: loss 10.7528, time 16.13ms, mfu 0.67%
iter 6: loss 10.7360, time 15.04ms, mfu 0.67%
iter 7: loss 10.6992, time 16.35ms, mfu 0.67%
iter 8: loss 10.6535, time 15.15ms, mfu 0.68%
iter 9: loss 10.6171, time 17.11ms, mfu 0.67%
iter 10: loss 10.5557, time 15.25ms, mfu 0.67%
iter 11: loss 10.4737, time 15.43ms, mfu 0.68%
iter 12: loss 10.4682, time 14.69ms, mfu 0.68%
iter 13: loss 10.4144, time 15.31ms, mfu 0.68%
iter 14: loss 10.3827, time 14.91ms, mfu 0.69%
iter 15: loss 10.4093, time 17.74ms, mfu 0.68%
iter 16: loss 10.3665, time 18.65ms, mfu 0.67%
iter 17: loss 10.3362, time 16.30ms, mfu 0.67%
iter 18: loss 10.3008, time 13.65ms, mfu 0.68%
iter 19: loss 10.2946, time 14.59ms, mfu 0.69%
iter 20: loss 10.2251, time 16.52ms, mfu 0.68%
iter 21: loss 10.2536, time 13.93ms, mfu 0.69%
iter 22: loss 10.1937, time 13.72ms, mfu 0.70%
iter 23: loss 10.1197, time 13.18ms, mfu 0.71%
iter 24: loss 10.1564, time 15.98ms, mfu 0.71%
iter 25: loss 10.0314, time 13.25ms, mfu 0.72%
iter 26: loss 10.0152, time 13.32ms, mfu 0.73%
iter 27: loss 9.9810, time 15.49ms, mfu 0.73%
iter 28: loss 9.9053, time 13.53ms, mfu 0.73%
iter 29: loss 9.8650, time 16.57ms, mfu 0.72%
iter 30: loss 9.8286, time 14.33ms, mfu 0.73%
iter 31: loss 9.8240, time 16.28ms, mfu 0.72%
iter 32: loss 9.6839, time 14.21ms, mfu 0.72%
iter 33: loss 9.6136, time 16.10ms, mfu 0.72%
iter 34: loss 9.5819, time 13.78ms, mfu 0.72%
iter 35: loss 9.5604, time 16.33ms, mfu 0.72%
iter 36: loss 9.3941, time 14.10ms, mfu 0.72%
iter 37: loss 9.4147, time 16.36ms, mfu 0.72%
iter 38: loss 9.3325, time 14.43ms, mfu 0.72%
iter 39: loss 9.3649, time 16.10ms, mfu 0.71%
iter 40: loss 9.1691, time 14.44ms, mfu 0.72%
iter 41: loss 9.2745, time 16.40ms, mfu 0.71%
iter 42: loss 9.1559, time 14.42ms, mfu 0.71%
iter 43: loss 8.9887, time 16.38ms, mfu 0.71%
iter 44: loss 8.8815, time 14.49ms, mfu 0.71%
iter 45: loss 8.8507, time 14.97ms, mfu 0.71%
iter 46: loss 8.6370, time 13.53ms, mfu 0.72%
iter 47: loss 8.6292, time 17.01ms, mfu 0.71%
iter 48: loss 8.6002, time 14.95ms, mfu 0.71%
iter 49: loss 8.4709, time 14.89ms, mfu 0.71%
iter 50: loss 8.3603, time 13.06ms, mfu 0.73%
iter 51: loss 8.2591, time 16.37ms, mfu 0.72%
iter 52: loss 8.3172, time 13.61ms, mfu 0.73%
iter 53: loss 8.2366, time 15.30ms, mfu 0.72%
