
step 0: train loss 10.8392, val loss 10.8348
iter 0: loss 10.8535, time 14936.56ms, mfu -100.00%
iter 1: loss 10.8404, time 20.11ms, mfu -100.00%
iter 2: loss 10.8115, time 18.60ms, mfu -100.00%
iter 3: loss 10.8180, time 19.80ms, mfu -100.00%
iter 4: loss 10.7891, time 17.05ms, mfu -100.00%
iter 5: loss 10.7528, time 15.70ms, mfu 0.69%
iter 6: loss 10.7360, time 15.75ms, mfu 0.69%
iter 7: loss 10.6992, time 17.32ms, mfu 0.68%
iter 8: loss 10.6536, time 15.50ms, mfu 0.68%
iter 9: loss 10.6171, time 18.38ms, mfu 0.67%
iter 10: loss 10.5557, time 17.40ms, mfu 0.67%
iter 11: loss 10.4738, time 15.51ms, mfu 0.67%
iter 12: loss 10.4682, time 17.20ms, mfu 0.66%
iter 13: loss 10.4144, time 16.11ms, mfu 0.67%
iter 14: loss 10.3827, time 14.98ms, mfu 0.67%
iter 15: loss 10.4093, time 16.87ms, mfu 0.67%
iter 16: loss 10.3665, time 13.69ms, mfu 0.68%
iter 17: loss 10.3362, time 15.82ms, mfu 0.68%
iter 18: loss 10.3008, time 13.52ms, mfu 0.69%
iter 19: loss 10.2946, time 14.32ms, mfu 0.70%
iter 20: loss 10.2251, time 13.81ms, mfu 0.71%
iter 21: loss 10.2536, time 13.07ms, mfu 0.72%
iter 22: loss 10.1937, time 15.85ms, mfu 0.71%
iter 23: loss 10.1197, time 13.41ms, mfu 0.72%
iter 24: loss 10.1564, time 15.05ms, mfu 0.72%
iter 25: loss 10.0314, time 15.97ms, mfu 0.72%
iter 26: loss 10.0152, time 15.95ms, mfu 0.71%
iter 27: loss 9.9810, time 13.35ms, mfu 0.72%
iter 28: loss 9.9053, time 13.89ms, mfu 0.73%
iter 29: loss 9.8650, time 14.10ms, mfu 0.73%
iter 30: loss 9.8287, time 13.11ms, mfu 0.74%
iter 31: loss 9.8240, time 15.26ms, mfu 0.74%
iter 32: loss 9.6839, time 13.38ms, mfu 0.74%
iter 33: loss 9.6136, time 12.85ms, mfu 0.75%
iter 34: loss 9.5819, time 15.93ms, mfu 0.75%
iter 35: loss 9.5604, time 13.48ms, mfu 0.75%
iter 36: loss 9.3941, time 15.85ms, mfu 0.74%
iter 37: loss 9.4147, time 15.24ms, mfu 0.74%
iter 38: loss 9.3325, time 16.70ms, mfu 0.73%
iter 39: loss 9.3649, time 13.82ms, mfu 0.74%
iter 40: loss 9.1691, time 14.80ms, mfu 0.73%
iter 41: loss 9.2745, time 13.20ms, mfu 0.74%
iter 42: loss 9.1559, time 13.36ms, mfu 0.75%
iter 43: loss 8.9887, time 15.29ms, mfu 0.74%
iter 44: loss 8.8815, time 13.39ms, mfu 0.75%
iter 45: loss 8.8506, time 15.65ms, mfu 0.74%
iter 46: loss 8.6370, time 13.60ms, mfu 0.75%
iter 47: loss 8.6292, time 14.06ms, mfu 0.75%
iter 48: loss 8.6002, time 14.68ms, mfu 0.75%
iter 49: loss 8.4709, time 13.89ms, mfu 0.75%
iter 50: loss 8.3603, time 18.07ms, mfu 0.74%
iter 51: loss 8.2591, time 14.98ms, mfu 0.73%
iter 52: loss 8.3172, time 13.45ms, mfu 0.74%
iter 53: loss 8.2366, time 13.05ms, mfu 0.75%
iter 54: loss 8.0772, time 16.04ms, mfu 0.74%
iter 55: loss 8.1636, time 13.57ms, mfu 0.75%
iter 56: loss 7.8360, time 15.87ms, mfu 0.74%
iter 57: loss 7.8100, time 14.55ms, mfu 0.74%
iter 58: loss 7.7184, time 16.07ms, mfu 0.73%
iter 59: loss 7.6584, time 13.29ms, mfu 0.74%
iter 60: loss 7.4905, time 14.06ms, mfu 0.74%
iter 61: loss 7.5460, time 14.23ms, mfu 0.74%
iter 62: loss 7.4437, time 13.43ms, mfu 0.75%
iter 63: loss 7.4594, time 15.77ms, mfu 0.74%
iter 64: loss 7.2997, time 13.58ms, mfu 0.75%
iter 65: loss 7.4149, time 14.07ms, mfu 0.75%
iter 66: loss 7.0742, time 14.03ms, mfu 0.75%
iter 67: loss 7.1891, time 13.87ms, mfu 0.75%
iter 68: loss 7.2400, time 15.86ms, mfu 0.75%
iter 69: loss 7.0302, time 13.58ms, mfu 0.75%
iter 70: loss 6.7984, time 15.94ms, mfu 0.74%
iter 71: loss 6.7586, time 13.31ms, mfu 0.75%
iter 72: loss 6.9349, time 14.51ms, mfu 0.75%
iter 73: loss 7.0171, time 13.80ms, mfu 0.75%
iter 74: loss 6.7600, time 13.32ms, mfu 0.76%
iter 75: loss 7.0722, time 15.66ms, mfu 0.75%
iter 76: loss 6.7665, time 13.67ms, mfu 0.75%
iter 77: loss 6.6158, time 14.95ms, mfu 0.75%
iter 78: loss 6.5118, time 13.62ms, mfu 0.76%
iter 79: loss 6.3934, time 13.29ms, mfu 0.76%
iter 80: loss 6.6402, time 15.98ms, mfu 0.75%
iter 81: loss 6.5399, time 14.61ms, mfu 0.75%
iter 82: loss 6.4654, time 17.76ms, mfu 0.74%
iter 83: loss 7.0095, time 16.04ms, mfu 0.73%
iter 84: loss 6.3200, time 13.34ms, mfu 0.74%
iter 85: loss 6.3804, time 13.58ms, mfu 0.74%
iter 86: loss 6.8378, time 15.52ms, mfu 0.74%
iter 87: loss 6.6292, time 16.23ms, mfu 0.73%
iter 88: loss 6.6119, time 15.76ms, mfu 0.73%
iter 89: loss 6.2806, time 14.27ms, mfu 0.73%
iter 90: loss 6.4226, time 14.41ms, mfu 0.73%
iter 91: loss 6.5710, time 13.31ms, mfu 0.74%
iter 92: loss 6.3533, time 16.21ms, mfu 0.73%
iter 93: loss 6.4226, time 13.53ms, mfu 0.74%
iter 94: loss 6.3151, time 15.86ms, mfu 0.73%
iter 95: loss 6.5004, time 13.41ms, mfu 0.74%
iter 96: loss 6.3305, time 14.79ms, mfu 0.74%
iter 97: loss 6.2932, time 13.41ms, mfu 0.74%
iter 98: loss 6.8542, time 13.10ms, mfu 0.75%
iter 99: loss 6.3032, time 15.98ms, mfu 0.74%
iter 100: loss 6.4800, time 13.57ms, mfu 0.75%
iter 101: loss 6.4432, time 14.41ms, mfu 0.75%
iter 102: loss 6.1752, time 13.78ms, mfu 0.75%
iter 103: loss 6.1047, time 13.76ms, mfu 0.76%
iter 104: loss 6.4952, time 15.72ms, mfu 0.75%
iter 105: loss 6.4350, time 13.52ms, mfu 0.75%
iter 106: loss 6.4024, time 15.86ms, mfu 0.75%
iter 107: loss 6.2118, time 13.40ms, mfu 0.75%
iter 108: loss 6.3971, time 17.98ms, mfu 0.74%
iter 109: loss 6.3693, time 17.35ms, mfu 0.72%
iter 110: loss 6.1508, time 14.05ms, mfu 0.73%
iter 111: loss 6.3220, time 13.48ms, mfu 0.74%
iter 112: loss 6.4607, time 16.28ms, mfu 0.73%
iter 113: loss 6.1148, time 14.08ms, mfu 0.73%
iter 114: loss 6.1724, time 16.50ms, mfu 0.72%
iter 115: loss 5.8396, time 14.29ms, mfu 0.73%
iter 116: loss 6.4222, time 15.57ms, mfu 0.72%
iter 117: loss 6.4882, time 13.86ms, mfu 0.73%
iter 118: loss 6.2828, time 16.70ms, mfu 0.72%
iter 119: loss 6.4397, time 14.71ms, mfu 0.72%
iter 120: loss 6.1692, time 15.09ms, mfu 0.72%
iter 121: loss 5.9749, time 13.46ms, mfu 0.73%
iter 122: loss 5.8902, time 15.89ms, mfu 0.72%
iter 123: loss 5.7027, time 13.46ms, mfu 0.73%
iter 124: loss 6.2470, time 14.99ms, mfu 0.73%
iter 125: loss 6.0822, time 13.58ms, mfu 0.74%
iter 126: loss 6.2282, time 13.47ms, mfu 0.74%
iter 127: loss 6.1062, time 15.85ms, mfu 0.74%
iter 128: loss 6.3308, time 13.96ms, mfu 0.74%
iter 129: loss 6.0048, time 15.77ms, mfu 0.73%
iter 130: loss 6.1887, time 13.82ms, mfu 0.74%
iter 131: loss 5.8298, time 15.23ms, mfu 0.74%
iter 132: loss 5.9101, time 13.27ms, mfu 0.74%
iter 133: loss 6.0644, time 13.41ms, mfu 0.75%
iter 134: loss 5.9856, time 16.01ms, mfu 0.74%
iter 135: loss 6.0912, time 14.17ms, mfu 0.74%
iter 136: loss 6.1686, time 16.68ms, mfu 0.73%
iter 137: loss 6.0131, time 14.62ms, mfu 0.73%
iter 138: loss 6.0815, time 17.80ms, mfu 0.72%
iter 139: loss 5.9096, time 16.04ms, mfu 0.72%
iter 140: loss 5.9576, time 14.24ms, mfu 0.72%
iter 141: loss 5.8237, time 14.54ms, mfu 0.72%
iter 142: loss 5.8762, time 13.51ms, mfu 0.73%
iter 143: loss 6.0424, time 13.23ms, mfu 0.74%
iter 144: loss 5.7501, time 16.26ms, mfu 0.73%
iter 145: loss 6.4100, time 17.63ms, mfu 0.72%
iter 146: loss 6.0070, time 15.68ms, mfu 0.72%
iter 147: loss 5.8813, time 18.01ms, mfu 0.70%
iter 148: loss 5.8923, time 16.84ms, mfu 0.70%
iter 149: loss 5.9455, time 13.59ms, mfu 0.71%
iter 150: loss 5.7519, time 13.55ms, mfu 0.72%
iter 151: loss 6.1094, time 16.14ms, mfu 0.71%
iter 152: loss 6.1483, time 14.34ms, mfu 0.71%
iter 153: loss 5.9130, time 16.01ms, mfu 0.71%
iter 154: loss 6.4009, time 14.32ms, mfu 0.71%
iter 155: loss 6.0492, time 16.03ms, mfu 0.71%
iter 156: loss 5.9923, time 14.34ms, mfu 0.71%
iter 157: loss 5.8270, time 16.71ms, mfu 0.71%
iter 158: loss 5.8728, time 14.93ms, mfu 0.71%
iter 159: loss 6.0372, time 14.22ms, mfu 0.71%
iter 160: loss 6.1760, time 13.46ms, mfu 0.72%
iter 161: loss 5.8559, time 16.24ms, mfu 0.72%
iter 162: loss 6.0306, time 14.13ms, mfu 0.72%
iter 163: loss 5.9679, time 16.14ms, mfu 0.72%
iter 164: loss 5.8925, time 14.03ms, mfu 0.72%
iter 165: loss 5.6449, time 15.78ms, mfu 0.72%
iter 166: loss 5.8997, time 13.74ms, mfu 0.72%
iter 167: loss 6.2631, time 14.50ms, mfu 0.73%
iter 168: loss 5.7914, time 13.63ms, mfu 0.73%
iter 169: loss 5.7135, time 13.28ms, mfu 0.74%
iter 170: loss 5.9479, time 16.22ms, mfu 0.73%
