
step 0: train loss 11.1003, val loss 11.0924
iter 0: loss 11.0891, time 30571.48ms, mfu -100.00%
iter 1: loss 11.0926, time 189.43ms, mfu -100.00%
iter 2: loss 10.6475, time 170.11ms, mfu -100.00%
iter 3: loss 10.1349, time 169.60ms, mfu -100.00%
iter 4: loss 9.6541, time 166.08ms, mfu -100.00%
iter 5: loss 9.5651, time 171.02ms, mfu 5.80%
iter 6: loss 9.2990, time 167.75ms, mfu 5.81%
iter 7: loss 9.2778, time 163.86ms, mfu 5.84%
iter 8: loss 9.0789, time 172.13ms, mfu 5.83%
iter 9: loss 9.0993, time 170.50ms, mfu 5.83%
iter 10: loss 8.9726, time 167.41ms, mfu 5.84%
iter 11: loss 8.8667, time 165.73ms, mfu 5.85%
iter 12: loss 8.8086, time 169.24ms, mfu 5.85%
iter 13: loss 8.9337, time 173.04ms, mfu 5.84%
iter 14: loss 8.7840, time 162.96ms, mfu 5.87%
iter 15: loss 8.7390, time 168.25ms, mfu 5.87%
iter 16: loss 8.6049, time 163.56ms, mfu 5.89%
iter 17: loss 8.5366, time 169.63ms, mfu 5.88%
iter 18: loss 8.3418, time 173.65ms, mfu 5.87%
iter 19: loss 8.2488, time 167.90ms, mfu 5.87%
iter 20: loss 8.2690, time 173.15ms, mfu 5.86%
iter 21: loss 8.0080, time 164.97ms, mfu 5.87%
iter 22: loss 8.0242, time 169.78ms, mfu 5.87%
iter 23: loss 7.9527, time 166.38ms, mfu 5.88%
iter 24: loss 7.7542, time 172.27ms, mfu 5.87%
iter 25: loss 7.8215, time 168.35ms, mfu 5.87%
iter 26: loss 7.6539, time 171.16ms, mfu 5.86%
iter 27: loss 7.4612, time 164.11ms, mfu 5.88%
iter 28: loss 7.3519, time 171.44ms, mfu 5.87%
iter 29: loss 7.1542, time 169.47ms, mfu 5.87%
iter 30: loss 6.9965, time 170.83ms, mfu 5.86%
iter 31: loss 6.9485, time 168.74ms, mfu 5.86%
iter 32: loss 6.7841, time 168.62ms, mfu 5.87%
